
[00:00:00.000 --> 00:00:04.000]  我相信大家都聽過「KK圓區」
[00:00:04.000 --> 00:00:08.000]  真是無人...沒有人沒聽過
[00:00:08.000 --> 00:00:10.000]  我們都聽過這個圓區有些恐怖的東西
[00:00:10.000 --> 00:00:12.000]  可以說它的恐怖是無人不知
[00:00:12.000 --> 00:00:14.000]  也無人不驚的
[00:00:14.000 --> 00:00:16.000]  大家有看之前一套電影
[00:00:16.000 --> 00:00:18.000]  叫做「孤注一擲」
[00:00:18.000 --> 00:00:20.000]  這套電影又是講這個「KK圓區」
[00:00:20.000 --> 00:00:23.000]  裡面所發生的恐怖的事情
[00:00:23.000 --> 00:00:25.000]  當然很慶幸
[00:00:25.000 --> 00:00:27.000]  雖然有這麼恐怖的事情發生
[00:00:27.000 --> 00:00:28.000]  到新聞 我們如果看新聞的話
[00:00:28.000 --> 00:00:30.000]  都知道有不同國家的政府
[00:00:30.000 --> 00:00:32.000]  都聯合在一起
[00:00:32.000 --> 00:00:37.000]  想嘗試去杜絕這些犯罪集團
[00:00:37.000 --> 00:00:43.000]  不過我們都祈求
[00:00:43.000 --> 00:00:47.000]  我們祈求這些被困在這個圓區裡面的人
[00:00:47.000 --> 00:00:49.000]  早日得到釋放
[00:00:49.000 --> 00:00:52.000]  也都希望那些犯罪的份子
[00:00:52.000 --> 00:00:56.000]  可以早日得到公平的裁決
[00:00:56.000 --> 00:00:59.000]  憑心而論 我們作為基督徒
[00:00:59.000 --> 00:01:04.000]  我們都知道縱然這次被瓦解
[00:01:04.000 --> 00:01:08.000]  只要罪與惡一天存在這個世界上的時候
[00:01:08.000 --> 00:01:12.000]  我們都知道這些犯罪的形式
[00:01:12.000 --> 00:01:14.000]  會不斷地發生
[00:01:14.000 --> 00:01:16.000]  你說為什麼
[00:01:16.000 --> 00:01:17.000]  因為很簡單
[00:01:17.000 --> 00:01:21.000]  人的需要始終都沒有辦法
[00:01:21.000 --> 00:01:23.000]  絕對可以在這個現實裡面
[00:01:23.000 --> 00:01:25.000]  可以得到完全的滿足
[00:01:25.000 --> 00:01:26.000]  你想想
[00:01:26.000 --> 00:01:27.000]  對於很窮的人
[00:01:27.000 --> 00:01:28.000]  沒錢的人
[00:01:28.000 --> 00:01:30.000]  如果有機會給他賺快錢
[00:01:30.000 --> 00:01:32.000]  很大吸引
[00:01:32.000 --> 00:01:34.000]  如果對於一生追求愛
[00:01:34.000 --> 00:01:36.000]  但是找不到愛的人
[00:01:36.000 --> 00:01:38.000]  突然之間在你面前
[00:01:38.000 --> 00:01:41.000]  一個誰手可得的愛出現
[00:01:41.000 --> 00:01:43.000]  也都是一個很大的誘惑
[00:01:43.000 --> 00:01:44.000]  大家想像一下
[00:01:44.000 --> 00:01:46.000]  人家不知道喜不喜歡釣魚
[00:01:46.000 --> 00:01:47.000]  你喜歡釣魚的話
[00:01:47.000 --> 00:01:49.000]  想像一下一條魚很餓
[00:01:49.000 --> 00:01:50.000]  游游坑的時候
[00:01:50.000 --> 00:01:51.000]  突然間前面出現一條
[00:01:51.000 --> 00:01:54.000]  又大又香又肥的舌頭
[00:01:54.000 --> 00:01:57.000]  你們那條魚都會一口吃掉
[00:01:57.000 --> 00:02:00.000]  我們今天剛才所讀的經文
[00:02:00.000 --> 00:02:02.000]  其實都告訴我們
[00:02:02.000 --> 00:02:04.000]  有一個騙局
