
[00:00:00.000 --> 00:00:03.440]  剛才我們一同中讀了神的話語
[00:00:03.440 --> 00:00:06.000]  剛才主席也帶領大家讀了一段聖經
[00:00:06.000 --> 00:00:08.000]  我們一同低頭禱告
[00:00:08.000 --> 00:00:12.000]  天父上帝 我們今天早上眾人來到你面前
[00:00:12.000 --> 00:00:16.000]  來尋求你 來敬拜你 來讚美你
[00:00:16.000 --> 00:00:19.000]  主人我們也願意在你面前
[00:00:19.000 --> 00:00:21.000]  透過你的施恩補助
[00:00:21.000 --> 00:00:24.000]  讓我們得到恩惠廉恤
[00:00:24.000 --> 00:00:26.000]  更加借助你自己自性的真道
[00:00:26.000 --> 00:00:29.000]  讓我們得到學習與教導
[00:00:29.000 --> 00:00:32.000]  求聖靈不單止開我們的眼
[00:00:32.000 --> 00:00:33.000]  也開我們的心
[00:00:33.000 --> 00:00:37.000]  讓我們樂意去接受你的說話
[00:00:37.000 --> 00:00:39.000]  行在我們生活中間
[00:00:39.000 --> 00:00:43.000]  以致我們能夠活在這個邪惡世界裏面
[00:00:43.000 --> 00:00:45.000]  能夠謹慎行事
[00:00:45.000 --> 00:00:47.000]  更加能夠愛惜光陰
[00:00:47.000 --> 00:00:50.000]  多謝主給我們以下這段時間
[00:00:50.000 --> 00:00:51.000]  求聖靈引導
[00:00:51.000 --> 00:00:53.000]  讓我們眾人再一次
[00:00:53.000 --> 00:00:56.000]  在你自性的真道上得著助紂
[00:00:56.000 --> 00:00:59.000]  願一切榮耀歸給你
[00:00:59.000 --> 00:01:01.000]  奉耶穌基督明治祈求
[00:01:01.000 --> 00:01:05.000]  到這個世代
[00:01:05.000 --> 00:01:07.000]  我相信很多時候我們都會說
[00:01:07.000 --> 00:01:09.000]  要珍惜一下地球的資源
[00:01:09.000 --> 00:01:13.000]  地球上的資源有很多東西要珍惜
[00:01:13.000 --> 00:01:14.000]  因為我們現在已經活在一個
[00:01:14.000 --> 00:01:18.000]  很催促的消費等等
[00:01:18.000 --> 00:01:20.000]  所以很多東西真的浪費了
[00:01:20.000 --> 00:01:23.000]  但很多資源的珍惜裏面
[00:01:23.000 --> 00:01:25.000]  我們在物質上見到的東西
[00:01:25.000 --> 00:01:26.000]  我們都會做
[00:01:26.000 --> 00:01:28.000]  但有些東西我們見不到
[00:01:28.000 --> 00:01:33.000]  有一次我孫子在家裏過夜
[00:01:33.000 --> 00:01:34.000]  第二天早上
[00:01:34.000 --> 00:01:36.000]  在洗手間
[00:01:36.000 --> 00:01:38.000]  我開著水喉擦牙的時候
[00:01:38.000 --> 00:01:40.000]  他給我關了水喉
[00:01:40.000 --> 00:01:42.000]  他說你不要浪費水
[00:01:42.000 --> 00:01:47.000]  小學生已經教導不要浪費水
[00:01:47.000 --> 00:01:52.000]  我立即做公公月聽他的話
