
[00:00:00.000 --> 00:00:01.540]  有一間大酒店
[00:00:01.540 --> 00:00:04.220]  當然不是荷里活的大酒店
[00:00:04.220 --> 00:00:08.840]  這間酒店有一個很富麗堂皇的大堂
[00:00:08.840 --> 00:00:12.760]  每個酒店對它的大堂都非常看重
[00:00:12.760 --> 00:00:19.800]  因爲那是一個接受歡迎客人的第一印象
[00:00:19.800 --> 00:00:26.000]  所以這間酒店的老闆同樣很看重大堂的整潔
[00:00:26.000 --> 00:00:28.520]  特別是地板的清潔
[00:00:28.520 --> 00:00:31.860]  所以每天都要求員工
[00:00:31.860 --> 00:00:34.800]  好好地來清潔地板
[00:00:34.800 --> 00:00:36.600]  有一天
[00:00:36.600 --> 00:00:39.720]  當員工正在清潔地板的時候
[00:00:39.720 --> 00:00:40.640]  打開門
[00:00:40.640 --> 00:00:42.400]  突然間有一個女士
[00:00:42.400 --> 00:00:44.080]  咯咯咯咯咯咯咯咯咯
[00:00:44.080 --> 00:00:46.680]  走進來這個大堂
[00:00:46.680 --> 00:00:48.360]  一個不經意
[00:00:48.360 --> 00:00:51.360]  就整個捂在地上
[00:00:51.360 --> 00:00:53.120]  趴在地上 啪一聲
[00:00:53.120 --> 00:00:55.320]  看真一點
[00:00:55.320 --> 00:00:57.120]  原來這個是老闆娘
[00:00:57.680 --> 00:00:58.680]  哇
[00:00:58.680 --> 00:01:01.920]  特別是那個拖地的員工
[00:01:01.920 --> 00:01:04.600]  連心都掉出去了 不知道該怎麼辦
[00:01:04.600 --> 00:01:06.520]  我這份工作沒了
[00:01:06.520 --> 00:01:09.000]  所以一湧而上
[00:01:09.000 --> 00:01:13.840]  馬上把老闆娘從地板上抬起來
[00:01:13.840 --> 00:01:17.040]  老闆娘站起來 放了一條裙子
[00:01:17.040 --> 00:01:22.800]  大家好像那一刻的氣氛都凝聚在
[00:01:22.800 --> 00:01:26.680]  她準備說話的時刻當中
[00:01:28.360 --> 00:01:29.680]  老闆娘就說
[00:01:29.680 --> 00:01:32.320]  幸好跌倒的是我
[00:01:32.320 --> 00:01:34.920]  如果是一個客人
[00:01:34.920 --> 00:01:36.440]  或者一個老人家的話
[00:01:36.440 --> 00:01:38.000]  那就不得了了
[00:01:38.000 --> 00:01:40.440]  於是她就咯咯咯咯咯咯咯咯
[00:01:40.440 --> 00:01:43.400]  走回老闆的辦公室
[00:01:43.400 --> 00:01:45.920]  沒有任何責備
[00:01:45.920 --> 00:01:47.200]  沒有任何訓示
[00:01:47.200 --> 00:01:50.000]  當然可能他們會擔心
[00:01:50.000 --> 00:01:52.520]  會不會向老闆投訴呢
[00:01:52.520 --> 00:01:54.200]  但是沒有這種事
[00:01:55.080 --> 00:01:58.200]  老闆娘對員工完全的接納
[00:01:58.200 --> 00:02:00.880]  因爲他們是很認真的工作
[00:02:00.880 --> 00:02:04.800]  這些員工對老闆娘
[00:02:04.800 --> 00:02:07.160]  我相信那個心很不一樣
[00:02:07.160 --> 00:02:09.080]  我們的耶穌
