
[00:00:00.000 --> 00:00:06.000]  邱子貝 我想這個世界每一天都在變化
[00:00:06.000 --> 00:00:08.280]  最近發生什麼大事 你知道嗎
[00:00:08.280 --> 00:00:19.920]  每一個月的第一個禮拜是我們的聖餐主日
[00:00:19.920 --> 00:00:24.440]  我都會要講主在來的事情
[00:00:24.440 --> 00:00:28.880]  可能我們已經久了 時間也慢慢地
[00:00:29.960 --> 00:00:33.160]  就像聖經裏面有一些人機竅說
[00:00:33.160 --> 00:00:35.760]  主來 講那麼久了
[00:00:35.760 --> 00:00:40.240]  主耶穌講這主在來已經一千多年了 兩千年了
[00:00:40.240 --> 00:00:41.840]  主還是沒有來啊
[00:00:41.840 --> 00:00:46.480]  親愛的邱子貝 我們不要像這些人一樣
[00:00:46.480 --> 00:00:49.880]  是那個機竅 機諷神話語的人
[00:00:49.880 --> 00:00:52.200]  主說他要快來
[00:00:52.200 --> 00:00:57.800]  聖經裏面讓我們看見各樣的跡象都顯示主快來了
[00:00:59.400 --> 00:01:03.560]  如果你對這個聖經稍微有點了解
[00:01:03.560 --> 00:01:09.680]  聖經裏面在舊約以西節書38章39節
[00:01:09.680 --> 00:01:15.200]  講到有一個戰爭叫做哥格與馬格的戰爭 聽過嗎
[00:01:15.200 --> 00:01:19.560]  當然這一個主題是一個很大主題
[00:01:19.560 --> 00:01:21.120]  我今天不是主要在講這個
[00:01:21.120 --> 00:01:24.960]  我要講的就是因爲最近伊朗的事情
[00:01:24.960 --> 00:01:26.520]  大家全世界都知道 是不是
[00:01:28.760 --> 00:01:32.720]  86歲的哈米尼被斬首
[00:01:32.720 --> 00:01:38.840]  跟着他一起的40位都是這些重要的軍官
[00:01:38.840 --> 00:01:43.760]  包括國防部長 包括參謀總長全部都被炸死
[00:01:43.760 --> 00:01:48.160]  他丟死你知道嗎
[00:01:48.160 --> 00:01:52.480]  其實你去看伊朗的影響力非常大
[00:01:53.440 --> 00:02:00.920]  包括葉盟 包括他周遭的這些的一些國家
[00:02:00.920 --> 00:02:03.880]  還有包括加沙的哈馬斯
[00:02:03.880 --> 00:02:06.240]  這些通通都是受他資助影響的
[00:02:06.240 --> 00:02:09.160]  可是你看這一段聖經裏面
[00:02:09.160 --> 00:02:11.560]  以西節書裏面讓我們看見一件事情
[00:02:11.560 --> 00:02:13.960]  就是聖經裏面預言說
[00:02:13.960 --> 00:02:17.360]  將來會在這個地區
[00:02:17.360 --> 00:02:21.600]  伊朗跟這些周邊的這些國家
[00:02:22.040 --> 00:02:25.200]  包括這個利比亞
[00:02:25.200 --> 00:02:29.440]  包括你看我把它圈出來的土耳其
[00:02:29.440 --> 00:02:34.120]  這些國家包括這裏面提到北方的急促的
[00:02:34.120 --> 00:02:37.320]  這個說法多數都認爲說
[00:02:37.320 --> 00:02:41.080]  可能那個地方比較是指的是俄羅斯所在的地方
[00:02:41.080 --> 00:02:47.080]  這些對地方聯軍起來要一起來攻打以色列
[00:02:49.920 --> 00:02:53.880]  所以你可以看見中東可以說是在末世的預言當中
[00:02:53.880 --> 00:02:55.480]  一個非常重要的一個角色
[00:02:55.480 --> 00:03:01.280]  這個當然也牽扯到以色列以後的一個發展
[00:03:01.280 --> 00:03:04.320]  聖經上裏面提到說以色列要全家得救等等
[00:03:04.320 --> 00:03:07.360]  等等這些包括第三聖殿的這些的建立
[00:03:07.360 --> 00:03:09.360]  敵基督的出現
[00:03:09.360 --> 00:03:14.160]  這些整個末世的預言跟中東可以說是息息相關的
[00:03:15.200 --> 00:03:21.400]  哥哥馬哥的這個戰爭到了啓示錄第20章的時候
[00:03:21.400 --> 00:03:22.720]  又提到一次
[00:03:22.720 --> 00:03:24.960]  但是這兩個地方不太一樣
[00:03:24.960 --> 00:03:30.600]  這個地方是跟北方的這些國家聯合起來攻打以色列
[00:03:30.600 --> 00:03:34.200]  但是到了啓示錄20章的時候
[00:03:34.200 --> 00:03:37.640]  那邊就開始講了說是一個全部
[00:03:37.640 --> 00:03:42.040]  可以說是整個敵反對基督徒的
[00:03:42.040 --> 00:03:46.360]  反對這個以色列的所有的這些敵對的軍隊
[00:03:46.360 --> 00:03:49.000]  統統要集結起來
[00:03:49.000 --> 00:03:53.120]  要一起來攻打這個神的兒女
[00:03:53.120 --> 00:03:59.320]  不管他第一個跟第二個一樣不一樣或這些問題
[00:03:59.320 --> 00:04:00.840]  但是我們看見這些事情
[00:04:00.840 --> 00:04:06.480]  聖經裏面所說的這些預言正在一個一個的在實現
