
[00:00:00.000 --> 00:00:02.840]  在我們繼續講下去的時候,我想我們先站在一旁
[00:00:02.840 --> 00:00:07.940]  頂智慕,我想邀請你開聲祝福你的心
[00:00:07.940 --> 00:00:11.740]  讓你今天聽到神對你說的話
[00:00:11.740 --> 00:00:15.980]  讓神的真理
[00:00:15.980 --> 00:00:19.020]  進入我們的生命裏面,光照我們
[00:00:19.020 --> 00:00:22.340]  所以我們的生命
[00:00:22.340 --> 00:00:25.560]  是常被神的說話
[00:00:25.560 --> 00:00:28.840]  聖靈的光照去引導
[00:00:31.000 --> 00:00:32.580]  最想我們讚美你
[00:00:32.580 --> 00:00:36.580]  你是我們的主,你是我們的神
[00:00:36.580 --> 00:00:40.340]  願你的靈,囂觀在我們當中
[00:00:40.340 --> 00:00:44.800]  用你的說話,來震撼我們的心
[00:00:44.800 --> 00:00:48.060]  以致到我們今天的生命
[00:00:48.060 --> 00:00:49.200]  活在這個世上
[00:00:49.200 --> 00:00:52.440]  不是憑我們自己的能力
[00:00:52.440 --> 00:00:55.120]  乃是主,你在我們生命裏面活著
[00:00:55.120 --> 00:00:56.780]  叫我們得著能力
[00:00:57.240 --> 00:01:00.260]  不單止面對這個世界,並且勝過這個世界
[00:01:00.260 --> 00:01:03.680]  主讚美你,願你繼續引導我們
[00:01:03.680 --> 00:01:06.480]  讓我們聽得明白,聽得清楚
[00:01:06.480 --> 00:01:09.260]  並且活出你的真理,多謝主
[00:01:09.260 --> 00:01:12.260]  我們敢祈禱,奉耶穌幾多個名,阿們
[00:01:12.260 --> 00:01:14.960]  這裏寶羅
[00:01:14.960 --> 00:01:17.860]  和哥倫多教會的頂智慕講了一番說話
[00:01:17.860 --> 00:01:21.520]  寶羅和哥倫多教會
[00:01:21.520 --> 00:01:24.180]  都很親密的,為甚麼呢
[00:01:24.180 --> 00:01:29.240]  其實寶羅是有份建立這間教會的
[00:01:29.240 --> 00:01:32.760]  套用我們今天的用語
[00:01:32.760 --> 00:01:35.760]  其實寶羅在這間教會裏面
[00:01:35.760 --> 00:01:38.180]  地位是頗為昭然的
[00:01:38.180 --> 00:01:41.800]  因為他是有份創立的
[00:01:41.800 --> 00:01:44.860]  有份建立這間教會的
[00:01:44.860 --> 00:01:47.860]  很多人可能是一手一腳
[00:01:47.860 --> 00:01:50.420]  去建立他們的生命
[00:01:50.880 --> 00:01:54.560]  哥倫多教會最有名的是甚麼呢
[00:01:54.560 --> 00:01:58.880]  如果你讀哥倫多前書,哥倫多後書
[00:01:58.880 --> 00:02:02.400]  最有名的有幾件事,第一,恩賜多
[00:02:02.400 --> 00:02:05.400]  如果你看哥倫多前書
[00:02:05.400 --> 00:02:08.020]  大概是十二章至十四章
[00:02:08.020 --> 00:02:11.140]  那裏就討論得最多屬靈恩賜的東西
[00:02:11.140 --> 00:02:12.680]  各式各樣的恩賜
[00:02:12.680 --> 00:02:16.000]  都可以在哥倫多教會裏面找到
[00:02:16.000 --> 00:02:18.960]  無論是內在的,還是外顯的
[00:02:18.960 --> 00:02:21.980]  很神奇的,超自然的
[00:02:21.980 --> 00:02:24.900]  各方面的恩賜都可以在哥倫多教會裏面找到
[00:02:24.900 --> 00:02:28.880]  不過同樣的,哥倫多教會有另一樣東西是他們的特色
[00:02:28.880 --> 00:02:32.960]  就是其實他們都頗驕傲的
[00:02:32.960 --> 00:02:36.440]  可能就是因為恩賜多
[00:02:36.440 --> 00:02:39.540]  可能就是因為能夠彰顯的能力比較大
[00:02:39.540 --> 00:02:42.980]  所以其實他們都是出名,都頗驕傲的
[00:02:42.980 --> 00:02:47.720]  所以,所以,我提哥倫多前書十三章講甚麼
[00:02:47.720 --> 00:02:50.060]  最重要的不是你有多大能力
[00:02:50.060 --> 00:02:51.680]  最重要的是你是有甚麼
[00:02:51.680 --> 00:02:55.220]  有愛在當中,就是這樣來的
[00:02:55.220 --> 00:02:59.280]  本來去到哥倫多後書這一章,去到第十章的時候
[00:02:59.280 --> 00:03:02.040]  他就這樣寫,其實第一第二節
