
[00:00:00.000 --> 00:00:04.880]  今天講到的題目是「一無所有」
[00:00:04.880 --> 00:00:07.920]  不是「一無所有」,是「一無掛慮」
[00:00:07.920 --> 00:00:09.440]  凡事謝恩
[00:00:09.440 --> 00:00:14.240]  不知道大家是否屬於一個很容易憂慮、很壓力的人呢?
[00:00:14.240 --> 00:00:16.920]  有一次有一位女士帶著她的丈夫去看醫生
[00:00:16.920 --> 00:00:20.160]  檢查完之後,醫生單獨跟女士說
[00:00:20.160 --> 00:00:23.920]  你丈夫的情緒出現了很嚴重的問題
[00:00:23.920 --> 00:00:25.360]  不過仍然有希望的
[00:00:25.360 --> 00:00:28.520]  你只需要減少他的壓力
[00:00:28.520 --> 00:00:30.640]  讓他愉快地生活
[00:00:30.640 --> 00:00:33.640]  每天煮他最喜歡吃的菜
[00:00:33.640 --> 00:00:35.800]  你的問題不要讓他煩惱
[00:00:35.800 --> 00:00:38.080]  不要跟他喊叫、不要跟他爭論
[00:00:38.080 --> 00:00:40.800]  他一切的需要你都要滿足他
[00:00:40.800 --> 00:00:43.840]  你能夠在接下來六個月都這樣對待他的話
[00:00:43.840 --> 00:00:47.000]  你丈夫應該很快就會康復了
[00:00:47.000 --> 00:00:49.360]  稍後丈夫就跟太太說
[00:00:49.360 --> 00:00:51.200]  醫生,你說什麼?
[00:00:51.200 --> 00:00:52.560]  太太就說
[00:00:52.560 --> 00:00:56.520]  醫生說你還有六個月的命
[00:00:56.520 --> 00:00:58.400]  每個人都有壓力
[00:00:58.400 --> 00:01:00.120]  有憂傷
[00:01:00.120 --> 00:01:02.640]  丈夫有,妻子都有
[00:01:02.640 --> 00:01:04.040]  今天我們確實
[00:01:04.040 --> 00:01:07.320]  如果我們讀到這個《菲勒比書》最後一章
[00:01:07.320 --> 00:01:09.560]  大家都覺得整個《菲勒比書》四章的經文
[00:01:09.560 --> 00:01:12.120]  最重要的訊息是什麼?
[00:01:12.120 --> 00:01:13.600]  當然是喜樂
[00:01:13.600 --> 00:01:15.800]  因為保羅不斷地叫我們喜樂
[00:01:15.800 --> 00:01:18.120]  一次、兩次、三次這樣叫我們
[00:01:18.120 --> 00:01:18.760]  什麼原因?
[00:01:18.760 --> 00:01:21.560]  不是因為我們有用不完的財富
[00:01:21.560 --> 00:01:25.720]  也不是因為我們好像奧林匹克那些運動員一樣健康
[00:01:25.720 --> 00:01:28.080]  也不是因為有世界小姐那麼美麗
[00:01:28.080 --> 00:01:31.880]  又或者我們好像有特朗普的頂級權力
[00:01:31.880 --> 00:01:35.320]  又或者我們擁有想做什麼就做什麼的自由
[00:01:35.320 --> 00:01:36.440]  通通都不是
[00:01:36.440 --> 00:01:42.640]  我們有喜樂的原因是因為我們從神那裡得到永遠的生命
[00:01:42.640 --> 00:01:45.400]  永遠的祝福
[00:01:45.400 --> 00:01:48.920]  但是我們今天卻是生活在一個充滿壓力
[00:01:48.920 --> 00:01:51.760]  充滿困難挑戰的世界裡面
[00:01:51.760 --> 00:01:53.080]  我們不禁問就是
[00:01:53.080 --> 00:01:55.160]  是不是真的
[00:01:55.160 --> 00:01:56.760]  好像保羅這麼說
[00:01:56.760 --> 00:02:00.520]  可以喜樂地生活
[00:02:00.520 --> 00:02:02.000]  我們如果讀過保羅的故事
[00:02:02.000 --> 00:02:04.160]  我們清楚他的故事的時候
[00:02:04.160 --> 00:02:06.240]  我相信大家都會同意一樣東西
[00:02:06.240 --> 00:02:10.680]  這個保羅他所經歷的憂患、壓力和痛苦
[00:02:10.680 --> 00:02:11.760]  比我們都大
[00:02:11.760 --> 00:02:13.600]  是不是?
[00:02:13.600 --> 00:02:14.720]  但是奇怪的就是
[00:02:14.720 --> 00:02:16.120]  同一個時間
[00:02:16.120 --> 00:02:18.720]  他的快樂也比我們大
[00:02:18.720 --> 00:02:20.080]  你說這麼有趣的
[00:02:20.080 --> 00:02:22.320]  究竟是什麼原因
