
[00:00:00.000 --> 00:00:03.580]  我們講到之前 一起有個開始的禱告
[00:00:03.580 --> 00:00:05.080]  親愛的主 我們多謝你
[00:00:05.080 --> 00:00:07.560]  讓我們今天在疫情裏面
[00:00:07.560 --> 00:00:10.820]  都滿有神的恩典 祢的同在
[00:00:10.820 --> 00:00:14.800]  主愛的奉祢的名去宣告神祢自己的榮耀
[00:00:14.800 --> 00:00:17.500]  臨到我們每個家 祢自己保護、保守
[00:00:17.500 --> 00:00:22.720]  臨到我們家 讓今天的信息進入我們的生命
[00:00:22.720 --> 00:00:26.080]  進入我們的靈裡面 讓我們得著、建立
[00:00:26.080 --> 00:00:27.440]  親愛的主 我們多謝你
[00:00:27.440 --> 00:00:31.460]  聽我們的禱告 奉耶穌基督得性的名 阿們
[00:00:57.440 --> 00:01:04.580]  有些人回答天翻地覆 有些人回答世事常變
[00:01:04.580 --> 00:01:07.460]  有些人回答無奈
[00:01:07.460 --> 00:01:12.780]  國際貨幣基金組織發表《世界經濟展望》
[00:01:12.780 --> 00:01:17.560]  曾經預測2022年的三大趨勢
[00:01:17.560 --> 00:01:21.960]  這三大趨勢是疫情病例的增加
[00:01:21.960 --> 00:01:25.820]  第二個是經濟復甦受阻
[00:01:25.820 --> 00:01:29.520]  第三是通貨膨脹上升
[00:01:29.520 --> 00:01:32.920]  似乎都是一些不太好的東西
[00:01:32.920 --> 00:01:34.820]  再加上大家都知道
[00:01:34.820 --> 00:01:38.600]  現在烏克蘭裡面爆發戰爭搞了一個星期
[00:01:38.600 --> 00:01:44.340]  股市下挫 經濟受到重創 更加雪上加霜
[00:01:44.340 --> 00:01:49.340]  在香港我想迫在眉睫的Omicron的個案
[00:01:49.340 --> 00:01:52.380]  好像幾何級數上升 去到幾萬了
[00:01:52.380 --> 00:01:57.560]  強檢 全民強檢是迫在眉睫
[00:01:57.560 --> 00:02:00.600]  有可能是有禁足令
[00:02:00.600 --> 00:02:03.500]  不知道怎麼做 做多久
[00:02:03.500 --> 00:02:07.280]  其實大家都不知道未來會是怎樣的
[00:02:07.280 --> 00:02:10.920]  存在很大的不確定性
[00:02:10.920 --> 00:02:13.220]  心裡面很不平安
[00:02:13.220 --> 00:02:16.860]  整個世界都好像失控失衡那樣
[00:02:16.860 --> 00:02:18.400]  究竟怎麼算呢?
[00:02:18.400 --> 00:02:21.740]  我們都有一種強烈的無力感
[00:02:21.740 --> 00:02:25.500]  我們怎麼面對我們的將來呢?
[00:02:25.500 --> 00:02:29.340]  我相信在約斯瓦基第六章裡面
[00:02:29.340 --> 00:02:33.260]  那幫剛剛渡過了約旦河
[00:02:33.260 --> 00:02:36.760]  要進入耶利哥平原的以色列人
[00:02:36.760 --> 00:02:40.300]  他們都有類似的心情
[00:02:40.300 --> 00:02:43.260]  他們就快要攻打耶利哥城了
[00:02:43.260 --> 00:02:46.520]  耶利哥城是很難攻打的堡壘
