
[00:00:00.000 --> 00:00:04.800]  曾經擁有,還是天長地久呢?
[00:00:04.800 --> 00:00:07.560]  我相信基督徒
[00:00:07.560 --> 00:00:11.520]  當我們談到愛,談到關係的時候
[00:00:11.520 --> 00:00:13.800]  很自然就會想起什麼呢?
[00:00:13.800 --> 00:00:15.800]  哥倫多前書十三章
[00:00:15.800 --> 00:00:19.320]  我知道上個星期,Pastor Justin和大家分享過
[00:00:19.320 --> 00:00:22.920]  哥倫多前十三章是愛篇嘛,是不是?
[00:00:22.920 --> 00:00:25.520]  基督徒想起十三章愛篇
[00:00:25.520 --> 00:00:26.960]  最後那一節說什麼呢?
[00:00:27.720 --> 00:00:30.920]  記得嗎?哥倫多前書十三章,十三節
[00:00:30.920 --> 00:00:35.640]  很簡單,但是每一個基督徒可能都會一說
[00:00:35.640 --> 00:00:37.040]  哦,是呀,我記得
[00:00:37.040 --> 00:00:39.400]  他說如今常傳的有什麼呢?
[00:00:39.400 --> 00:00:40.880]  有信
[00:00:40.880 --> 00:00:42.160]  有望
[00:00:42.160 --> 00:00:43.560]  有愛
[00:00:43.560 --> 00:00:44.840]  接著那句呢?
[00:00:44.840 --> 00:00:47.240]  他說其中最大的呢
[00:00:47.240 --> 00:00:49.120]  是
[00:00:49.120 --> 00:00:51.120]  愛
[00:00:51.120 --> 00:00:54.360]  所以如今常傳的,即是永遠存在
[00:00:54.360 --> 00:00:55.760]  有永恆價值的
[00:00:55.760 --> 00:00:58.800]  有信,有望,有愛,但是其中最大的就是愛
[00:00:58.800 --> 00:01:01.200]  這句聖經我們很熟悉的
[00:01:01.200 --> 00:01:03.200]  但是大家有沒有想過其中的意義呢?
[00:01:03.200 --> 00:01:04.920]  信呢
[00:01:04.920 --> 00:01:08.560]  可以代表我們生活的原因
[00:01:08.560 --> 00:01:10.360]  如果沒有信的話
[00:01:10.360 --> 00:01:11.960]  你不信,我又不信
[00:01:11.960 --> 00:01:14.400]  這個世界就不能夠運作了,是不是?
[00:01:14.400 --> 00:01:16.320]  望呢
[00:01:16.320 --> 00:01:18.760]  給我們生活的意志
[00:01:18.760 --> 00:01:20.760]  如果沒有盼望的話
[00:01:20.760 --> 00:01:22.400]  我們生不如死
[00:01:22.400 --> 00:01:23.640]  對不對?
[00:01:23.640 --> 00:01:25.080]  愛呢
[00:01:25.360 --> 00:01:28.320]  就代表我們有生活的動力
[00:01:28.320 --> 00:01:30.320]  如果沒有愛的話
[00:01:30.320 --> 00:01:32.280]  你的生命就灰黑一片
