
[00:00:00.000 --> 00:00:05.480]  今天非常高興能夠在這裡和大家分享一篇的信息
[00:00:05.480 --> 00:00:09.760]  我的題目是 奴僕主人還有兄弟
[00:00:09.760 --> 00:00:15.120]  我先跟大家分享一個我最近在網路上聽到的一個笑話
[00:00:15.120 --> 00:00:16.800]  我覺得蠻幽默的
[00:00:16.800 --> 00:00:21.760]  其實這個笑話跟我今天的主題沒有任何的關係
[00:00:21.760 --> 00:00:25.520]  只是讓大家輕鬆一下
[00:00:25.520 --> 00:00:26.720]  有兩個朋友
[00:00:26.720 --> 00:00:29.720]  一個是臺灣人 一個是香港人
[00:00:29.720 --> 00:00:31.960]  他們就在一起聊天
[00:00:31.960 --> 00:00:35.520]  這位香港的朋友就問臺灣的
[00:00:35.520 --> 00:00:38.360]  臺灣的朋友問香港的朋友說
[00:00:38.360 --> 00:00:43.600]  為什麼你們香港人養的母雞很喜歡發抖
[00:00:43.600 --> 00:00:49.560]  你們香港人養的母雞在香港的母雞很喜歡抖來抖去的
[00:00:49.560 --> 00:00:52.960]  那這個香港的朋友就說 有嗎
[00:00:52.960 --> 00:00:56.760]  我們香港的母雞會發抖嗎
[00:00:56.760 --> 00:00:59.440]  這個我不知道 我沒有聽過
[00:00:59.440 --> 00:01:05.280]  問這個臺灣的朋友 你怎麼聽到 你怎麼知道的
[00:01:05.280 --> 00:01:07.680]  這個臺灣的朋友他就說
[00:01:07.680 --> 00:01:10.000]  我上次去香港旅遊
[00:01:10.000 --> 00:01:23.280]  我在街上常常聽到有人說 母雞抖 母雞抖
[00:01:23.280 --> 00:01:27.800]  有沒有從香港過來告訴我這是什麼意思
[00:01:27.800 --> 00:01:32.800]  不知道 母雞發抖就是不知道
[00:01:32.800 --> 00:01:39.760]  很有意思 這個是語言上面造成的一些隔閡
[00:01:39.760 --> 00:01:41.160]  這個有點手忙腳亂
[00:01:41.160 --> 00:01:43.960]  一年不多次的站在這個位置上面
[00:01:43.960 --> 00:01:49.560]  那我想今天主席沒有跟我們唸經文
[00:01:49.560 --> 00:01:52.640]  我們就一起來唸今天的經文好不好
[00:01:52.640 --> 00:01:56.000]  我們大概有一二三四五六七節的經文
[00:01:56.000 --> 00:01:57.200]  我們一起來唸
[00:01:57.200 --> 00:02:02.320]  就是為我在困所中所生的兒子阿尼西姆
[00:02:02.320 --> 00:02:05.120]  就是有益處的意思求你
[00:02:05.120 --> 00:02:07.880]  他從前與你沒有益處
[00:02:07.880 --> 00:02:11.520]  但如今與你我都有益處
[00:02:11.520 --> 00:02:14.400]  他是我的心上人
[00:02:14.400 --> 00:02:20.120]  他暫時離開你或者是叫你永遠得著他
[00:02:20.120 --> 00:02:23.960]  不再是奴僕乃是高過奴僕
[00:02:23.960 --> 00:02:28.400]  是親愛的兄弟在我實在是如此
[00:02:28.400 --> 00:02:30.280]  何況在你呢
[00:02:30.280 --> 00:02:35.200]  這也不是按肉體說是按主說
[00:02:35.200 --> 00:02:39.440]  你若以我為同伴就收納他
[00:02:39.440 --> 00:02:43.240]  如同收納我一樣
[00:02:43.240 --> 00:02:45.160]  那今天的主題呢
[00:02:45.160 --> 00:02:52.000]  我是用三個職位 三個Roles 三個Position
[00:02:52.000 --> 00:02:54.200]  有奴僕有主人有兄弟
[00:02:54.200 --> 00:02:55.920]  我相信我們每一位弟兄姐妹
[00:02:55.920 --> 00:02:57.840]  我們在我們的生活的當中
