
[00:00:00.000 --> 00:00:02.000]  各位弟兄姐妹
[00:00:02.000 --> 00:00:04.000]  我們今天來到神的面前
[00:00:04.000 --> 00:00:06.000]  不知大家準備好我們的心
[00:00:06.000 --> 00:00:08.000]  去迎見
[00:00:08.000 --> 00:00:10.000]  去歸榮,要給神未呢?
[00:00:10.000 --> 00:00:12.000]  願我們在神的面前過幾天安靜
[00:00:12.000 --> 00:00:14.000]  好不好?
[00:00:14.000 --> 00:00:16.000]  祖父上帝我們多謝你
[00:00:16.000 --> 00:00:18.000]  我們知道你不單止創造我們
[00:00:18.000 --> 00:00:20.000]  你還眷顧我們
[00:00:20.000 --> 00:00:22.000]  你和我們同行
[00:00:22.000 --> 00:00:24.000]  你都睇察我們的軟弱
[00:00:24.000 --> 00:00:26.000]  你都賜下你的說話
[00:00:26.000 --> 00:00:28.000]  去引導我們
[00:00:28.000 --> 00:00:30.000]  在世上如何活著
[00:00:30.000 --> 00:00:32.000]  天父,求你開我們的心
[00:00:32.000 --> 00:00:34.000]  開我們的眼
[00:00:34.000 --> 00:00:36.000]  容得下你的說話
[00:00:36.000 --> 00:00:38.000]  多謝你,我們祈禱奉你的命求
[00:00:38.000 --> 00:00:40.000]  阿們
[00:00:40.000 --> 00:00:42.000]  我不知道大家
[00:00:42.000 --> 00:00:44.000]  有沒有以下這個印象呢?
[00:00:44.000 --> 00:00:46.000]  有沒有試過三更半夜
[00:00:46.000 --> 00:00:48.000]  聽到整棟大廈
[00:00:48.000 --> 00:00:50.000]  人們都歡呼?
[00:00:50.000 --> 00:00:52.000]  有嗎?什麼情況下?
[00:00:52.000 --> 00:00:56.000]  世界盃的時候
[00:00:56.000 --> 00:00:58.000]  世界盃的時候
[00:00:58.000 --> 00:01:00.000]  大家有這個印象
[00:01:00.000 --> 00:01:02.000]  看到
[00:01:02.000 --> 00:01:04.000]  一球入得好靚
[00:01:04.000 --> 00:01:06.000]  擋得好靚,好緊張
[00:01:06.000 --> 00:01:08.000]  又或者
[00:01:08.000 --> 00:01:10.000]  明明那邊是死眼
[00:01:10.000 --> 00:01:12.000]  突然間反敗為勝
[00:01:12.000 --> 00:01:14.000]  我相信
[00:01:14.000 --> 00:01:16.000]  人們歡呼,叫
[00:01:16.000 --> 00:01:18.000]  不是因為有字幕打出來
[00:01:18.000 --> 00:01:20.000]  請鼓掌,請喝彩
[00:01:20.000 --> 00:01:22.000]  不會的
[00:01:22.000 --> 00:01:24.000]  人們叫你不要吵
[00:01:24.000 --> 00:01:26.000]  你都忍不住整個人彈起來
[00:01:26.000 --> 00:01:28.000]  壓都壓不住
[00:01:28.000 --> 00:01:30.000]  為什麼?
[00:01:30.000 --> 00:01:32.000]  因為你興奮
[00:01:32.000 --> 00:01:34.000]  由心底裏面
[00:01:34.000 --> 00:01:36.000]  喝彩出來
[00:01:36.000 --> 00:01:38.000]  你佩服,嘩,可以壓好球
[00:01:38.000 --> 00:01:42.000]  你不會翹起手
[00:01:42.000 --> 00:01:44.000]  翹起腳
[00:01:44.000 --> 00:01:46.000]  推完車很冷淡,挺好
[00:01:46.000 --> 00:01:48.000]  我想沒有人這樣看球
[00:01:48.000 --> 00:01:52.000]  特別是冠軍那場
[00:01:52.000 --> 00:01:54.000]  就算你放工好累
[00:01:54.000 --> 00:01:56.000]  又或者你心情一般般
[00:01:56.000 --> 00:01:58.000]  只要你肯投入去看
[00:01:58.000 --> 00:02:00.000]  我相信
[00:02:00.000 --> 00:02:02.000]  你會越看就越精神
[00:02:02.000 --> 00:02:04.000]  越看就越興奮
[00:02:04.000 --> 00:02:06.000]  有沒有印象?
