
[00:00:00.000 --> 00:00:01.400]  《約瑟傳奇》
[00:00:01.400 --> 00:00:06.840]  另外這裡是說由37章
[00:00:06.840 --> 00:00:10.560]  剛才主席跟我們讀是第一段開始
[00:00:10.560 --> 00:00:13.880]  然後就差不多最後一段
[00:00:13.880 --> 00:00:18.680]  37到50總共是多少章?
[00:00:18.680 --> 00:00:23.720]  計數快的,多少章?
[00:00:23.720 --> 00:00:25.800]  大聲一點
[00:00:25.800 --> 00:00:27.640]  13,14
[00:00:28.200 --> 00:00:31.120]  34,37數到50就是14
[00:00:31.120 --> 00:00:36.640]  不過中間0044有一章不是說約瑟的
[00:00:36.640 --> 00:00:39.200]  38章不是說約瑟的
[00:00:39.200 --> 00:00:42.080]  為什麼《創世紀》這麼特別呢?這麼有趣呢?
[00:00:42.080 --> 00:00:45.920]  第38章不說,一會兒我就會告訴大家
[00:00:45.920 --> 00:00:49.520]  約瑟在一生的裡面,在他的生命裡面
[00:00:49.520 --> 00:00:53.000]  充滿了傳奇的色彩
[00:00:53.000 --> 00:00:54.200]  如果你問我
[00:00:54.200 --> 00:00:56.880]  想不想這樣?我一定不想
[00:00:56.880 --> 00:00:58.680]  你問我要不要做宰相?
[00:00:58.680 --> 00:01:01.520]  不好了吧?不想
[00:01:01.520 --> 00:01:05.800]  我寧願正如蘇軾所說
[00:01:05.800 --> 00:01:08.600]  但願生子如扯老
[00:01:08.600 --> 00:01:11.320]  無災無難,道恭卿
[00:01:11.320 --> 00:01:14.520]  哪有這麼有好處?
[00:01:14.520 --> 00:01:17.080]  生個兒子,又牛又蠢
[00:01:17.080 --> 00:01:20.280]  然後無災無難就可以做官
[00:01:20.280 --> 00:01:21.600]  哪有這麼有好處?
[00:01:21.600 --> 00:01:24.680]  原來人世間有很多不同的事情
[00:01:24.680 --> 00:01:28.960]  神要用我們的時候,就要給我們一些經歷鍛鍊磨練
[00:01:28.960 --> 00:01:32.000]  而在這些過程裡面,都是很辛苦的
[00:01:32.000 --> 00:01:34.040]  都是很困難的
[00:01:34.040 --> 00:01:40.640]  如果說這一章37章開始
[00:01:40.640 --> 00:01:47.320]  就在說約瑟在家裡面的一個傳奇
[00:01:47.320 --> 00:01:53.280]  在家裡家人關係裡面,他怎樣去跟父親的關係
