
[00:00:00.000 --> 00:00:02.000]  各位電影姐妹轉內平安
[00:00:02.000 --> 00:00:04.000]  因為颱風的關係
[00:00:04.000 --> 00:00:08.000]  我們不能夠親身在教會裡一起去敬拜
[00:00:08.000 --> 00:00:12.500]  先將崇拜講道透過錄影的方式
[00:00:12.500 --> 00:00:15.000]  讓上帝的說話
[00:00:15.000 --> 00:00:19.000]  其實都沒有難阻進到我們每一位的內心
[00:00:19.000 --> 00:00:22.000]  今天我們會看文素記的十八章
[00:00:22.000 --> 00:00:24.000]  我為這一章的經文
[00:00:24.000 --> 00:00:26.000]  起了一個題目
[00:00:26.000 --> 00:00:29.000]  就是「神聖界線下的賞詞」
[00:00:29.000 --> 00:00:32.000]  講到界線相信大家都不陌生
[00:00:32.000 --> 00:00:34.000]  譬如搭交通工具
[00:00:34.000 --> 00:00:38.000]  會有廣播講請勿超越黃線
[00:00:38.000 --> 00:00:42.000]  其實都是讓交通工具和乘客之間
[00:00:42.000 --> 00:00:47.000]  有一定的距離去保護免受傷害
[00:00:47.000 --> 00:00:51.000]  而當神創造天地的時候
[00:00:51.000 --> 00:00:55.000]  其實都設立了一個界線或者是秩序
[00:00:55.000 --> 00:00:59.000]  神跟亞當夏娃說
[00:00:59.000 --> 00:01:02.000]  園中所有樹的果子都可以吃
[00:01:02.000 --> 00:01:05.000]  除了分別是惡樹的果子
[00:01:05.000 --> 00:01:09.000]  這個界線的觀念相信大家都清楚
[00:01:09.000 --> 00:01:11.000]  至於賞詞
[00:01:11.000 --> 00:01:15.000]  對於上班的電影姐妹來說
[00:01:15.000 --> 00:01:20.000]  想起賞詞會不會就是年終的獎金
[00:01:20.000 --> 00:01:23.000]  譬如公司生意好
[00:01:23.000 --> 00:01:27.000]  或者在工作上有特別出色的表現
[00:01:27.000 --> 00:01:32.000]  於是公司就會設立賞詞的獎金
[00:01:32.000 --> 00:01:34.000]  但我們又會知道
[00:01:34.000 --> 00:01:38.000]  這些獎金每一年金額都不同
[00:01:38.000 --> 00:01:40.000]  或者有大有小
[00:01:40.000 --> 00:01:42.000]  甚至有時是沒有的
[00:01:42.000 --> 00:01:46.000]  如果喜歡看劇集的弟兄姊妹
[00:01:46.000 --> 00:01:49.000]  可能賞詞對你來說
[00:01:49.000 --> 00:01:53.000]  就想起皇上心情好
[00:01:53.000 --> 00:01:55.000]  或者他打勝仗
[00:01:55.000 --> 00:01:58.000]  他就將一些珍貴的財物
[00:01:58.000 --> 00:02:04.000]  送贈給一些官員
[00:02:04.000 --> 00:02:11.000]  界線和賞詞在神的心意和定義下
[00:02:11.000 --> 00:02:12.000]  其實是怎樣呢
[00:02:12.000 --> 00:02:16.000]  我們也看看文素記十八章
[00:02:16.000 --> 00:02:18.000]  上帝給我們的說話
[00:02:18.000 --> 00:02:20.000]  我們先做一個祈禱
[00:02:20.000 --> 00:02:23.000]  三一真神我們來到祢面前
[00:02:23.000 --> 00:02:25.000]  神祢的話語一解開
[00:02:25.000 --> 00:02:29.000]  我們就體會在神聖界線底下
[00:02:29.000 --> 00:02:33.000]  神給人的三種賞詞
[00:02:33.000 --> 00:02:35.000]  願講的、聽的
[00:02:35.000 --> 00:02:41.000]  我們都細心地去接收、傳講並回應
[00:02:41.000 --> 00:02:42.000]  我們這樣同心祈禱
[00:02:42.000 --> 00:02:44.000]  奉耶穌基督的名字
[00:02:44.000 --> 00:02:45.000]  阿門
[00:02:47.000 --> 00:02:50.000]  在文素記十八章有一個字
[00:02:50.000 --> 00:02:54.000]  中文聖經用一個譯音
[00:02:54.000 --> 00:02:58.000]  譯希伯來文就是Mathana
[00:02:58.000 --> 00:03:05.000]  一個Mathana就在整卷文素記三十二章裏
[00:03:05.000 --> 00:03:09.000]  只是在第十八章裏出現過
[00:03:09.000 --> 00:03:13.000]  其實文素記二十一章有一個地名
[00:03:13.000 --> 00:03:15.000]  也是叫Mathana
[00:03:15.000 --> 00:03:19.000]  但是翻譯做賞詞、禮物的
[00:03:19.000 --> 00:03:22.000]  就只有文素記十八章
[00:03:22.000 --> 00:03:24.000]  一共有三次
[00:03:24.000 --> 00:03:26.000]  我們先看一下
[00:03:26.000 --> 00:03:31.000]  頭兩次出現在文素記的第一個段落
[00:03:31.000 --> 00:03:34.000]  就是第六、第七次
[00:03:34.000 --> 00:03:36.000]  聖經裏是這樣說的
[00:03:36.000 --> 00:03:38.000]  神對阿倫說
[00:03:38.000 --> 00:03:41.000]  我已經將你們的弟兄利美人
[00:03:41.000 --> 00:03:44.000]  從以色列人中揀選出來歸耶和華
[00:03:44.000 --> 00:03:47.000]  是給你們作為賞詞的
[00:03:47.000 --> 00:03:49.000]  為要辦理會幕的事
[00:03:49.000 --> 00:03:54.000]  你和你的兒子要為一切贖禪和萬子內的事
[00:03:54.000 --> 00:03:56.000]  一同守祭司的職任
[00:03:56.000 --> 00:03:58.000]  你們要這樣恭職
[00:03:58.000 --> 00:04:02.000]  我將祭司的職任給你們當作賞詞
[00:04:02.000 --> 00:04:03.000]  侍奉我
[00:04:03.000 --> 00:04:06.000]  在這兩句裏面
[00:04:06.000 --> 00:04:12.000]  我們體會到原來神給阿倫和他的兒子
[00:04:12.000 --> 00:04:14.000]  有服侍的機會
[00:04:14.000 --> 00:04:17.000]  一個是神體為賞詞
[00:04:17.000 --> 00:04:20.000]  當然確實有一些實務
[00:04:20.000 --> 00:04:23.000]  譬如要做憲制
[00:04:23.000 --> 00:04:25.000]  教導百姓
[00:04:25.000 --> 00:04:27.000]  神的律法
[00:04:27.000 --> 00:04:32.000]  和主持一些公正判斷的事
[00:04:32.000 --> 00:04:33.000]  這些都是工作
[00:04:33.000 --> 00:04:35.000]  但是神告訴阿倫
[00:04:35.000 --> 00:04:37.000]  這個是賞詞的
[00:04:37.000 --> 00:04:40.000]  另外神在說的一種賞詞
[00:04:40.000 --> 00:04:42.000]  就是有侍奉團隊
[00:04:42.000 --> 00:04:46.000]  有整個利美茲派的每一人
[00:04:46.000 --> 00:04:49.000]  都可以在當中服侍
[00:04:49.000 --> 00:04:52.000]  神將利美茲派的人
[00:04:52.000 --> 00:04:55.000]  給過阿倫和他的兒子
[00:04:55.000 --> 00:04:58.000]  成為一個侍奉的團隊
[00:04:58.000 --> 00:05:00.000]  這個也是一個賞詞
[00:05:00.000 --> 00:05:02.000]  在這兩句經文裏
[00:05:02.000 --> 00:05:05.000]  我們不如稍稍了解一下
[00:05:05.000 --> 00:05:08.000]  其實祭司是一個怎樣的身份
[00:05:08.000 --> 00:05:11.000]  其實祭司可以看為一個中間人
[00:05:11.000 --> 00:05:15.000]  就是神聖的上帝
[00:05:15.000 --> 00:05:17.000]  和有限制
[00:05:17.000 --> 00:05:21.000]  甚至有罪的人之間的一個中間人
[00:05:21.000 --> 00:05:26.000]  祭司的角色就是讓人
[00:05:26.000 --> 00:05:30.000]  不會因為不清楚
[00:05:30.000 --> 00:05:33.000]  或者僭奪了一些職份
