
[00:00:00.000 --> 00:00:02.800]  各位姐妹有沒有吃紅豆沙呢?
[00:00:02.800 --> 00:00:05.240]  今天我們一碗紅湯
[00:00:05.240 --> 00:00:07.320]  紅豆沙
[00:00:07.320 --> 00:00:08.120]  好了
[00:00:08.120 --> 00:00:11.440]  聖經人、聖經事、生命說書的網絡
[00:00:11.440 --> 00:00:13.040]  和你分享聖經
[00:00:13.040 --> 00:00:15.200]  看看上帝的心意
[00:00:15.200 --> 00:00:17.040]  看看人有什麼經歷
[00:00:17.040 --> 00:00:18.960]  看看聖經故事
[00:00:18.960 --> 00:00:20.200]  一碗紅湯
[00:00:20.200 --> 00:00:22.800]  大家知道不說誰了
[00:00:22.800 --> 00:00:23.480]  好了
[00:00:23.480 --> 00:00:26.080]  《創世紀》二十五章二十七節
[00:00:26.080 --> 00:00:29.920]  兩個孩子漸漸長大 以素
[00:00:29.920 --> 00:00:33.680]  大仔善於打獵 常在田野
[00:00:33.680 --> 00:00:39.280]  雅各為人安靜 常住在帳棚裡
[00:00:39.280 --> 00:00:43.080]  以撒(爸爸)愛大仔以素
[00:00:43.080 --> 00:00:45.720]  因為常吃他的野味
[00:00:45.720 --> 00:00:49.200]  而利伯加可能時時都在帳棚裡
[00:00:49.200 --> 00:00:51.400]  又愛文靜的雅各
[00:00:51.400 --> 00:00:52.640]  話說回來
[00:00:52.640 --> 00:00:54.880]  我媽媽都說我小時候很文靜的
[00:00:54.880 --> 00:00:56.640]  我不知道是不是像雅各
[00:00:56.640 --> 00:00:57.960]  為人安靜
[00:00:57.960 --> 00:01:00.960]  常在帳棚裡
[00:01:00.960 --> 00:01:01.600]  好了
[00:01:01.600 --> 00:01:03.720]  兩個兒子是哪兩個呢?
[00:01:03.720 --> 00:01:06.320]  就是阿伯拉罕的兒子以撒
[00:01:06.320 --> 00:01:08.680]  娶了利伯加為妻
[00:01:08.680 --> 00:01:09.800]  就是那個僕人
[00:01:09.800 --> 00:01:14.160]  把手放在阿伯拉罕的大腿底下起勢
[00:01:14.160 --> 00:01:15.960]  回到吾爾的地方
[00:01:15.960 --> 00:01:17.880]  回到他家鄉附近
[00:01:17.880 --> 00:01:22.200]  娶了認識到利伯加
[00:01:22.200 --> 00:01:25.160]  又順利地娶了利伯加過來
[00:01:25.160 --> 00:01:26.360]  帶了他回來
[00:01:26.360 --> 00:01:30.200]  然後就嫁了給自己的少爺以撒
[00:01:30.200 --> 00:01:32.800]  接著就懷胎了
[00:01:32.800 --> 00:01:35.240]  懷胎就雙胞胎
[00:01:35.240 --> 00:01:39.040]  大仔以素 細仔雅各
[00:01:39.040 --> 00:01:42.080]  以素打獵 常有野味
[00:01:42.080 --> 00:01:45.640]  雅各安靜 和媽媽時時在帳棚
[00:01:45.640 --> 00:01:48.720]  於是大仔
[00:01:48.720 --> 00:01:50.520]  爸爸喜歡大仔
[00:01:50.520 --> 00:01:53.440]  媽媽喜歡拉仔
[00:01:53.440 --> 00:01:54.840]  就是這樣發生了
[00:01:54.840 --> 00:01:58.120]  有一天雅各熬湯
[00:01:58.120 --> 00:02:00.280]  厲害 還煮東西
[00:02:00.280 --> 00:02:01.520]  為什麼媽媽喜歡他呢?
[00:02:01.520 --> 00:02:02.760]  煮東西
[00:02:02.760 --> 00:02:05.200]  和媽媽一起煮東西
[00:02:05.200 --> 00:02:06.920]  所以媽媽特別疼他
[00:02:06.920 --> 00:02:09.160]  以素從田野回來
[00:02:09.160 --> 00:02:12.400]  出去打獵 醉了
[00:02:12.400 --> 00:02:15.320]  又被一隻鹿走了
[00:02:15.320 --> 00:02:17.360]  很累回來了
[00:02:17.360 --> 00:02:20.800]  看來他的樣子沒有帶什麼回來
[00:02:20.800 --> 00:02:23.240]  可能那天空手回來
[00:02:23.240 --> 00:02:24.560]  又很累很失望
[00:02:24.560 --> 00:02:27.600]  不成功 今天沒有捉到什麼
[00:02:27.600 --> 00:02:29.680]  可能是因為沒有提到帶了什麼回來
[00:02:29.680 --> 00:02:32.040]  以素對雅各說
[00:02:32.040 --> 00:02:33.160]  因為帶了東西回來
[00:02:33.160 --> 00:02:37.640]  馬上剝皮 拆骨 洗乾淨 燒
[00:02:37.640 --> 00:02:40.640]  很有可能是帶不了東西回來
[00:02:40.640 --> 00:02:43.160]  醉到累昏了
[00:02:43.160 --> 00:02:45.960]  還沒打到就夜了回來 很累了
[00:02:45.960 --> 00:02:48.240]  以素對雅各說
[00:02:48.240 --> 00:02:53.280]  我累昏了 累到死了
[00:02:53.280 --> 00:02:55.520]  在做什麼呢?
[00:02:55.520 --> 00:02:57.360]  在煮湯
[00:02:57.360 --> 00:02:59.960]  紅湯 好啊
[00:02:59.960 --> 00:03:02.680]  求你把一隻紅湯給我喝
[00:03:02.680 --> 00:03:06.440]  紅豆湯 其實也沒有說過「豆」
[00:03:06.440 --> 00:03:08.160]  沒有「豆」字
[00:03:08.160 --> 00:03:10.920]  紅湯給我喝
[00:03:10.920 --> 00:03:16.080]  因為紅湯 紅是因為今天這件事
[00:03:16.080 --> 00:03:17.440]  馬上就說了
[00:03:17.440 --> 00:03:19.560]  以素因為這個名字
[00:03:19.560 --> 00:03:21.200]  又叫做「以東」
[00:03:21.200 --> 00:03:25.120]  「Adom」就是紅色的意思
[00:03:25.120 --> 00:03:28.320]  其實出生以素這個字
[00:03:28.320 --> 00:03:30.520]  就是很多毛
[00:03:30.520 --> 00:03:33.040]  很多毛窩 毛鞋
[00:03:33.040 --> 00:03:35.800]  雅各的意思就是抓住
[00:03:35.800 --> 00:03:41.040]  抓住哥哥的腳踭出世
[00:03:41.040 --> 00:03:42.600]  兩個踭出線
[00:03:42.600 --> 00:03:44.560]  誰知道以素比較強壯
[00:03:44.560 --> 00:03:45.960]  先鑽出來
[00:03:45.960 --> 00:03:47.040]  他就輸了
[00:03:47.040 --> 00:03:48.760]  抓住腳踭 想拔掉哥哥
[00:03:48.760 --> 00:03:49.760]  誰知道拔不掉
[00:03:49.760 --> 00:03:53.320]  可能這一兩分鐘之隔就做了弟弟
[00:03:53.320 --> 00:03:56.240]  以素就做了哥哥 大兒子
[00:03:56.240 --> 00:03:58.600]  在煮紅湯
[00:03:58.600 --> 00:04:01.680]  由於要喝紅湯
[00:04:01.680 --> 00:04:03.480]  就改了新名字叫「紅」
[00:04:03.480 --> 00:04:05.200]  是以後改的 不是現在的
[00:04:05.200 --> 00:04:07.200]  好了 雅各就說
[00:04:07.200 --> 00:04:13.160]  「你今天把長子的名份賣給我喝紅湯」
[00:04:13.160 --> 00:04:16.680]  「行 把你長子的名份賣給我」
[00:04:16.680 --> 00:04:18.200]  真金白銀交易
[00:04:18.200 --> 00:04:20.400]  我給你一碗湯 你喝你想喝
[00:04:20.400 --> 00:04:23.320]  餓到暈 累到暈
[00:04:23.320 --> 00:04:25.640]  「如果你把長子的名份給我」
[00:04:25.640 --> 00:04:28.760]  「這碗紅湯你煲都給你」
[00:04:28.760 --> 00:04:29.800]  以素就說
[00:04:29.800 --> 00:04:32.760]  「唉呀 我都累得快要死了」
[00:04:32.760 --> 00:04:35.760]  「長子的名份對我有什麼益處呢?」
[00:04:35.760 --> 00:04:37.280]  「我現在都頂不住了」
[00:04:37.280 --> 00:04:39.800]  「長子的名份給你都沒用」
[00:04:39.800 --> 00:04:41.240]  「長子的名份又怎樣?」
[00:04:41.240 --> 00:04:42.640]  「就當飯吃嗎?」
[00:04:42.640 --> 00:04:45.760]  於是就說「好啊 給你吧」
[00:04:45.760 --> 00:04:47.520]  於是雅各就說
[00:04:47.520 --> 00:04:49.720]  「你今天對我起誓」
[00:04:49.720 --> 00:04:52.000]  於是以素就對他起誓
[00:04:52.000 --> 00:04:55.160]  把長子的名份賣給他
[00:04:55.160 --> 00:04:58.520]  於是雅各就把餅和紅豆湯
[00:04:58.520 --> 00:05:01.200]  這裡有紅豆湯 有豆
[00:05:01.200 --> 00:05:03.560]  給了以素
[00:05:03.560 --> 00:05:05.360]  以素吃了喝了
[00:05:05.360 --> 00:05:07.360]  起來就走了
[00:05:07.360 --> 00:05:11.160]  這就是以素輕看了他的長子名份
[00:05:11.160 --> 00:05:15.400]  好 我想說一下這個紅豆湯是什麼呢?
[00:05:15.400 --> 00:05:18.720]  其實就是我們今天的扁豆
[00:05:18.720 --> 00:05:21.560]  今天的扁豆有很多種
[00:05:21.560 --> 00:05:23.640]  有煲出來紅色 有煲出來綠色
[00:05:23.640 --> 00:05:25.640]  圓形一粒小小一粒扁的
[00:05:25.640 --> 00:05:30.840]  今天如果我們有機會去以色列
[00:05:30.840 --> 00:05:32.080]  去到拿撒勒
[00:05:32.080 --> 00:05:36.840]  有一個叫做古村
[00:05:36.840 --> 00:05:40.680]  保持第一世紀的地方
[00:05:40.680 --> 00:05:44.040]  在那裡有一個廚房
[00:05:44.040 --> 00:05:47.000]  在那裡如果你吃飯訂了餐
[00:05:47.000 --> 00:05:49.000]  就有湯喝
[00:05:49.000 --> 00:05:51.000]  加上一塊塊餅
[00:05:51.000 --> 00:05:53.800]  就是這裡的餅和紅豆湯
[00:05:53.800 --> 00:05:56.760]  特意用茄子做餅和紅豆湯
[00:05:56.760 --> 00:05:58.760]  那些紅豆湯
[00:05:58.760 --> 00:06:01.320]  你很奇怪 竟然不說
[00:06:01.320 --> 00:06:02.320]  不知道人人都說
[00:06:02.320 --> 00:06:04.320]  這些是不是綠豆湯 好吃 好吃
[00:06:04.320 --> 00:06:07.040]  人人都覺得好像以素那樣
[00:06:07.040 --> 00:06:09.800]  我吃了 嘩 好吃 好吃
[00:06:09.800 --> 00:06:11.320]  那些湯是綠色的
[00:06:11.320 --> 00:06:13.320]  我以為是綠豆 有豆 很多豆
[00:06:13.320 --> 00:06:17.120]  原來紅豆湯就是這個湯
[00:06:17.120 --> 00:06:18.720]  扁豆湯
[00:06:18.720 --> 00:06:20.720]  有些紅色 有些綠色
[00:06:20.720 --> 00:06:23.040]  很有可能當日用的扁豆
