
[00:00:00.000 --> 00:00:04.580]  主持人:好,弟兄姊妹,早晨!我們再一次低頭祈禱。
[00:00:04.580 --> 00:00:09.740]  天父願祢的話語在我們中間來做一次跟我們說話。
[00:00:09.740 --> 00:00:13.780]  願我們的心靈打開的時候,你聽到的不單止是人的聲音,
[00:00:13.780 --> 00:00:17.500]  你聽到,讓我們也聽到你自己的聲音。
[00:00:17.500 --> 00:00:21.940]  你的呼喚不單止是讓我們知道一些內容,
[00:00:21.940 --> 00:00:25.620]  讓我們知道一些知識,也是呼喚我們來跟從。
[00:00:25.620 --> 00:00:29.460]  願你讓我們看到我們自己真實內心的情況的時候,
[00:00:29.460 --> 00:00:33.460]  我們向你面前來求恩典,求憐憫,
[00:00:33.460 --> 00:00:37.140]  來禱告奉耶穌基督的名其求。阿們。
[00:00:37.140 --> 00:00:43.300]  好了,弟兄姊妹,今天我們就一起來思想第四篇,第五十一篇。
[00:00:43.300 --> 00:00:50.060]  之前在壽苦節那個時間,你也知道我們一起來思想,
[00:00:50.060 --> 00:01:00.360]  就是在教會歷史當中稱為七重要的七宗罪的內容,
[00:01:00.360 --> 00:01:05.720]  說到人心裡面的那些黑暗的情況,
[00:01:05.720 --> 00:01:09.800]  這個也是一個很真實的情況。
[00:01:09.800 --> 00:01:16.060]  最近我就看了一本書的內容,
[00:01:16.060 --> 00:01:23.120]  不知道你有沒有發覺在現在這個世界,特別是在美國,
[00:01:23.120 --> 00:01:29.440]  最近這一兩年,其實也不止一兩年,也有一段時間,
[00:01:29.440 --> 00:01:37.720]  很多的政治的爭拗,政治的分歧,
[00:01:37.720 --> 00:01:41.840]  去到大家都是你死我活的一個地步,
[00:01:41.840 --> 00:01:50.020]  就是大家都是各不相讓,甚至乎看對方是一個仇人的情況。
[00:01:50.020 --> 00:01:55.200]  當然也不是理想,但是我都問了一個問題,
[00:01:55.200 --> 00:02:02.720]  究竟其實背後人的政治取向究竟是怎麼來的呢?
[00:02:02.720 --> 00:02:11.280]  或者哪一類的人會選擇哪一方面的政治傾向呢?
[00:02:11.280 --> 00:02:15.580]  那本書其實是在說這件事,
[00:02:15.580 --> 00:02:21.560]  說到最後的時候,其實整本書有一個框架,
[00:02:21.560 --> 00:02:23.900]  我從來都沒有這樣想過,
[00:02:23.900 --> 00:02:27.900]  就是原來在這個世界,
[00:02:27.900 --> 00:02:34.500]  人怎麼看這個世界,其實就是你選擇什麼政治的取向,
[00:02:34.500 --> 00:02:38.020]  這個很合理,你看這個世界是這樣的,
[00:02:38.020 --> 00:02:42.460]  那你就選擇參加什麼政治的政黨,
[00:02:42.460 --> 00:02:46.440]  或者你的政治的取向是怎麼樣的。
[00:02:46.440 --> 00:02:50.040]  但是那本書的框架有一個很特別的地方,
[00:02:50.040 --> 00:03:00.800]  它說其實不同的,簡單來說就是左派右派,
[00:03:00.800 --> 00:03:04.540]  自由派或者保守派,
[00:03:04.540 --> 00:03:11.720]  它說其實最重要的一個框架就是兩種人看世界的不同,
[00:03:11.720 --> 00:03:14.000]  這兩種人是什麼人呢?
[00:03:14.000 --> 00:03:19.860]  有一種人不是看世界,而是看人性的不同,
[00:03:19.860 --> 00:03:24.740]  有一種人他看人性是美好的,
[00:03:24.740 --> 00:03:32.260]  這個世界慢慢慢慢是藉著建立一些美善的制度,
[00:03:32.260 --> 00:03:38.980]  政府的幫助,外在的立法,一些的規條,
[00:03:38.980 --> 00:03:45.020]  可以在地上建立一個越來越好的世界。
[00:03:45.020 --> 00:03:49.280]  當然去不去到烏托邦就很遠的路了,
[00:03:49.280 --> 00:03:53.460]  但是最低限度就是這樣看世界,
[00:03:53.460 --> 00:03:56.800]  人性是美好的,所以要藉著,
[00:03:56.800 --> 00:04:02.340]  有些人現在可能是落到一些很慘的位置,
[00:04:02.340 --> 00:04:05.520]  譬如可能他做錯了一些事要坐牢,
[00:04:05.520 --> 00:04:12.400]  或者他做了一些錯的決定落到一個,
[00:04:12.400 --> 00:04:15.240]  譬如可能要睡街或者無家可歸,
[00:04:15.240 --> 00:04:18.040]  但是基本上他都是美好的,
[00:04:18.040 --> 00:04:23.160]  所以藉著一些外在的幫助,
[00:04:23.160 --> 00:04:29.040]  就可以幫助他慢慢慢慢去建立起來,
[00:04:29.040 --> 00:04:31.860]  這個世界就會越來越美好了。
[00:04:31.860 --> 00:04:35.900]  這是其中一種看世界的方式,
[00:04:35.900 --> 00:04:38.160]  或者看人性的方式,
[00:04:38.160 --> 00:04:41.380]  你就知道他選了哪一邊,
[00:04:41.380 --> 00:04:45.240]  就是進步主義的方向。
[00:04:45.240 --> 00:04:48.540]  但是另外一種的世界觀是不同的,
[00:04:48.540 --> 00:04:57.500]  另外一種的人就說看世界看人性是邪惡的,
[00:04:57.500 --> 00:05:01.380]  人是黑暗的,
[00:05:01.380 --> 00:05:06.720]  在這個世界都不用指望是會建立一個
[00:05:06.720 --> 00:05:10.460]  人類美好的烏托邦,
[00:05:10.460 --> 00:05:15.040]  你打算要建立一些用一些政府的權力,
[00:05:15.040 --> 00:05:20.120]  將我給一些權力給一些機構,外在的建立一些制度,
[00:05:20.120 --> 00:05:25.940]  給那些人打算他會幫你建立一個美好的世界嗎?
[00:05:25.940 --> 00:05:29.880]  你不用指望,他拿了那些權力他就腐敗了,
[00:05:29.880 --> 00:05:34.940]  他就會有貪污各樣東西,
[00:05:34.940 --> 00:05:39.620]  所以政府的位置你就不要給他那麼多權力,
[00:05:39.620 --> 00:05:42.140]  你甚至乎要限制他,
[00:05:42.140 --> 00:05:45.620]  因為你也是污衊,他也是污衊,
[00:05:45.620 --> 00:05:49.000]  他不會做了政府官員的時候突然間變成聖人,
[00:05:49.000 --> 00:05:53.160]  所以其實就是這兩種不同的世界觀,
[00:05:53.160 --> 00:05:58.220]  或者不同的人性觀來給我們看到,
[00:05:58.220 --> 00:06:03.260]  其實就是一個最基本的分別。
[00:06:03.260 --> 00:06:05.360]  而我問大家,
[00:06:05.360 --> 00:06:14.040]  為什麼在美國當中還有那麼多的人
[00:06:14.040 --> 00:06:21.100]  仍然都是覺得政府需要限制呢?
[00:06:21.100 --> 00:06:25.140]  或者仍然都是那麼支持保守主義的呢?
[00:06:25.140 --> 00:06:27.440]  這個我之前很少想,
[00:06:27.440 --> 00:06:32.800]  原來因為在美國當中還有很多基督徒,
[00:06:32.800 --> 00:06:35.980]  不知道你有沒有這樣想過,
[00:06:35.980 --> 00:06:42.280]  譬如你看一些現在在歐洲那邊的,
