
[00:00:00.000 --> 00:00:01.000]  丁志銘早晨
[00:00:01.000 --> 00:00:03.000]  由我們一同再次禱告
[00:00:03.000 --> 00:00:04.000]  天父我們多謝你
[00:00:04.000 --> 00:00:06.000]  讓我們一齊可以敬拜你
[00:00:06.000 --> 00:00:09.000]  我們在這個時代
[00:00:09.000 --> 00:00:11.000]  我們去敬拜你的時候
[00:00:11.000 --> 00:00:13.000]  我們是看不到神在哪裡
[00:00:13.000 --> 00:00:15.000]  但我們知道你
[00:00:15.000 --> 00:00:16.000]  就是在天上面
[00:00:16.000 --> 00:00:19.000]  亦都是在我們當中
[00:00:19.000 --> 00:00:20.000]  我們敬拜你
[00:00:20.000 --> 00:00:21.000]  要用心靈和誠實
[00:00:21.000 --> 00:00:23.000]  亦都要用神的話語
[00:00:23.000 --> 00:00:25.000]  去明白去理解
[00:00:25.000 --> 00:00:28.000]  以致我們更加來到去敬拜
[00:00:28.000 --> 00:00:30.000]  敬畏我們的神
[00:00:30.000 --> 00:00:32.000]  求主你帶領以下時間
[00:00:32.000 --> 00:00:36.000]  叫孩子有閒的表達
[00:00:36.000 --> 00:00:37.000]  講的和聽的
[00:00:37.000 --> 00:00:39.000]  一同得著你的話語
[00:00:39.000 --> 00:00:40.000]  你聖靈幫助我們
[00:00:40.000 --> 00:00:41.000]  來到去
[00:00:41.000 --> 00:00:43.000]  在我們當中
[00:00:43.000 --> 00:00:47.000]  使我們謹守遵行主你的道
[00:00:47.000 --> 00:00:48.000]  同時主聽我禱告
[00:00:48.000 --> 00:00:50.000]  奉耶穌基督的名字
[00:00:50.000 --> 00:00:51.000]  下門
[00:00:51.000 --> 00:00:53.000]  這個時代就是一個亂世
[00:00:53.000 --> 00:00:54.000]  在這個亂世裏面
[00:00:54.000 --> 00:00:56.000]  有很多東西令我們懼怕
[00:00:56.000 --> 00:00:58.000]  大家可以想想
[00:00:58.000 --> 00:01:01.000]  有什麼東西令我們懼怕
[00:01:01.000 --> 00:01:03.000]  懼怕這個字亦都很特別
[00:01:03.000 --> 00:01:05.000]  英文是fear
[00:01:05.000 --> 00:01:08.000]  fear亦都可以譯為敬畏
[00:01:08.000 --> 00:01:10.000]  所以在聖經裏面
[00:01:10.000 --> 00:01:12.000]  懼怕有兩方面
[00:01:12.000 --> 00:01:15.000]  一方面是懼怕一些事情
[00:01:15.000 --> 00:01:16.000]  一些人
[00:01:16.000 --> 00:01:19.000]  另一方面你又可以懼怕神
[00:01:19.000 --> 00:01:23.000]  因為我們是fear God
[00:01:23.000 --> 00:01:26.000]  這個懼怕是敬畏神
[00:01:26.000 --> 00:01:28.000]  如果你看懼怕
[00:01:28.000 --> 00:01:30.000]  稍為想想什麼是懼怕
[00:01:30.000 --> 00:01:33.000]  其實懼怕就是
