
[00:00:00.000 --> 00:00:03.000]  若白是一位義人
[00:00:03.000 --> 00:00:06.000]  若白在當中,當時的環境裡
[00:00:06.000 --> 00:00:08.000]  他是一個德高望重的人
[00:00:08.000 --> 00:00:12.000]  若白同樣是上帝的眼中,是上帝的僕人
[00:00:12.000 --> 00:00:17.000]  是上帝親口稱呼若白是我的僕人
[00:00:17.000 --> 00:00:19.000]  一位德高望重,一位義人
[00:00:19.000 --> 00:00:23.000]  一位神眼中刊為重要的一位人物
[00:00:23.000 --> 00:00:26.000]  卻被撒旦一次和上帝
[00:00:26.000 --> 00:00:28.000]  兩次和上帝的對話
[00:00:28.000 --> 00:00:31.000]  帶來很沉重的苦難
[00:00:31.000 --> 00:00:34.000]  而這個苦難是他從來沒有預計過的苦難
[00:00:34.000 --> 00:00:37.000]  他不但肉身受苦難
[00:00:37.000 --> 00:00:39.000]  不但失去了子女
[00:00:39.000 --> 00:00:42.000]  失去了財產,也失去了健康
[00:00:42.000 --> 00:00:46.000]  更加帶給他很多心靈裡的重擔
[00:00:46.000 --> 00:00:49.000]  就是那三個朋友和他很多的爭吵
[00:00:49.000 --> 00:00:52.000]  究竟苦難的原因是否因為罪
[00:00:52.000 --> 00:00:56.000]  這個報應論帶來了一個很重要的訊息
[00:00:56.000 --> 00:00:58.000]  在若白的裡邊
[00:00:58.000 --> 00:01:01.000]  所以若白不但肉身受很多的痛苦
[00:01:01.000 --> 00:01:05.000]  但他心靈更深的痛苦就是
[00:01:05.000 --> 00:01:09.000]  很多人不明白他為什麼要面對這個苦難
[00:01:09.000 --> 00:01:13.000]  但另一方面,當上帝和他說話的時候
[00:01:13.000 --> 00:01:17.000]  上帝從來沒有解釋為什麼他要面對苦難
[00:01:17.000 --> 00:01:18.000]  上帝沒有和若白說
[00:01:18.000 --> 00:01:22.000]  你知不知道,是撒旦有一天沒空和我聊天
[00:01:22.000 --> 00:01:24.000]  我看得起你,所以給你一點苦難
[00:01:24.000 --> 00:01:27.000]  不過你也沒有丟我架,你也算不錯
[00:01:27.000 --> 00:01:28.000]  上帝沒有這樣說
[00:01:28.000 --> 00:01:32.000]  上帝反而問了若白77條問題
[00:01:32.000 --> 00:01:35.000]  令到若白忽然之間醒覺
[00:01:35.000 --> 00:01:38.000]  原來今天他要和上帝去爭吵
[00:01:38.000 --> 00:01:40.000]  爭吵就是說,為什麼我有苦難
[00:01:40.000 --> 00:01:42.000]  為什麼我今天很無辜地有苦難
[00:01:42.000 --> 00:01:44.000]  上帝,你要在法庭見我
[00:01:44.000 --> 00:01:46.000]  我要和你申訴我的苦難
[00:01:46.000 --> 00:01:49.000]  你要幫我擺平它
[00:01:49.000 --> 00:01:57.000]  去到一個地步,若白居然從心底裡去認罪悔改
[00:01:57.000 --> 00:01:59.000]  今天去到結局
[00:01:59.000 --> 00:02:02.000]  我不知道大家有沒有看過《若白記》
[00:02:02.000 --> 00:02:05.000]  如果大家沒有看過《若白記》,不要緊
[00:02:05.000 --> 00:02:10.000]  你們心裏很想知道若白的結局是怎樣
[00:02:10.000 --> 00:02:14.000]  因為現在的電視劇通常都有兩個版本的結局
[00:02:14.000 --> 00:02:16.000]  一個好,一個不好
[00:02:16.000 --> 00:02:19.000]  所以我們想好還是不好
[00:02:19.000 --> 00:02:21.000]  我相信電視台是看市場的
[00:02:21.000 --> 00:02:23.000]  市場想他好就好一點,播一個好的結局
[00:02:23.000 --> 00:02:26.000]  市場想他死掉就死掉,我剪一個死掉的結局給你看
[00:02:26.000 --> 00:02:30.000]  但是今天我們想若白的結局是怎樣
[00:02:30.000 --> 00:02:34.000]  若白的結局能夠對我們的生命有什麼反思
[00:02:34.000 --> 00:02:37.000]  究竟我們期望若白的結局是什麼
[00:02:37.000 --> 00:02:39.000]  我們中國人永遠都有一個觀念
[00:02:39.000 --> 00:02:42.000]  惡有惡報,善有善報
[00:02:42.000 --> 00:02:44.000]  我們很希望能夠看到一個結局
[00:02:44.000 --> 00:02:48.000]  惡人得著懲罰,但是好人得著獎賞
[00:02:48.000 --> 00:02:52.000]  這個永遠都是我們中國人一種潛移默化的觀念
[00:02:52.000 --> 00:02:56.000]  所以若然未報,只是時辰未到
[00:02:56.000 --> 00:02:58.000]  這是我們中國人永遠的一個觀念
[00:02:58.000 --> 00:03:01.000]  究竟我們想若白的結局是一個什麼結局
[00:03:01.000 --> 00:03:04.000]  究竟我們想若白的三位朋友的結局是一個什麼結局
[00:03:04.000 --> 00:03:06.000]  終於今天《伊斯蘭威治聖經》
[00:03:06.000 --> 00:03:14.000]  來將若白的結局篇和大家分享
[00:03:14.000 --> 00:03:16.000]  我們希望藉著這個結局篇
[00:03:16.000 --> 00:03:18.000]  不單止知道若白的結局
[00:03:18.000 --> 00:03:21.000]  更深的藉著這個結局篇
[00:03:21.000 --> 00:03:24.000]  能夠成為我們數年生命的反思
[00:03:24.000 --> 00:03:27.000]  當我們看回這個結局篇的時候
[00:03:27.000 --> 00:03:30.000]  明顯是大團結局
[00:03:30.000 --> 00:03:33.000]  明顯是上帝真的祝福了若白
[00:03:33.000 --> 00:03:36.000]  明顯是不單止祝福若白
[00:03:36.000 --> 00:03:39.000]  甚至也是祝福了若白的三位朋友
[00:03:39.000 --> 00:03:41.000]  所以換句話來說
[00:03:41.000 --> 00:03:44.000]  這個結局篇是一個大團結局
[00:03:44.000 --> 00:03:47.000]  是一個大家應該很開心的結局
