
[00:00:00.000 --> 00:00:04.600]  天父多謝祢給我們能夠有生命再次返到來在神里面前
[00:00:04.600 --> 00:00:06.600]  一同去學習主理的道理
[00:00:06.600 --> 00:00:09.000]  一同去仰望在神里的對立裏面
[00:00:09.000 --> 00:00:15.000]  求主祢讓我們學會怎樣真正在祢裏面珍惜每一天的生命生活
[00:00:15.000 --> 00:00:18.600]  要懇求主祢讓我們謹守主理的道理
[00:00:18.600 --> 00:00:22.600]  現在我們懇求祢特別給我們的聖名
[00:00:22.600 --> 00:00:24.600]  運行在我們每一個人當中
[00:00:24.600 --> 00:00:27.600]  在我們生命裏面能夠聽得懂
[00:00:27.600 --> 00:00:30.600]  並且能夠將所聽盡的道理
[00:00:30.600 --> 00:00:32.600]  能夠付諸於實行
[00:00:32.600 --> 00:00:33.600]  求主祢讓我們同在
[00:00:33.600 --> 00:00:36.600]  保佑我們每一天都保貴生命之意
[00:00:36.600 --> 00:00:37.600]  阿們
[00:00:37.600 --> 00:00:41.600]  在我讀中學的時候
[00:00:41.600 --> 00:00:45.600]  我們學校每年都有舉辦這個叫做六運會的活動
[00:00:45.600 --> 00:00:47.600]  就是說在讀中學的時候
[00:00:47.600 --> 00:00:50.600]  我們學校每年都舉辦這個運動會
[00:00:50.600 --> 00:00:53.600]  我們每年的六運會
[00:00:53.600 --> 00:00:55.600]  香港就是一件大事來的
[00:00:55.600 --> 00:00:58.600]  每天學校的運動會是一件大事
[00:00:58.600 --> 00:00:59.600]  因為在香港來的
[00:00:59.600 --> 00:01:03.600]  如果你可以去搞六運會的學校
[00:01:03.600 --> 00:01:04.600]  都不是很多
[00:01:04.600 --> 00:01:07.600]  就是能夠開運動會的學校都不是很多
[00:01:07.600 --> 00:01:09.600]  如果再能夠搞六運會
[00:01:09.600 --> 00:01:11.600]  在香港的政府大球場舉行
[00:01:11.600 --> 00:01:12.600]  其實都很厲害
[00:01:12.600 --> 00:01:15.600]  如果能夠在政府大球場舉辦比賽
[00:01:15.600 --> 00:01:16.600]  是非常了不起的
[00:01:16.600 --> 00:01:19.600]  我自己那個年代
[00:01:19.600 --> 00:01:21.600]  就是在我當時那個年代
[00:01:21.600 --> 00:01:24.600]  能夠在政府大球場舉辦六運會
[00:01:24.600 --> 00:01:26.600]  六運會是一件大事
[00:01:26.600 --> 00:01:30.600]  如果能夠在政府運動會場
[00:01:30.600 --> 00:01:34.600]  準備運動會是一件大事
[00:01:34.600 --> 00:01:38.600]  但是在香港政府大球場有沒有去過?
[00:01:38.600 --> 00:01:40.600]  大家有沒有去過政府大球場?
[00:01:40.600 --> 00:01:42.600]  在政府大球場搞六運會
[00:01:42.600 --> 00:01:43.600]  有一件事是很不好的
[00:01:43.600 --> 00:01:45.600]  就是在政府大球場舉行
[00:01:45.600 --> 00:01:46.600]  這個就是運動會
[00:01:46.600 --> 00:01:48.600]  有一件事是很不好的
[00:01:48.600 --> 00:01:49.600]  運動場是香港最大的
[00:01:49.600 --> 00:01:51.600]  運動場在香港是最大的
[00:01:51.600 --> 00:01:54.600]  但是全部都是跑沙地
[00:01:54.600 --> 00:01:56.600]  太多的沙地
[00:01:56.600 --> 00:01:57.600]  沙的跑道
[00:01:57.600 --> 00:01:58.600]  沙的跑道
[00:01:58.600 --> 00:02:02.600]  沙的田徑場
[00:02:02.600 --> 00:02:04.600]  沙的田徑場
[00:02:04.600 --> 00:02:05.600]  草地是不讓你踩的
[00:02:05.600 --> 00:02:07.600]  草地是不能讓你踩的
[00:02:07.600 --> 00:02:09.600]  於是乎如果你參加六運會
[00:02:09.600 --> 00:02:11.600]  其實就是一種苦差
[00:02:11.600 --> 00:02:13.600]  如果去參加這種運動會
[00:02:13.600 --> 00:02:14.600]  都是一種苦差
[00:02:14.600 --> 00:02:16.600]  我自己就不是做跑的
[00:02:16.600 --> 00:02:17.600]  我不是很能跑的人
[00:02:17.600 --> 00:02:19.600]  因為我不是特別能跑的人
[00:02:19.600 --> 00:02:22.600]  所以很少去參加競賽
[00:02:22.600 --> 00:02:23.600]  很少去參加競賽
[00:02:23.600 --> 00:02:26.600]  但是根據師兄同學所說
[00:02:26.600 --> 00:02:28.600]  根據師兄同學所講
[00:02:28.600 --> 00:02:30.600]  每次跑賽跑真的慘
[00:02:30.600 --> 00:02:33.600]  每次賽跑都是很悲慘的事情
[00:02:33.600 --> 00:02:34.600]  千萬不要跑得慢
[00:02:34.600 --> 00:02:35.600]  千萬不能跑得太慢
[00:02:35.600 --> 00:02:37.600]  跑得慢一定吃沙
[00:02:37.600 --> 00:02:40.600]  跑得慢一定會吃到沙
[00:02:40.600 --> 00:02:42.600]  如果還遇到大風
[00:02:42.600 --> 00:02:44.600]  如果遇到大風
[00:02:44.600 --> 00:02:46.600]  滿眼滿口都是沙
[00:02:46.600 --> 00:02:49.600]  滿眼滿口都是沙
[00:02:49.600 --> 00:02:51.600]  所以我聰明一點
[00:02:51.600 --> 00:02:52.600]  所以我聰明一點
[00:02:52.600 --> 00:02:55.600]  我喜歡玩田的運動
[00:02:55.600 --> 00:02:58.600]  我參加田徑運動
[00:02:58.600 --> 00:03:00.600]  多數是扔東西
[00:03:00.600 --> 00:03:02.600]  多數是去扔東西
[00:03:02.600 --> 00:03:03.600]  所以挺好的
[00:03:03.600 --> 00:03:04.600]  去扔一下東西
[00:03:04.600 --> 00:03:06.600]  在家扔一下東西
[00:03:06.600 --> 00:03:10.600]  順便把東西扔到球場
[00:03:10.600 --> 00:03:13.600]  我推圓球摘鐵餅有一手
[00:03:13.600 --> 00:03:16.600]  我推圓球摘鐵餅有一手
[00:03:16.600 --> 00:03:18.600]  我曾經拿過季軍
[00:03:18.600 --> 00:03:21.600]  我曾經拿過全校的冠軍
[00:03:21.600 --> 00:03:22.600]  現在不行了
[00:03:22.600 --> 00:03:23.600]  現在不行了
[00:03:23.600 --> 00:03:25.600]  手腳都不太行
[00:03:25.600 --> 00:03:26.600]  手腳都不行了
[00:03:26.600 --> 00:03:29.600]  但是如果你去扔球的時候
[00:03:29.600 --> 00:03:32.600]  但是你去扔青球的時候
[00:03:32.600 --> 00:03:33.600]  一遇到大風
[00:03:33.600 --> 00:03:34.600]  如果遇到大風
[00:03:34.600 --> 00:03:37.600]  又是吹到你滿口滿臉都是沙
[00:03:37.600 --> 00:03:40.600]  只能夠吹到滿臉滿口都是沙
