
[00:00:00.000 --> 00:00:02.680]  我自己記得我剛剛過來美國的時候
[00:00:02.680 --> 00:00:04.740]  我不是基督徒
[00:00:04.740 --> 00:00:07.940]  幾多歲來美國我就不說了
[00:00:07.940 --> 00:00:11.960]  我來到的時候言語不太能溝通
[00:00:11.960 --> 00:00:14.900]  又要學一下車
[00:00:14.900 --> 00:00:22.100]  跟很少香港人會有接觸
[00:00:22.100 --> 00:00:24.740]  跟外國人比較多
[00:00:24.740 --> 00:00:31.460]  外面的人見到我會跟我講越南話
[00:00:31.460 --> 00:00:37.360]  我那個年代到處都是
[00:00:37.360 --> 00:00:38.440]  很有趣的
[00:00:38.440 --> 00:00:42.800]  後來回到教會的時候
[00:00:42.800 --> 00:00:44.060]  第一次回教會
[00:00:44.060 --> 00:00:45.800]  剛剛來美國
[00:00:45.800 --> 00:00:47.640]  在香港沒有回過
[00:00:47.640 --> 00:00:50.020]  有個人見到我
[00:00:50.020 --> 00:00:53.280]  他就問你是誰
[00:00:53.280 --> 00:00:56.920]  我就說我是誰的朋友
[00:00:56.920 --> 00:00:58.520]  他帶我來教會的
[00:00:58.520 --> 00:01:01.800]  剛剛過來讀書
[00:01:01.800 --> 00:01:05.080]  他可能見到我的樣子有點恍惚
[00:01:05.080 --> 00:01:07.080]  就沒有跟我再說話
[00:01:07.080 --> 00:01:09.140]  我就很好奇
[00:01:09.140 --> 00:01:11.480]  我就問你是誰
[00:01:11.480 --> 00:01:14.080]  因為很少講廣東話
[00:01:14.080 --> 00:01:15.580]  很少見到廣東人
[00:01:15.580 --> 00:01:16.680]  在教會見不到
[00:01:16.680 --> 00:01:18.680]  我就問你是誰
[00:01:18.680 --> 00:01:23.840]  他給我的答案是蠻特別的
[00:01:23.840 --> 00:01:25.120]  他的答案是什麼呢
[00:01:25.120 --> 00:01:27.800]  他說關你什麼事
[00:01:27.800 --> 00:01:29.480]  關你什麼事
[00:01:29.480 --> 00:01:32.880]  你想想如果你來到這個Tracy回點教會
[00:01:32.880 --> 00:01:35.120]  有人問你問那個人是誰
[00:01:35.120 --> 00:01:36.320]  有人說關你什麼事
[00:01:36.320 --> 00:01:37.560]  那你會怎樣
[00:01:37.560 --> 00:01:38.800]  掉頭離開
[00:01:38.800 --> 00:01:40.800]  離開門口
[00:01:40.800 --> 00:01:41.960]  不知道你有沒有聽到的時候
[00:01:41.960 --> 00:01:44.440]  你會覺得很委屈很傷心很被拒絕
[00:01:44.440 --> 00:01:46.520]  這個世界好像充滿拒絕
[00:01:46.520 --> 00:01:48.680]  拒絕拒絕拒絕
[00:01:48.680 --> 00:01:51.400]  但那一刻我記得
[00:01:51.400 --> 00:01:55.880]  我沒有覺得很被拒絕
[00:01:55.880 --> 00:01:59.040]  我反而有一種很親切的感覺
[00:01:59.040 --> 00:02:00.440]  很有同胞的感覺
[00:02:00.440 --> 00:02:01.600]  為什麼呢
[00:02:01.600 --> 00:02:03.640]  關你什麼事這幾個字
[00:02:03.640 --> 00:02:05.280]  關你什麼事
[00:02:05.280 --> 00:02:06.520]  很久沒有聽過了
[00:02:06.520 --> 00:02:09.760]  這麼地道這麼正宗的廣東話
[00:02:09.760 --> 00:02:11.320]  關你什麼事
[00:02:11.320 --> 00:02:13.840]  那時候我真的想擁抱他
[00:02:13.840 --> 00:02:16.680]  同胞關我什麼事
[00:02:16.680 --> 00:02:21.240]  關你什麼事
[00:02:21.240 --> 00:02:25.880]  這個字是一個很被拒絕的事
[00:02:25.880 --> 00:02:28.600]  我希望你來到這個教會的時候
[00:02:28.600 --> 00:02:31.640]  你不會認識到關你什麼事的人
[00:02:31.640 --> 00:02:34.200]  我們很感謝主因為這個弟兄
[00:02:34.200 --> 00:02:36.120]  當年到現在
[00:02:36.120 --> 00:02:38.000]  我們在主的愛裡面
[00:02:38.000 --> 00:02:39.960]  雖然他這樣跟我說
[00:02:39.960 --> 00:02:41.640]  但是在主的愛裡面
[00:02:41.640 --> 00:02:43.720]  我們今天仍然關係非常好
[00:02:43.720 --> 00:02:45.560]  彼此相愛
[00:02:45.560 --> 00:02:48.880]  在我們一起走這個信仰的道路上
[00:02:48.880 --> 00:02:50.680]  弟兄姊妹朋友
[00:02:50.680 --> 00:02:53.080]  當你去認識主耶穌的時候
[00:02:53.080 --> 00:02:55.280]  耶穌基督會不會跟你說
[00:02:55.280 --> 00:02:57.280]  關你什麼事
[00:02:57.280 --> 00:02:59.560]  當你問耶穌你是誰的時候
[00:02:59.560 --> 00:03:03.080]  耶穌絕對不會跟你說關你什麼事
[00:03:03.080 --> 00:03:04.080]  關不關你事
[00:03:04.080 --> 00:03:04.760]  弟兄姊妹朋友
[00:03:04.760 --> 00:03:06.640]  耶穌是誰
[00:03:06.640 --> 00:03:10.280]  如果你今天覺得不關你事的時候
[00:03:10.280 --> 00:03:11.800]  你要去想一想
[00:03:11.800 --> 00:03:13.600]  為什麼不關你事
[00:03:13.600 --> 00:03:15.400]  是絕對關你事
[00:03:15.400 --> 00:03:16.200]  這個聖嬰
[00:03:16.200 --> 00:03:17.760]  這個耶穌基督的降生
[00:03:17.760 --> 00:03:19.400]  關不關你事
[00:03:19.400 --> 00:03:20.960]  絕對關你事
[00:03:20.960 --> 00:03:23.160]  關不關你旁邊的人事
[00:03:23.160 --> 00:03:25.000]  絕對關那些人事
[00:03:25.000 --> 00:03:25.600]  你的親友
[00:03:25.600 --> 00:03:26.160]  你的朋友
[00:03:26.160 --> 00:03:27.680]  關不關他們事
[00:03:27.680 --> 00:03:29.560]  是關他們事
