
[00:00:00.000 --> 00:00:04.740]  今天我們要跟弟兄姊妹一同來交通的題目是
[00:00:04.740 --> 00:00:08.740]  內住舌頭做完全人
[00:00:08.740 --> 00:00:13.240]  我們要讀的聖經是在雅各蘇
[00:00:13.240 --> 00:00:17.240]  雅各蘇我們讀第三章
[00:00:17.240 --> 00:00:19.740]  這上半章的聖經
[00:00:19.740 --> 00:00:24.240]  要用到的是三章一節到十二節
[00:00:24.240 --> 00:00:28.740]  但是我們只是選一節到第五節來讀
[00:00:28.740 --> 00:00:33.740]  雅各蘇我們來讀第三章的一節到五節
[00:00:33.740 --> 00:00:42.740]  翻到以後我們要一起來讀
[00:00:42.740 --> 00:00:47.740]  雅各蘇第三章第一節到第五節
[00:00:47.740 --> 00:00:49.740]  我們一起來讀一遍
[00:00:49.740 --> 00:00:50.740]  一起來
[00:00:50.740 --> 00:00:54.740]  我的弟兄們不要偶然做失誤
[00:00:54.740 --> 00:00:58.740]  因爲曉得我們要受更重的判斷
[00:00:58.740 --> 00:01:03.740]  原來我們在許多事上都有過失
[00:01:03.740 --> 00:01:06.740]  沒有人在話語上沒有過失
[00:01:06.740 --> 00:01:08.740]  他就是完全人
[00:01:08.740 --> 00:01:12.740]  也能內住全身之身
[00:01:12.740 --> 00:01:15.740]  我們若把腳踝放在馬背
[00:01:15.740 --> 00:01:17.740]  叫他順撲
[00:01:17.740 --> 00:01:20.740]  就能調動他的全身
[00:01:20.740 --> 00:01:21.740]  看啊
[00:01:21.740 --> 00:01:23.740]  船隻雖然盛大
[00:01:23.740 --> 00:01:25.740]  又被大風吹斃
[00:01:25.740 --> 00:01:27.740]  只用小小的鍋
[00:01:27.740 --> 00:01:30.740]  就隨着船舶的意識轉動
[00:01:30.740 --> 00:01:35.740]  這樣舌頭在船體裏面隨時會動
[00:01:35.740 --> 00:01:37.740]  卻能說大話
[00:01:37.740 --> 00:01:38.740]  看啊
[00:01:38.740 --> 00:01:42.740]  最小的火能點到最大的烏雲
[00:01:42.740 --> 00:01:44.740]  我們就先讀到這裏
[00:01:44.740 --> 00:01:47.740]  再讓我們的朋友一起讀
[00:01:47.740 --> 00:01:49.740]  好我們就先讀到這裏
[00:01:49.740 --> 00:01:52.740]  我們在下面的交通的時候
[00:01:52.740 --> 00:01:54.740]  會引用到下面的神經
[00:01:54.740 --> 00:01:55.740]  隨機應用之內
[00:01:55.740 --> 00:01:57.740]  不要把神經合調
[00:01:57.740 --> 00:01:59.740]  還可以放在手裏
[00:01:59.740 --> 00:02:01.740]  隨時可以看得到
[00:02:01.740 --> 00:02:03.740]  我們用這個題目呢
[00:02:03.740 --> 00:02:07.740]  就是在第二節
[00:02:07.740 --> 00:02:10.740]  主動在第二節用他的話作爲題目
[00:02:10.740 --> 00:02:14.740]  就內住舌頭做完全人
[00:02:16.740 --> 00:02:21.740]  我們首先要看到的就是
[00:02:21.740 --> 00:02:24.740]  會對這個
[00:02:24.740 --> 00:02:27.740]  雅各會對這個想做老師的人
