
[00:00:00.000 --> 00:00:02.000]  一齊祈禱
[00:00:02.000 --> 00:00:04.000]  七號天王,我們感謝祢的恩典
[00:00:04.000 --> 00:00:06.000]  祢的恩典救贖了我們
[00:00:06.000 --> 00:00:08.000]  將我們從罪惡的權勢裏面
[00:00:08.000 --> 00:00:11.000]  拯救到祢自己光明的角度
[00:00:11.000 --> 00:00:14.000]  今日我們要思想祢的恩典的時候
[00:00:14.000 --> 00:00:16.000]  求祢幫助我們心存謙卑
[00:00:16.000 --> 00:00:18.000]  來領受主祢的恩典
[00:00:18.000 --> 00:00:20.000]  奉耶穌基督的名祈禱
[00:00:20.000 --> 00:00:22.000]  阿們
[00:00:22.000 --> 00:00:24.000]  兩三個星期之前
[00:00:24.000 --> 00:00:27.000]  我們已經看過《馬太福音》第十三章裏面的
[00:00:27.000 --> 00:00:29.000]  四個有關天國的比喻
[00:00:29.000 --> 00:00:33.000]  其實十三章有七個天國的比喻
[00:00:33.000 --> 00:00:38.000]  上個星期我們也看過一個有關搖書的比喻
[00:00:38.000 --> 00:00:42.000]  但是當主耶穌講這個比喻之前
[00:00:42.000 --> 00:00:47.000]  就說天國好比以下的故事
[00:00:47.000 --> 00:00:53.000]  所以主耶穌不單止是一位教道德的老師
[00:00:53.000 --> 00:00:56.000]  他將一些道德教條去教導門徒
[00:00:56.000 --> 00:01:00.000]  然後教導門徒要饒恕那些得罪我們的人
[00:01:00.000 --> 00:01:03.000]  耶穌是以一個天國君王的身份
[00:01:03.000 --> 00:01:07.000]  將有關天國的定律來教導我們
[00:01:07.000 --> 00:01:11.000]  在天國裏面我們都是弟兄姊妹
[00:01:11.000 --> 00:01:16.000]  我們一定要饒恕得罪我們的弟兄姊妹
[00:01:16.000 --> 00:01:22.000]  因為天國的王已經饒恕了我們很多很多的罪
[00:01:22.000 --> 00:01:25.000]  主耶穌在十八章三十五節裏說
[00:01:25.000 --> 00:01:28.000]  你們國人不肯從心裏饒恕弟兄
[00:01:28.000 --> 00:01:32.000]  我的天父也要這樣對待你們
[00:01:32.000 --> 00:01:37.000]  今天我們要從主耶穌所講的另一個有關天國的故事
[00:01:37.000 --> 00:01:43.000]  來學習在天國裏面是講恩典的
[00:01:43.000 --> 00:01:47.000]  而不是按照人的角度去講公平的
[00:01:47.000 --> 00:01:52.000]  我們要一起來思想學習另一個天國定律
[00:01:52.000 --> 00:01:59.000]  剛才我們聽了經元和我們讀過馬太福音二十章的故事
[00:01:59.000 --> 00:02:01.000]  是不難理解的
[00:02:01.000 --> 00:02:06.000]  最難理解的可能是最後一節二十章十六節
[00:02:06.000 --> 00:02:10.000]  那些居侯的將要在先
[00:02:10.000 --> 00:02:13.000]  在先的將要居侯
[00:02:13.000 --> 00:02:16.000]  主耶穌這句話是甚麼意思呢
[00:02:16.000 --> 00:02:19.000]  我相信要了解主耶穌的意思
[00:02:19.000 --> 00:02:25.000]  這個意思我們要從十九章十六節到三十節開始看
[00:02:25.000 --> 00:02:30.000]  那裏是講了一個有關青年才主的故事
[00:02:30.000 --> 00:02:37.000]  我們由那裏開始講才可能找到主耶穌說話的真正含義
[00:02:37.000 --> 00:02:41.000]  因為在青年才主的故事結束的時候
[00:02:41.000 --> 00:02:43.000]  主耶穌也說了一句話
[00:02:43.000 --> 00:02:46.000]  在十九章三十節裏說
[00:02:50.000 --> 00:02:56.000]  並且今天這段經文就連接在這句話後面
[00:02:56.000 --> 00:02:59.000]  所以這個故事就是用來解釋那句話
