
[00:00:00.000 --> 00:00:03.580]  各位靈姐妹平安 我是劉少康牧師
[00:00:03.580 --> 00:00:06.420]  又來到末世交響曲
[00:00:06.420 --> 00:00:10.220]  在拔摩海島上的屠宰
[00:00:10.220 --> 00:00:13.300]  今天是第三講
[00:00:13.300 --> 00:00:16.580]  第三講我要講的就是
[00:00:16.580 --> 00:00:21.260]  我看見榮耀的主
[00:00:21.260 --> 00:00:26.220]  就是啟示錄第一章給我們的訊息
[00:00:26.220 --> 00:00:31.340]  當我很細心來讀啟示錄第一章的時候
[00:00:31.340 --> 00:00:36.700]  就發覺整個話語實在是非常奇妙
[00:00:36.700 --> 00:00:41.880]  充滿了很多很多的真理
[00:00:41.880 --> 00:00:44.840]  我希望今天能夠陪著大家
[00:00:44.840 --> 00:00:48.860]  我們一起進入啟示錄第一章
[00:00:48.860 --> 00:00:52.160]  這章的聖經不是很長
[00:00:52.160 --> 00:00:55.240]  只有二十節
[00:00:55.240 --> 00:00:59.040]  開頭第一到第六節
[00:00:59.040 --> 00:01:02.820]  可以說是有一點點的交代
[00:01:02.820 --> 00:01:06.220]  交代這位見證人
[00:01:06.220 --> 00:01:08.540]  他到底看見些什麼
[00:01:08.540 --> 00:01:11.240]  他又寫些什麼
[00:01:11.240 --> 00:01:13.480]  在第一節就說
[00:01:13.480 --> 00:01:15.840]  耶穌基督的啟示
[00:01:15.840 --> 00:01:19.280]  就是神賜給他的
[00:01:19.280 --> 00:01:22.540]  將必要快成的事
[00:01:22.540 --> 00:01:26.800]  來指示他的眾僕人
[00:01:26.800 --> 00:01:29.720]  我都曾經在《道論》裏面講過
[00:01:29.720 --> 00:01:33.800]  這個是有關耶穌基督的啟示
[00:01:33.800 --> 00:01:39.380]  也是由耶穌基督而來的啟示
[00:01:39.380 --> 00:01:42.160]  而那個來源在哪裏呢?
[00:01:42.160 --> 00:01:45.120]  就是神賜給他的
[00:01:45.120 --> 00:01:49.480]  神就是終極的源頭
