
[00:00:00.000 --> 00:00:02.000]  弟子們平安
[00:00:02.000 --> 00:00:04.000]  讓我們一起祈禱
[00:00:30.000 --> 00:00:32.000]  讓我們有謙卑的心
[00:00:32.000 --> 00:00:34.000]  一同去聆聽去領受
[00:00:34.000 --> 00:00:36.000]  多謝你聽我們的禱告
[00:00:36.000 --> 00:00:38.000]  奉耶穌基督得勝的名字
[00:00:38.000 --> 00:00:40.000]  祈求 阿們
[00:00:40.000 --> 00:00:42.000]  何日主再來
[00:00:42.000 --> 00:00:44.000]  這個題目就真是
[00:00:44.000 --> 00:00:46.000]  有些弟兄姊妹
[00:00:46.000 --> 00:00:48.000]  知道要講這個題目
[00:00:48.000 --> 00:00:50.000]  都會問麥先生何時來
[00:00:50.000 --> 00:00:52.000]  大家都很心急
[00:00:52.000 --> 00:00:54.000]  其實都很想知道主何時回來
[00:00:54.000 --> 00:00:56.000]  不過香港人有個很特別的情況
[00:00:56.000 --> 00:00:58.000]  就是這樣的
[00:00:58.000 --> 00:01:00.000]  每年農曆年
[00:01:00.000 --> 00:01:02.000]  有些人有民間信仰
[00:01:02.000 --> 00:01:04.000]  多數會去廟宇
[00:01:04.000 --> 00:01:06.000]  求神問卜
[00:01:06.000 --> 00:01:08.000]  希望知道自己
[00:01:08.000 --> 00:01:10.000]  未來這一年
[00:01:10.000 --> 00:01:12.000]  究竟運程如何
[00:01:12.000 --> 00:01:14.000]  包括工作如何
[00:01:14.000 --> 00:01:16.000]  健康如何
[00:01:16.000 --> 00:01:18.000]  財運如何等等
[00:01:18.000 --> 00:01:20.000]  亦有些鄉親父老
[00:01:20.000 --> 00:01:22.000]  特別去廟宇
[00:01:22.000 --> 00:01:24.000]  為我們香港
[00:01:24.000 --> 00:01:26.000]  未來這一年求神問卜
[00:01:26.000 --> 00:01:28.000]  看看香港這一年的運程如何
[00:01:28.000 --> 00:01:30.000]  好不好
[00:01:30.000 --> 00:01:32.000]  這個人
[00:01:32.000 --> 00:01:34.000]  總是很希望
[00:01:34.000 --> 00:01:36.000]  知道自己將來是如何
[00:01:36.000 --> 00:01:38.000]  不要遠
[00:01:38.000 --> 00:01:40.000]  希望知道自己將來是如何
[00:01:40.000 --> 00:01:42.000]  我們作為主的門徒
[00:01:42.000 --> 00:01:44.000]  我相信我們都不會去廟宇
[00:01:44.000 --> 00:01:46.000]  求神問卜
[00:01:46.000 --> 00:01:48.000]  去問將來如何
[00:01:48.000 --> 00:01:50.000]  為什麼不會呢
[00:01:50.000 --> 00:01:52.000]  因為我們的生命
[00:01:52.000 --> 00:01:54.000]  是由創造主創造
[00:01:54.000 --> 00:01:56.000]  是我們帶領的
[00:01:56.000 --> 00:01:58.000]  所以我們不需要去廟宇
[00:01:58.000 --> 00:02:00.000]  更加不需要
[00:02:00.000 --> 00:02:02.000]  在一些看密
[00:02:02.000 --> 00:02:04.000]  看看究竟
[00:02:04.000 --> 00:02:06.000]  我的星座如何
[00:02:06.000 --> 00:02:08.000]  我屬於十二生肖
[00:02:08.000 --> 00:02:10.000]  這一年又如何
[00:02:10.000 --> 00:02:12.000]  在歷史當中
[00:02:12.000 --> 00:02:14.000]  當我們人類進入
