
[00:00:00.000 --> 00:00:02.000]  好 讓我們一起祈禱
[00:00:02.000 --> 00:00:07.680]  七位天父
[00:00:07.680 --> 00:00:10.280]  感謝祢讓我們過一個星期
[00:00:10.280 --> 00:00:12.280]  經歷聖誕節
[00:00:12.280 --> 00:00:15.920]  讓我們有機會將祢的福音去傳開
[00:00:15.920 --> 00:00:20.000]  又讓我們能夠在街頭裏面去報街音
[00:00:20.000 --> 00:00:25.440]  透過詩歌向人述說耶穌基督降生的事情
[00:00:25.440 --> 00:00:28.200]  今天我們來到這一段經文
[00:00:28.200 --> 00:00:31.520]  我們去思想耶穌釘上十字架
[00:00:31.520 --> 00:00:35.760]  祢的死和埋葬是何等的榮耀
[00:00:35.760 --> 00:00:39.640]  主啊 求祢的聖靈去安靜我們的心
[00:00:39.640 --> 00:00:42.800]  或許我們因為節日裏面有很多事情
[00:00:42.800 --> 00:00:45.520]  我們仍然在心裏面掛慮著
[00:00:45.520 --> 00:00:48.640]  求祢的聖靈這一刻都安靜我們
[00:00:48.640 --> 00:00:50.960]  好 讓我們能夠容得下祢的話語
[00:00:50.960 --> 00:00:54.320]  在我們的心田當中
[00:00:54.320 --> 00:00:56.360]  主啊 讓我們再去默想
[00:00:56.360 --> 00:00:59.160]  耶穌基督為我們所作的時候
[00:00:59.160 --> 00:01:01.320]  讓我們的心被激動
[00:01:01.320 --> 00:01:04.320]  讓我們的心懂得怎樣來回應祢
[00:01:04.320 --> 00:01:06.440]  求祢帶領我們以下的時間
[00:01:06.440 --> 00:01:07.920]  與我們同在
[00:01:07.920 --> 00:01:10.360]  聽我們的祈禱 奉耶穌的名
[00:01:10.360 --> 00:01:11.960]  阿們
[00:01:11.960 --> 00:01:14.960]  好 麻煩PowerPoint展示一下
[00:01:14.960 --> 00:01:18.960]  這裏有個圖就是
[00:01:18.960 --> 00:01:21.560]  十九世紀有一個英國的著名小說家
[00:01:21.560 --> 00:01:23.560]  叫做查爾斯·狄根斯
[00:01:23.560 --> 00:01:27.320]  他在一本經典的小說《雙城記》裏面
[00:01:27.320 --> 00:01:29.320]  有一個這樣的開場白
[00:01:29.320 --> 00:01:32.840]  他說 那個是最美好的時代
[00:01:32.840 --> 00:01:35.320]  亦都是最糟糕的時代
[00:01:35.320 --> 00:01:37.320]  那個是智慧的年頭
[00:01:37.320 --> 00:01:39.440]  亦都是愚昧的年頭
[00:01:39.440 --> 00:01:41.520]  那個是相信的時期
[00:01:41.520 --> 00:01:43.680]  那個是懷疑的時期
