
[00:00:00.000 --> 00:00:03.000]  OK 大英姐妹好 大家早晨
[00:00:03.000 --> 00:00:06.180]  在我們今天聽主的道義先 讓我們先同心的祈禱
[00:00:06.180 --> 00:00:10.300]  天父多謝祢讓我們能夠再次有生命有氣息
[00:00:10.300 --> 00:00:14.100]  來到祢的面前 同心的在祢的說話面前去仰望
[00:00:14.100 --> 00:00:17.100]  求天父祢與我們同在 透過聖靈的引導
[00:00:17.100 --> 00:00:18.900]  幫助我們明白今天
[00:00:18.900 --> 00:00:22.900]  你要透過《約書亞記》第十章裏面所講的說話
[00:00:22.900 --> 00:00:26.400]  並且讓我們能夠將祢所講的教導
[00:00:26.400 --> 00:00:29.400]  付諸於實行 求主祢與我們同在
[00:00:29.400 --> 00:00:31.700]  願聖靈能夠幫助我們每一個
[00:00:31.700 --> 00:00:36.200]  能夠將生活與祢的道理連結在一起
[00:00:36.200 --> 00:00:37.700]  多謝祢 我們同心禱告
[00:00:37.700 --> 00:00:41.700]  奉主耶穌基督得聖的名字而求 阿們
[00:00:41.700 --> 00:00:44.200]  究竟什麼是宗教呢?
[00:00:44.200 --> 00:00:49.200]  對於很多人來說 宗教好像不需要任何付出
[00:00:49.200 --> 00:00:53.700]  只需要你承認你相信這個宗教之後
[00:00:53.700 --> 00:00:57.200]  陸續有很多的好處就會接踵而來
[00:00:57.200 --> 00:00:59.700]  所以我們見到不少的宗教
[00:00:59.700 --> 00:01:01.700]  特別譬如一些佛教徒
[00:01:01.700 --> 00:01:04.200]  甚至一些基督徒都是這樣
[00:01:04.200 --> 00:01:05.700]  我們不多不少
[00:01:05.700 --> 00:01:09.700]  很多時候都在一些報道會裏面聽一些講員說
[00:01:09.700 --> 00:01:12.200]  只要你舉手相信主耶穌
[00:01:12.200 --> 00:01:15.200]  我今天決志相信耶穌基督的話
[00:01:15.200 --> 00:01:19.700]  自此以後就有豐盛的人生會來到你的身上
[00:01:19.700 --> 00:01:21.700]  究竟什麼叫豐盛呢?
[00:01:21.700 --> 00:01:24.700]  其實這個也都很見仁見智
[00:01:24.700 --> 00:01:27.700]  但是通常很多人對於豐盛的意義
[00:01:27.700 --> 00:01:29.700]  就是指到有很多的利益
[00:01:29.700 --> 00:01:33.700]  有很多的名譽可以隨之而來
[00:01:33.700 --> 00:01:36.700]  有些人甚至相信耶穌基督之後
[00:01:36.700 --> 00:01:38.700]  可以使到家宅平安
[00:01:38.700 --> 00:01:41.700]  或者現在他當面對一些惡運
[00:01:41.700 --> 00:01:44.200]  或者一些不好的遭遇的時候
[00:01:44.200 --> 00:01:45.700]  透過相信耶穌基督
[00:01:45.700 --> 00:01:50.200]  這些惡運或者衰氣都是隨之而驅除的
[00:01:50.200 --> 00:01:54.200]  但究竟這個是不是真正我們相信一個宗教的原因呢?
[00:01:54.200 --> 00:01:57.700]  而這個是不是基督教裏面所介紹的
[00:01:57.700 --> 00:01:59.700]  我們相信耶穌基督的原因呢?
[00:01:59.700 --> 00:02:02.700]  我曾經試過有一個這樣的經驗
[00:02:02.700 --> 00:02:09.700]  有些信徒邀請我去參加他們公司的開幕典禮的時候
[00:02:09.700 --> 00:02:12.700]  他們說牧師你一定要來呀
[00:02:12.700 --> 00:02:13.700]  我說為什麼呀?
[00:02:13.700 --> 00:02:16.700]  他說你要來到我們當中祝福我們
[00:02:16.700 --> 00:02:20.200]  使我們能夠在這間店舖生意興隆
[00:02:20.200 --> 00:02:24.200]  並且能夠藉此去見證主耶穌基督
[00:02:24.200 --> 00:02:26.200]  我聽到他們這樣說的時候
[00:02:26.200 --> 00:02:27.200]  我就去到了
[00:02:27.200 --> 00:02:29.200]  當我去到的時候他們就說
[00:02:29.200 --> 00:02:34.200]  牧師一開始之前你首先要為我們所有這裡的人作個福
[00:02:34.200 --> 00:02:36.200]  為我這盤生意去作個福
[00:02:36.200 --> 00:02:38.200]  你現在祈禱了
[00:02:38.200 --> 00:02:41.200]  當時我就覺得很難為情
[00:02:41.200 --> 00:02:42.200]  為什麼呢?
[00:02:42.200 --> 00:02:44.200]  因為我們相信的耶穌基督
[00:02:44.200 --> 00:02:48.200]  我們相信的神不是這樣給我們去利用的
[00:02:48.200 --> 00:02:51.200]  但是迫於情勢之下
[00:02:51.200 --> 00:02:53.200]  他突然而出這句話
[00:02:53.200 --> 00:02:56.200]  我也為他當值去禱告
[00:02:56.200 --> 00:02:57.200]  當禱告完之後
[00:02:57.200 --> 00:02:59.200]  他就靜靜地走到我身邊
[00:02:59.200 --> 00:03:02.200]  然後就將一封紅封包交給我了
