
[00:00:00.000 --> 00:00:04.880]  今次有機會看到,不單單是聖靈天主教堂
[00:00:04.880 --> 00:00:08.400]  也在教會其他教堂,在過去一年當中
[00:00:08.400 --> 00:00:10.760]  我們做了很多不同的活動
[00:00:10.760 --> 00:00:13.840]  所以你看到這些不同的活動的時候
[00:00:13.840 --> 00:00:16.080]  你會覺得很興奮,很開心
[00:00:16.080 --> 00:00:19.800]  神真的很恩典,讓我們教會能夠服侍祂
[00:00:19.800 --> 00:00:22.360]  以及祝福了很多人
[00:00:22.360 --> 00:00:26.760]  但是其實,如果我們轉眼看這個世界的時候
[00:00:26.760 --> 00:00:32.760]  你會發覺其實這個世界裡面,現在正面對很多困難和挑戰
[00:00:32.760 --> 00:00:36.360]  今年八月,應該是今年八月
[00:00:36.360 --> 00:00:40.800]  聯合國列出了世界十大問題
[00:00:40.800 --> 00:00:43.360]  不知道,你知不知道,猜不猜得到
[00:00:43.360 --> 00:00:46.200]  十大問題裡面包括什麼呢
[00:00:46.200 --> 00:00:49.240]  我相信最容易想到的就是打仗
[00:00:49.240 --> 00:00:52.560]  因為現在有五個戰場
[00:00:52.560 --> 00:00:56.800]  還有小小的衝突,這些都沒有說
[00:00:56.800 --> 00:00:59.440]  但是其實,原來最大的問題
[00:00:59.440 --> 00:01:02.040]  按照聯合國的公佈,是什麼呢
[00:01:02.040 --> 00:01:07.080]  是氣候變化,第二是戰爭和軍事的衝突
[00:01:07.080 --> 00:01:11.320]  第三是水的污染,第四是人權的問題
[00:01:11.320 --> 00:01:13.840]  健康的問題,貧窮
[00:01:13.840 --> 00:01:20.080]  小孩子很難獲得醫療的保健、教育和安全
[00:01:20.080 --> 00:01:22.800]  第八是覓食和飢餓
[00:01:22.800 --> 00:01:28.760]  第九是遷移,現在大量的移民向不同的地方走
[00:01:28.760 --> 00:01:32.880]  然後最後就是武器的氾濫
[00:01:32.880 --> 00:01:38.560]  除了這十大問題,在聯合國裡面所發表的之外
[00:01:38.560 --> 00:01:41.280]  還有其他很嚴重的問題,包括什麼呢
[00:01:41.280 --> 00:01:46.040]  人口的老化,愛滋病似乎死亡了,但其實還沒死
[00:01:46.040 --> 00:01:50.040]  仍然不斷傳播當中,特別在落後的國家
[00:01:50.040 --> 00:01:53.120]  然後老化,無法無天
[00:01:53.120 --> 00:01:55.720]  很多地方都有這樣的情況出現
