
[00:00:00.000 --> 00:00:02.540]  各位靈姐妹,我們再一起同心再祈禱
[00:00:02.540 --> 00:00:03.680]  我們仰望主
[00:00:03.680 --> 00:00:09.480]  親愛的恩主
[00:00:09.480 --> 00:00:13.580]  祢以永恆的大愛愛我們
[00:00:13.580 --> 00:00:16.080]  我們今天在祢面前
[00:00:16.080 --> 00:00:17.780]  可以無懼明天
[00:00:17.780 --> 00:00:19.240]  因為祢的慈愛
[00:00:19.240 --> 00:00:22.940]  是我們每一天每一天的依靠和把握
[00:00:22.940 --> 00:00:26.340]  主,今天我們到祢面前來敬拜祢
[00:00:26.340 --> 00:00:29.440]  主,我們知道我們生命需要祢的說話
[00:00:30.080 --> 00:00:32.600]  因為祢的說話是天上的糧食
[00:00:32.600 --> 00:00:34.400]  是真正的瑪瑙
[00:00:34.400 --> 00:00:36.540]  如今我們到祢的面前
[00:00:36.540 --> 00:00:38.540]  求主賜下恩賢
[00:00:38.540 --> 00:00:40.400]  也幫助我們的心靈
[00:00:40.400 --> 00:00:42.080]  沒有任何的障礙
[00:00:42.080 --> 00:00:44.040]  我們可以領受祢的道
[00:00:44.040 --> 00:00:45.940]  有知道聽從
[00:00:45.940 --> 00:00:48.140]  求主引導我們
[00:00:48.140 --> 00:00:50.000]  奉耶穌聖名祈禱
[00:00:50.000 --> 00:00:51.340]  阿們
[00:00:51.340 --> 00:00:54.680]  我們今天一起會思想
[00:00:54.680 --> 00:00:58.540]  聖經裡面所提及到奉獻生命的訊息
[00:00:58.540 --> 00:01:01.080]  我們會思想到一位大家都熟悉的人物
[00:01:01.080 --> 00:01:02.840]  哈拿
[00:01:02.840 --> 00:01:04.640]  當我們一路來到看聖經的時候
[00:01:04.640 --> 00:01:07.900]  你會很快速地體會一件事情
[00:01:07.900 --> 00:01:09.100]  就是聖經裡面講述到
[00:01:09.100 --> 00:01:14.300]  當我們幾時更多學習將自己奉獻給神
[00:01:14.300 --> 00:01:16.240]  無論你的時間
[00:01:16.240 --> 00:01:17.240]  你的金錢
[00:01:17.240 --> 00:01:18.840]  你的生命
[00:01:18.840 --> 00:01:21.040]  當你越懂得奉獻的時候
[00:01:21.040 --> 00:01:24.540]  你就越更加屬於主
[00:01:24.540 --> 00:01:26.500]  當你越屬於主的時候
[00:01:26.500 --> 00:01:29.780]  你就體會到主也都屬於你
