
[00:00:00.000 --> 00:00:03.000]  相信我們很多基督徒都和Lynn很相似
[00:00:03.000 --> 00:00:04.620]  有時不太在意我們的信用
[00:00:04.620 --> 00:00:07.080]  她信用不錯 各種東西都不錯
[00:00:07.080 --> 00:00:09.960]  又沒想過要借什麼錢 又沒有信用卡
[00:00:09.960 --> 00:00:12.380]  但當她想這樣做的時候就發覺
[00:00:12.380 --> 00:00:16.720]  原來她的身份是已經被盜用的
[00:00:16.720 --> 00:00:18.520]  這就變成了壞信用
[00:00:18.520 --> 00:00:25.320]  這些所謂的壞賬
[00:00:25.320 --> 00:00:28.400]  我就想到其實《聖經》裏面
[00:00:28.400 --> 00:00:31.480]  其實早就告訴我們在末世
[00:00:31.480 --> 00:00:33.920]  在世界末了的時候
[00:00:33.920 --> 00:00:36.040]  甚至在教會里面
[00:00:36.040 --> 00:00:39.520]  都有些假老師 假基督徒
[00:00:39.520 --> 00:00:42.000]  他們說自己是信耶穌的
[00:00:42.000 --> 00:00:45.240]  甚至在教會里面有些是做教導的功夫
[00:00:45.240 --> 00:00:50.840]  但原來他們沒有真正耶穌基督那種屬靈的生命
[00:00:50.840 --> 00:00:52.560]  沒事的時候就沒事了
[00:00:52.560 --> 00:00:54.320]  一爆出來的時候
[00:00:54.320 --> 00:00:57.960]  他們就帶給基督徒一個好不好的明星
[00:00:57.960 --> 00:01:01.160]  這些就變成了壞信用
[00:01:01.160 --> 00:01:02.000]  當然你們會說
[00:01:02.000 --> 00:01:03.760]  哇 《聖經》裏面是這樣說的嗎?
[00:01:03.760 --> 00:01:04.920]  是不是真的會發生呢?
[00:01:04.920 --> 00:01:06.040]  其實大家都知道的
[00:01:06.040 --> 00:01:08.040]  很多年前大家如果有留意的話
[00:01:08.040 --> 00:01:10.240]  那些所謂的TV evangelist
[00:01:10.240 --> 00:01:11.200]  現在還有的
[00:01:11.200 --> 00:01:15.680]  不過最近聽不到太多這些醜聞
