
[00:00:00.000 --> 00:00:07.000]  很高興在秋天的日子再次和大家相聚
[00:00:07.000 --> 00:00:16.000]  通常我們在秋天會開始一個新的課程主題
[00:00:16.000 --> 00:00:20.000]  當那些學生回到學校的時候
[00:00:20.000 --> 00:00:27.000]  我今天也在講道中和你開啟一個新的題目
[00:00:30.000 --> 00:00:35.000]  其中一部分是關於教會的歷史
[00:00:35.000 --> 00:00:40.000]  另外一部分是在沒有牧師的情況下
[00:00:40.000 --> 00:00:42.000]  教會應該如何運行
[00:00:42.000 --> 00:00:50.000]  在十六世紀的時候
[00:00:50.000 --> 00:00:54.000]  歐洲的教會是遠遠偏離了神
[00:00:59.000 --> 00:01:02.000]  當時的馬丁路德是一個改革者
[00:01:02.000 --> 00:01:06.000]  願意將教會回歸真正的使命
[00:01:06.000 --> 00:01:15.000]  在這個系列裡面
[00:01:15.000 --> 00:01:20.000]  我其中要提出的就是信徒皆是祭司的原則
[00:01:20.000 --> 00:01:28.000]  不是因為T4C偏離了正軌需要改革
[00:01:29.000 --> 00:01:39.000]  而是鼓勵我們在未有新的牧師的時候
[00:01:39.000 --> 00:01:45.000]  每一位信徒要在教會中擔當牧師的職責
[00:01:45.000 --> 00:01:48.000]  讓我們一起祈禱
[00:01:48.000 --> 00:01:52.000]  我們天上的父神
[00:01:52.000 --> 00:01:57.000]  引導我們研讀你自己的話語
[00:02:00.000 --> 00:02:04.000]  求你讓我們明白你和你的道路
[00:02:04.000 --> 00:02:10.000]  願意我們能夠活出你所召喚我們的生命
[00:02:10.000 --> 00:02:15.000]  在做的當中
[00:02:15.000 --> 00:02:19.000]  願你和你的兒子耶穌基督得主榮耀
[00:02:19.000 --> 00:02:21.000]  奉你的名祈求
[00:02:29.000 --> 00:02:35.000]  如果你第一次參加我們的聚會
[00:02:35.000 --> 00:02:41.000]  你可能不知道我們廣東早已經有一段時間沒有牧師
[00:02:41.000 --> 00:02:48.000]  所以我有機會更加多次來到當中的廣東
[00:02:48.000 --> 00:02:58.000]  我不知道沉默的細節
[00:02:58.000 --> 00:03:03.000]  但我知道當今我們通常是在國際性的尋找我們的新牧師
[00:03:03.000 --> 00:03:15.000]  但今天早上我希望將範圍從全世界的尋找轉到禮堂
[00:03:15.000 --> 00:03:23.000]  你願不願意承擔我們作為牧師的職責
[00:03:27.000 --> 00:03:30.000]  下次你不要不聽我說話
[00:03:30.000 --> 00:03:31.000]  想一想
[00:03:31.000 --> 00:03:38.000]  我首先將結尾向大家展示
[00:03:38.000 --> 00:03:45.000]  我們都是被神所召喚
[00:03:45.000 --> 00:03:48.000]  在神的力量裏互相鼓勵
[00:03:53.000 --> 00:03:57.000]  其實作為一個牧師所扮演的角色是非常有效
[00:03:57.000 --> 00:04:05.000]  而每一個基督徒都會被召喚去擔任牧師的職責
[00:04:05.000 --> 00:04:11.000]  我們都是被夢召
[00:04:11.000 --> 00:04:14.000]  要在神的能力裏互相鼓勵
[00:04:20.000 --> 00:04:24.000]  我們今天講到的題目是「我如何成為一個祭司」
[00:04:24.000 --> 00:04:31.000]  暫時我們不要理會「祭司」這個詞
[00:04:31.000 --> 00:04:37.000]  我自己本身在T4C被安納為牧師
