
[00:00:00.000 --> 00:00:03.560]  今天的主題是「和而不同,合而為一」
[00:00:03.560 --> 00:00:10.400]  對你來說,什麼是「合一」呢?
[00:00:10.400 --> 00:00:16.280]  其實原來在「合一」這個基礎
[00:00:16.280 --> 00:00:18.920]  其實由我們的原生家庭
[00:00:18.920 --> 00:00:20.880]  其實已經在發生
[00:00:27.280 --> 00:00:31.120]  我想起三個在家庭裡面
[00:00:31.120 --> 00:00:32.960]  我們學習「合一」的功課
[00:00:32.960 --> 00:00:39.360]  第一件事就是
[00:00:39.360 --> 00:00:42.000]  「合一」我們在家庭裡面
[00:00:42.000 --> 00:00:44.360]  當有事情發生的時候
[00:00:44.360 --> 00:00:46.720]  我們不是逃跑
[00:00:46.720 --> 00:00:49.600]  而是一起面對去解決
[00:00:58.280 --> 00:00:59.800]  當你想想
[00:00:59.800 --> 00:01:02.960]  當你其中一個家人發生了一些事情的時候
[00:01:02.960 --> 00:01:04.160]  你會怎樣呢?
[00:01:04.160 --> 00:01:10.920]  你不會說「不關我的事」
[00:01:10.920 --> 00:01:11.880]  「為什麼你會這樣呢?」
[00:01:11.880 --> 00:01:12.880]  這樣指責他
[00:01:12.880 --> 00:01:19.800]  而是因為我們都是
[00:01:19.800 --> 00:01:23.040]  在家庭裡面一個這麼親密的關係
[00:01:23.040 --> 00:01:25.440]  我們是緊緊地來到結年的時候
[00:01:25.440 --> 00:01:28.520]  我們就會一起面對去解決問題
[00:01:28.520 --> 00:01:40.080]  我們很希望能夠看到一些曙光
[00:01:40.080 --> 00:01:41.080]  一些突破
[00:01:41.080 --> 00:01:46.960]  所以在家裡面
[00:01:46.960 --> 00:01:49.640]  「合一」就讓我們去學習
[00:01:49.640 --> 00:01:51.120]  我們不是去逃跑
[00:01:51.120 --> 00:01:52.720]  而是一起去解決
[00:01:55.440 --> 00:01:56.480]  就是當事情發生的時候
[00:01:56.480 --> 00:01:57.960]  我們不是逃跑
[00:01:57.960 --> 00:02:00.000]  而是一起面對去解決問題
[00:02:00.000 --> 00:02:09.400]  第二件事我們可以學習
[00:02:09.400 --> 00:02:10.400]  關於家庭的「合一」
[00:02:10.400 --> 00:02:13.120]  就是我們會尊重別人的需要
[00:02:26.080 --> 00:02:27.240]  我們會取得時間
[00:02:27.240 --> 00:02:31.200]  去理解別人的角度
[00:02:31.200 --> 00:02:37.320]  去理解他們的成長背景
[00:02:37.320 --> 00:02:45.760]  我們希望在家庭裡
[00:02:45.760 --> 00:02:48.040]  我們會看到別人成功
[00:02:48.040 --> 00:02:51.120]  我們會真的為他們高興
[00:02:55.480 --> 00:02:57.760]  結業禮、畢業禮
[00:02:57.760 --> 00:02:59.680]  進入人生另一個階段的時候
[00:02:59.680 --> 00:03:00.760]  我們作為父母
[00:03:00.760 --> 00:03:02.200]  我們都會很興奮
[00:03:02.200 --> 00:03:11.160]  所以在家裡
[00:03:11.160 --> 00:03:12.880]  「合一」就是我們項重
[00:03:12.880 --> 00:03:15.240]  對方的成長的需要
[00:03:15.240 --> 00:03:22.760]  第三方面
[00:03:22.760 --> 00:03:24.080]  在家裡
[00:03:24.080 --> 00:03:27.000]  我們從小到大都學會「合一」
[00:03:27.000 --> 00:03:28.520]  其實我們每一個人
[00:03:28.520 --> 00:03:31.000]  都在學習「彼此」去付出
[00:03:31.000 --> 00:03:39.440]  我相信在座每一個人的裡面
[00:03:39.440 --> 00:03:41.880]  你在家裡也有一些任務
[00:03:41.880 --> 00:03:50.680]  有沒有人負責倒垃圾的請舉手
[00:03:54.640 --> 00:03:56.680]  有沒有人負責洗碗的請舉手
[00:03:56.680 --> 00:03:59.520]  為甚麼來來去去都是那些人
[00:03:59.520 --> 00:04:04.880]  有沒有人負責煮菜的請舉手
[00:04:04.880 --> 00:04:09.640]  我不知道你有多享受
[00:04:09.640 --> 00:04:10.720]  剛才你舉手的時候
[00:04:10.720 --> 00:04:11.880]  你有多享受
[00:04:11.880 --> 00:04:18.440]  但是你都會認為
[00:04:18.440 --> 00:04:21.000]  這個是為了家裡的緣故
[00:04:21.000 --> 00:04:22.880]  我是很願意來到這裡參與的
[00:04:25.080 --> 00:04:27.000]  但是為了家裡的緣故
[00:04:27.000 --> 00:04:28.600]  我是很願意來參與的
[00:04:28.600 --> 00:04:38.520]  可能有些抱怨
[00:04:38.520 --> 00:04:40.440]  可能有些遺憾
[00:04:40.440 --> 00:04:42.000]  但是最後你會說
[00:04:42.000 --> 00:04:43.320]  為了我的家人
[00:04:43.320 --> 00:04:44.400]  我愛的人
[00:04:44.400 --> 00:04:45.440]  我是很願意來參與的
[00:04:52.840 --> 00:04:54.160]  所以想想這件事
[00:04:54.160 --> 00:04:55.720]  我們其實開始學習
[00:04:55.720 --> 00:04:57.960]  「和平」在家庭上
[00:04:57.960 --> 00:05:03.400]  但同時也真相是
[00:05:03.400 --> 00:05:06.520]  「和平」從來都不是一件容易的事情
[00:05:06.520 --> 00:05:22.240]  我們在一個多元的文化
[00:05:22.240 --> 00:05:24.160]  會討論獨立性
