
[00:00:00.000 --> 00:00:04.560]  我們今天仍然要繼續思想主耶穌的訓誨
[00:00:04.560 --> 00:00:07.660]  就是祂在登山補訓
[00:00:07.660 --> 00:00:10.000]  這段開場的說話
[00:00:10.000 --> 00:00:14.080]  提供給我們天國子民的福分
[00:00:14.080 --> 00:00:16.820]  我們應該有人生的態度
[00:00:16.820 --> 00:00:19.720]  以致我們能夠
[00:00:19.720 --> 00:00:22.820]  蒙福,而且能夠過一過喜樂的人生
[00:00:22.820 --> 00:00:26.480]  上個星期
[00:00:26.480 --> 00:00:29.980]  我們思想了第一和第二個福
[00:00:30.180 --> 00:00:31.420]  總共有幾個呢?
[00:00:31.420 --> 00:00:34.040]  第一個是什麼呢?
[00:00:34.040 --> 00:00:40.640]  「虛心的人有福了,因為天國是他們的」
[00:00:40.640 --> 00:00:45.920]  上個星期我們說到第二個神給我們的福分是什麼呢?
[00:00:45.920 --> 00:00:53.320]  「哀動的人有福了,因為他們必得安慰」
[00:00:56.740 --> 00:01:00.340]  我們今天來到第三個福了,知道第三個是什麼嗎?
[00:01:00.340 --> 00:01:09.060]  第三個就是「溫柔的人有福了,因為他們必承受地土」
[00:01:09.060 --> 00:01:14.080]  「溫柔的人有福了,因為他們必承受地土」
[00:01:14.080 --> 00:01:15.900]  你覺得自己溫不溫柔啊?
[00:01:15.900 --> 00:01:22.060]  你想不想蒙福啊?
[00:01:22.940 --> 00:01:29.520]  原來耶穌指示我們喜樂、蒙福的人生有這個態度
[00:01:29.520 --> 00:01:32.820]  有這個追求,做一個溫柔的人
[00:01:32.820 --> 00:01:37.340]  所以「溫柔」就是蒙福,「溫柔」是有福的
[00:01:37.340 --> 00:01:42.720]  你說「溫柔」行不行啊?
[00:01:42.720 --> 00:01:46.380]  這個世界周圍的人
[00:01:46.380 --> 00:02:03.420]  都是著重「義強,欺弱,弱辱,強食,聖者為王,敗者為求」
[00:02:03.420 --> 00:02:07.520]  當時耶穌這樣說
[00:02:07.520 --> 00:02:13.600]  你知道當中的一些聽眾,不像我們每一個都這麼乖
[00:02:13.800 --> 00:02:16.680]  當中有一些法理賽人
[00:02:16.680 --> 00:02:25.120]  當時的宗教領袖,甚至是猶太教的一些非常根深蒂固的信仰者
[00:02:25.120 --> 00:02:29.280]  他們期望天國的王來了
[00:02:29.280 --> 00:02:35.120]  他們期望耶穌以一種什麼樣的身份和姿態出現呢?
[00:02:35.120 --> 00:02:36.800]  這個王是怎樣的呢?
[00:02:36.800 --> 00:02:43.920]  他是顯出他的大能量,幫助當時他們亡國的猶太人
[00:02:43.920 --> 00:02:47.040]  能夠在羅馬政權當中復國
[00:02:47.040 --> 00:02:52.640]  他們期望薇塞亞舊約所應許的這位救主
[00:02:52.640 --> 00:02:56.220]  不是幫助他們做「溫柔」的人
[00:02:56.220 --> 00:03:04.260]  而是幫助他們用他們的力量去打敗希羅的政府
[00:03:04.260 --> 00:03:07.080]  來復興他們猶太教的宗教
[00:03:07.080 --> 00:03:08.720]  復興他們的傳統
[00:03:08.720 --> 00:03:12.040]  幫助他們承受神給他們的應許
[00:03:12.040 --> 00:03:15.320]  再次成為強盛的國家
[00:03:15.320 --> 00:03:18.800]  「溫柔」,說得通嗎?
[00:03:18.800 --> 00:03:27.080]  所以當時耶穌這樣指示我們天國子民有的態度和福分的時候
[00:03:27.080 --> 00:03:35.880]  這其實是反常態,是否要這樣才能夠有天國實現
[00:03:35.880 --> 00:03:39.340]  其實今天也可能是這樣
[00:03:39.340 --> 00:03:40.720]  你說基督徒
[00:03:40.720 --> 00:03:42.260]  基督徒(stereotype)
[00:03:42.260 --> 00:03:47.700]  就是說我們被人覺得是一群很柔弱的人
[00:03:47.700 --> 00:03:52.640]  那些聰明的人才不會相信你
[00:03:52.960 --> 00:04:00.520]  是那些覺得自己不太行,覺得自己很軟弱的人才會相信耶穌
[00:04:00.520 --> 00:04:02.860]  很多人可能這樣誤會了
[00:04:02.860 --> 00:04:04.440]  或者這個世界也告訴我們
[00:04:04.440 --> 00:04:07.340]  周圍我們的文化告訴我們
[00:04:07.340 --> 00:04:09.340]  現在女人要做什麼?
[00:04:09.340 --> 00:04:11.680]  女人要做女強人
[00:04:11.680 --> 00:04:15.640]  在商場上叱吒風雲
[00:04:15.640 --> 00:04:18.520]  絕對不能夠低於男子
[00:04:18.520 --> 00:04:21.120]  我們知道最近很多人在爭取
[00:04:21.120 --> 00:04:23.480]  當然這是合理的和公平的
[00:04:23.480 --> 00:04:25.180]  在體育界那些人
[00:04:25.180 --> 00:04:28.520]  女子足球一定要和男子一樣的
[00:04:28.520 --> 00:04:30.020]  要同工同酬
[00:04:30.020 --> 00:04:32.840]  或者女人在周圍的男女環境
[00:04:32.840 --> 00:04:34.560]  商業界、工作界裡面
[00:04:34.560 --> 00:04:38.260]  我一定不可以輸於你
[00:04:38.260 --> 00:04:39.520]  或者這樣說
[00:04:39.520 --> 00:04:42.040]  今天我們看到的
[00:04:42.040 --> 00:04:45.000]  在我們周圍的文化當中
