
[00:00:00.000 --> 00:00:03.380]  非一般的時代 非一般的崇拜
[00:00:03.380 --> 00:00:06.800]  歡迎大家來到我們的週六崇拜
[00:00:06.800 --> 00:00:08.700]  由2018年1月開始
[00:00:08.700 --> 00:00:11.660]  我們一直在研讀《馬可福音》
[00:00:11.660 --> 00:00:15.220]  到現在已經有超過兩年半的時間
[00:00:15.220 --> 00:00:19.340]  我們講到系列的總題叫做《非凡的見證》
[00:00:19.340 --> 00:00:21.960]  不因爲馬可是一個非凡的作者
[00:00:21.960 --> 00:00:26.560]  而是因爲主耶穌基督是一個非凡的救主
[00:00:26.560 --> 00:00:30.000]  《馬可福音》究竟是一本怎樣的書
[00:00:30.000 --> 00:00:35.160]  德國聖經學者馬汀·凱勒曾經這樣介紹過《馬可福音》
[00:00:35.160 --> 00:00:40.380]  他說《馬可福音》就是耶穌受難復活故事前面
[00:00:40.380 --> 00:00:44.160]  加了一個延伸拉長了的引穎
[00:00:44.160 --> 00:00:48.620]  A Passion Narrative with an Extended Introduction
[00:00:48.620 --> 00:00:52.720]  馬可用了十章聖經
[00:00:52.720 --> 00:00:56.120]  講述了耶穌三年的事宮除了最後一個禮拜
[00:00:56.120 --> 00:00:58.880]  接着去到第十一章裏面
[00:00:58.880 --> 00:01:03.560]  我們正式來到耶穌在地上最後一週的事宮
[00:01:03.560 --> 00:01:07.560]  一直去到第十六章
[00:01:07.560 --> 00:01:09.640]  在《馬可福音》第十一章裏面
[00:01:09.640 --> 00:01:13.780]  我們見到耶穌以勝利的姿態王者的身份
[00:01:13.780 --> 00:01:17.800]  騎爐進入聖城耶路撒冷
[00:01:17.800 --> 00:01:20.220]  耶穌之所以選擇騎爐
[00:01:20.220 --> 00:01:22.100]  是因爲在一千多年前
[00:01:22.100 --> 00:01:24.400]  所有人被封爲王之時
[00:01:24.400 --> 00:01:26.460]  也是騎爐
[00:01:26.460 --> 00:01:30.500]  其實祂住的是大衛王的爐區
[00:01:30.500 --> 00:01:33.080]  耶穌是誰?
[00:01:33.080 --> 00:01:34.880]  耶穌是大衛之子
[00:01:34.880 --> 00:01:38.860]  耶穌是以色列的君王
[00:01:38.860 --> 00:01:41.520]  然而主耶穌祂是一個不一樣的君王
[00:01:41.520 --> 00:01:44.080]  因爲在聖城耶路撒冷裏面
[00:01:44.080 --> 00:01:48.920]  耶穌要爲祂的子民帶上一個荊棘的冠冕
[00:01:48.920 --> 00:01:55.600]  耶穌要將祂的子民從罪惡裏面拯救出來
[00:01:55.600 --> 00:01:59.680]  兩週前我們一起研讀過耶穌的最後晚餐
[00:01:59.680 --> 00:02:03.320]  今天的經文起於晚餐之後
[00:02:03.320 --> 00:02:07.960]  帶我們進入黑夜裏面的黑西瑪利園
[00:02:07.960 --> 00:02:11.240]  今天講到經文是《馬可福音》第十四章
[00:02:11.240 --> 00:02:15.120]  二十六至四十三節講到的主題
[00:02:15.120 --> 00:02:19.400]  這個題目是《十字架的預演》
[00:02:19.400 --> 00:02:22.920]  《馬可福音》第十四章第二十六節這樣講
[00:02:22.920 --> 00:02:27.640]  他們唱了詩就出來往橄欖山去
[00:02:27.640 --> 00:02:34.080]  他們所唱的是詩篇116、117、118的聯合詩歌
[00:02:34.080 --> 00:02:37.080]  按照逾越節的晚餐傳統
[00:02:37.080 --> 00:02:42.040]  唱詩之後應該還有第四杯酒
[00:02:42.040 --> 00:02:45.120]  最後一個終結的杯
[00:02:45.120 --> 00:02:48.120]  最後一個喜樂的杯
[00:02:48.120 --> 00:02:51.960]  而那晚你記得耶穌祂的舉動異常
[00:02:51.960 --> 00:02:54.920]  祂飯後之後祂說了一句很奇怪的說話
[00:02:54.920 --> 00:02:58.160]  祂說「我實在告訴你們
[00:02:58.160 --> 00:03:00.000]  我不再喝這葡萄酒
[00:03:00.000 --> 00:03:04.320]  直到我在上帝的國裏喝新的那日子」
[00:03:04.320 --> 00:03:06.680]  耶穌說今晚我不喝第四杯
[00:03:06.680 --> 00:03:09.160]  今晚我不喝喜樂酒
[00:03:09.160 --> 00:03:12.240]  因爲天國還未來臨
[00:03:12.240 --> 00:03:14.000]  因爲天國的使命
[00:03:14.000 --> 00:03:17.160]  我的使命還未完成
[00:03:17.160 --> 00:03:22.040]  在那一晚上耶穌跳過了喜樂的杯
[00:03:22.040 --> 00:03:24.160]  因爲祂要流土
[00:03:24.160 --> 00:03:30.520]  流土要去喝天父爲祂預備的苦難之杯
[00:03:30.520 --> 00:03:32.400]  在苦難未開始之前
[00:03:32.400 --> 00:03:34.160]  耶穌向門徒預言
[00:03:34.160 --> 00:03:40.040]  預言他們將要因着祂的受害而跌倒
