
[00:00:00.000 --> 00:00:02.000]  今天是一個特別的節日
[00:00:02.000 --> 00:00:03.200]  頂姐妹知不知道
[00:00:03.200 --> 00:00:04.800]  今天正正是三八
[00:00:04.800 --> 00:00:06.640]  和旁邊的姐妹祝她
[00:00:06.640 --> 00:00:08.640]  婦女節快樂
[00:00:08.640 --> 00:00:13.600]  我們今天講婦女節很開心
[00:00:13.600 --> 00:00:15.640]  通常是想在女人的世界
[00:00:15.640 --> 00:00:16.680]  諸如此類的
[00:00:16.680 --> 00:00:19.920]  其實三八的婦女節
[00:00:19.920 --> 00:00:23.640]  本身不是一個輕鬆的節日
[00:00:23.640 --> 00:00:27.600]  都是經過很長時間的鬥爭
[00:00:27.600 --> 00:00:29.360]  我們叫做兩性的鬥爭
[00:00:29.360 --> 00:00:32.600]  才成立了一個這樣的節日
[00:00:32.600 --> 00:00:34.600]  來慶賀一些成功
[00:00:34.600 --> 00:00:35.600]  成功什麼呢
[00:00:35.600 --> 00:00:39.720]  是成功爭取了很多婦女的權益
[00:00:39.720 --> 00:00:44.960]  是二十世紀這段時間發生的
[00:00:44.960 --> 00:00:46.840]  所以今天給點掌聲
[00:00:46.840 --> 00:00:49.120]  我們在香港的婦女
[00:00:49.120 --> 00:00:51.720]  她們可能不是很知道
[00:00:51.720 --> 00:00:53.520]  原來我們已經享受了很多
[00:00:53.520 --> 00:00:56.840]  我們之前上一代的女性
[00:00:56.840 --> 00:00:59.560]  是沒有的福利
[00:00:59.560 --> 00:01:03.760]  其實爲什麼兩性的問題
[00:01:03.760 --> 00:01:06.800]  會成爲一個社會的議題呢
[00:01:06.800 --> 00:01:08.880]  如果大家有些讀開歷史
[00:01:08.880 --> 00:01:11.120]  或者有些興趣看神話的都知道
[00:01:11.120 --> 00:01:12.760]  很多原始的社會
[00:01:12.760 --> 00:01:15.640]  本身沒有是社會的
[00:01:15.640 --> 00:01:18.920]  也就是說都是女人說了算
[00:01:18.920 --> 00:01:22.200]  原因就是唯有女人很肯定
[00:01:22.200 --> 00:01:24.160]  哪個小孩是自己生的
[00:01:24.160 --> 00:01:25.680]  因爲那時候沒有DNA
[00:01:25.680 --> 00:01:26.680]  驗不到的
[00:01:26.680 --> 00:01:29.840]  如果看那些劇集介紹的
[00:01:29.840 --> 00:01:33.000]  就是那些男人排在窗口
[00:01:33.000 --> 00:01:35.000]  第二天搞完就走了
[00:01:35.000 --> 00:01:37.360]  根本沒有人確定
[00:01:37.360 --> 00:01:40.200]  哪個小孩真是屬於自己的
[00:01:40.200 --> 00:01:42.040]  因此沒有是社會
[00:01:42.040 --> 00:01:44.360]  因爲小朋友是一定認得知道
[00:01:44.360 --> 00:01:45.600]  或者是女人會知道
[00:01:45.600 --> 00:01:47.320]  哪個是自己的子女
[00:01:47.320 --> 00:01:49.160]  在那個時候
[00:01:49.160 --> 00:01:53.320]  也沒有特別是需要用到機械
[00:01:53.320 --> 00:01:56.400]  勞動力來做生產的
[00:01:56.400 --> 00:01:58.600]  都是撿到魚
