
[00:00:00.000 --> 00:00:02.000]  好,各位頂姊妹平安
[00:00:02.000 --> 00:00:06.740]  那,做少少意見調查先
[00:00:06.740 --> 00:00:09.440]  我想問一下,大家覺得自己
[00:00:09.440 --> 00:00:14.840]  有些做了十幾年人,有些做了比較年長的
[00:00:14.840 --> 00:00:19.300]  我想問一下大家,有沒有覺得自己的人生裡面
[00:00:19.300 --> 00:00:22.500]  多多少少都有受過一些傷害的
[00:00:22.500 --> 00:00:24.500]  覺得自己受過一些傷害的
[00:00:24.500 --> 00:00:26.000]  有的可不可以舉一舉手
[00:00:26.000 --> 00:00:30.000]  都有的,有沒有一些很幸運覺得自己沒甚麼受傷的
[00:00:30.000 --> 00:00:34.000]  沒有是吧,好像都沒有,OK
[00:00:34.000 --> 00:00:37.000]  那可能這些傷害可以來自很多層面的
[00:00:37.000 --> 00:00:40.000]  例如呢,家庭啦,可以是
[00:00:40.000 --> 00:00:42.500]  我們的傷害可以來自家人啦
[00:00:42.500 --> 00:00:46.000]  可能來自是最親的朋友啦
[00:00:46.000 --> 00:00:48.000]  可以是學校的同學啦
[00:00:48.000 --> 00:00:51.000]  甚至是老師啦,都可以是
[00:00:51.000 --> 00:00:52.500]  令到我們受傷害
[00:00:52.500 --> 00:00:54.000]  我試過呢,在我小二的時候呢
[00:00:54.000 --> 00:00:57.000]  我只是想問我老師能不能去廁所
[00:00:57.000 --> 00:00:59.500]  接著他一巴掌打到我那裡
[00:00:59.500 --> 00:01:01.500]  我記得現在
[00:01:01.500 --> 00:01:03.000]  那時候是不給體罰的
[00:01:03.000 --> 00:01:07.500]  接著呢,不知道我爸媽怎樣幫他處理了
[00:01:07.500 --> 00:01:11.500]  那,人生總會有些奇怪的東西
[00:01:11.500 --> 00:01:13.000]  我和我老婆分享的時候
[00:01:13.000 --> 00:01:14.500]  都多了多難的
[00:01:14.500 --> 00:01:16.000]  是啊,我不知道為甚麼
[00:01:16.000 --> 00:01:20.000]  那可能是,甚至有些傷害是來自教會的啦
[00:01:20.000 --> 00:01:23.000]  教會的頂姊妹有時候是
[00:01:23.000 --> 00:01:25.000]  說笑都會傷害的
[00:01:25.000 --> 00:01:27.000]  特別是年輕的時候
[00:01:27.000 --> 00:01:29.000]  很喜歡串來串去的時候
[00:01:29.000 --> 00:01:31.000]  其實不小心又會傷到人啦
[00:01:31.000 --> 00:01:33.000]  那這些是小事啦
[00:01:33.000 --> 00:01:35.000]  那可能有些大件事,就可能是
[00:01:35.000 --> 00:01:38.000]  就是一些分裂啊,人際關係的問題啊
[00:01:38.000 --> 00:01:41.000]  同事啦,都可以是傷害我們啦,是不是?
[00:01:41.000 --> 00:01:44.000]  就是上班總會,總會有些
[00:01:44.000 --> 00:01:46.000]  壞的同事
[00:01:46.000 --> 00:01:48.000]  上司啦,可能都可能是
[00:01:48.000 --> 00:01:50.000]  我們的傷害的來源啦
[00:01:50.000 --> 00:01:52.000]  老闆都可以是傷害來源啦
[00:01:52.000 --> 00:01:54.000]  好似好多事情
[00:01:54.000 --> 00:01:56.000]  都好似是我們傷害到我們的來源
[00:01:56.000 --> 00:01:59.000]  那傷害呢,就和生命
[00:01:59.000 --> 00:02:01.000]  就好似一個銀兩面的
[00:02:01.000 --> 00:02:04.000]  就是你的生命裡面,多多少少一定是受過傷的
[00:02:04.000 --> 00:02:08.000]  那彼此之間呢,好似有生命就會有傷害
[00:02:08.000 --> 00:02:10.000]  好似彼此存在
[00:02:10.000 --> 00:02:12.000]  那傷害就在所難免
[00:02:12.000 --> 00:02:15.000]  那但是呢,對這些傷害
[00:02:15.000 --> 00:02:18.000]  我們可以有不同的詮釋
[00:02:18.000 --> 00:02:21.000]  我們可以對這些傷害有不同的解釋
[00:02:21.000 --> 00:02:23.000]  有時候呢,就會覺得
[00:02:23.000 --> 00:02:25.000]  傷害呢,就好似
[00:02:25.000 --> 00:02:28.000]  永遠在這裡和我們的生命連結
[00:02:28.000 --> 00:02:30.000]  然後就因為這些傷害呢,就
[00:02:30.000 --> 00:02:33.000]  繼續令到我們的性格有所改變
[00:02:33.000 --> 00:02:35.000]  可能有些是令到我們很執著
[00:02:35.000 --> 00:02:37.000]  那但是呢,有一些傷害呢
[00:02:37.000 --> 00:02:39.000]  卻是可以令到我們
[00:02:39.000 --> 00:02:43.000]  看得見,原來是上帝給我們的使命
[00:02:43.000 --> 00:02:46.000]  那在對上三次的講道呢
[00:02:46.000 --> 00:02:49.000]  裡面呢,都講及到我們作為基督徒
[00:02:49.000 --> 00:02:51.000]  在地上是要用我們的生命
[00:02:51.000 --> 00:02:53.000]  去做耶穌基督的見證
[00:02:53.000 --> 00:02:55.000]  那耶利米書的時候
[00:02:55.000 --> 00:02:57.000]  第一章呢,就是我講
[00:02:57.000 --> 00:03:01.000]  上帝會因著我們的不同的軟弱的情況
[00:03:01.000 --> 00:03:03.000]  就是加力給我們
[00:03:03.000 --> 00:03:05.000]  那接著呢,帕卡書教師就講到
[00:03:05.000 --> 00:03:07.000]  已創下書六章的時候呢
[00:03:07.000 --> 00:03:09.000]  就講到提醒我們要
[00:03:09.000 --> 00:03:11.000]  作為一個基督徒
[00:03:11.000 --> 00:03:13.000]  我們被上帝差遣的人,我們要知罪
[00:03:13.000 --> 00:03:16.000]  以及呢,我們亦都承認知罪的時候呢
[00:03:16.000 --> 00:03:18.000]  我們承認我們的罪呢
