
[00:00:00.000 --> 00:00:02.820]  好,請姐妹平安,我們再一次低頭祈禱
[00:00:30.000 --> 00:00:32.000]  或者對於愛的一些經歷
[00:00:32.000 --> 00:00:34.000]  其實都是扭曲的經歷
[00:00:34.000 --> 00:00:37.500]  我們願意在你的愛當中來對照的時候
[00:00:37.500 --> 00:00:39.500]  我們更加明白你的心意
[00:00:39.500 --> 00:00:41.500]  也都更加能夠活出
[00:00:41.500 --> 00:00:46.000]  你創造我們所應該擁有的那種
[00:00:46.000 --> 00:00:49.000]  好像神這樣去愛人的時候
[00:00:49.000 --> 00:00:52.500]  我們學習怎樣來愛人和愛神
[00:00:52.500 --> 00:00:55.000]  我們這樣禱告奉耶穌基督的名祈求
[00:00:55.000 --> 00:00:56.000]  阿們
[00:00:57.000 --> 00:01:01.000]  好,今天我們就講窒道和愛
[00:01:01.000 --> 00:01:09.000]  其實窒道這樣的情感
[00:01:09.000 --> 00:01:16.000]  或者窒道這種在法治人心的一種慾望
[00:01:16.000 --> 00:01:20.000]  是很少來當眾講的
[00:01:20.000 --> 00:01:22.000]  你不知道有沒有發覺
[00:01:22.000 --> 00:01:25.000]  我們有講憤怒
[00:01:25.000 --> 00:01:27.000]  遲一些又會講懶惰
[00:01:27.000 --> 00:01:30.000]  之前有講過貪食
[00:01:30.000 --> 00:01:35.000]  或者有講其他
[00:01:35.000 --> 00:01:37.000]  即是驕傲
[00:01:37.000 --> 00:01:40.000]  那些都有時候都會
[00:01:40.000 --> 00:01:44.000]  很多時候有時候在公眾的場合
[00:01:44.000 --> 00:01:48.000]  或者和朋友聊天之間都會講的
[00:01:48.000 --> 00:01:54.000]  但是我們就在交流之中
[00:01:54.000 --> 00:01:57.000]  很少去提你是否窒道某個人
[00:01:57.000 --> 00:01:59.000]  或者某某某
[00:01:59.000 --> 00:02:02.000]  你知不知道我看那個人很不順眼
[00:02:02.000 --> 00:02:04.000]  其實我想我是在窒道他
[00:02:04.000 --> 00:02:06.000]  有沒有這樣講的呢
[00:02:06.000 --> 00:02:09.000]  只有在我經驗當中沒有聽過
[00:02:09.000 --> 00:02:11.000]  我自己也沒有這樣講過
[00:02:11.000 --> 00:02:14.000]  有時候我都會說我都很驕傲
[00:02:14.000 --> 00:02:16.000]  或者有時候說我都很懶惰
[00:02:16.000 --> 00:02:19.000]  有時候我想這個人真是
[00:02:19.000 --> 00:02:22.000]  他這麼貪心真的不行
[00:02:22.000 --> 00:02:24.000]  我們都會講這些
[00:02:24.000 --> 00:02:27.000]  因為似乎在公眾的領域當中
[00:02:27.000 --> 00:02:30.000]  這些是比較可以見得到
[00:02:30.000 --> 00:02:32.000]  有時候都不道理不認
[00:02:32.000 --> 00:02:34.000]  那我們就講
[00:02:34.000 --> 00:02:37.000]  但是窒道為什麼這麼少講呢
[00:02:37.000 --> 00:02:41.000]  其實就是因為他在公眾的領域當中
[00:02:41.000 --> 00:02:43.000]  有很多時候都很懂得躲起來
[00:02:43.000 --> 00:02:47.000]  譬如有時候出於窒道而有
[00:02:47.000 --> 00:02:50.000]  你對於一個人的一種態度
[00:02:50.000 --> 00:02:52.000]  你收起來
