
[00:00:00.000 --> 00:00:01.000]  (主席) 各位姐妹早晨
[00:00:01.000 --> 00:00:03.000]  (主席) 我們一起同心祈禱
[00:00:03.000 --> 00:00:08.000]  (主席) 多謝天父給我們機會有生命氣息可以一同聚集
[00:00:08.000 --> 00:00:11.000]  (主席) 並且在主理的便當中一同敬拜
[00:00:11.000 --> 00:00:17.000]  (主席) 讓我們在你面前認真的去明白你自己的真理
[00:00:17.000 --> 00:00:21.000]  (主席) 並且讓聖靈引導我們個人在生活上活出你的真理
[00:00:21.000 --> 00:00:26.000]  (主席) 讓我們再在你面前一同領受你寶貴的話語
[00:00:26.000 --> 00:00:30.000]  (主席) 我們同心獻上禱告奉耶穌基督的聖名
[00:00:30.000 --> 00:00:31.000]  (主席) Amen
[00:00:56.000 --> 00:01:03.000]  (主席) 很生氣之餘四處尋找誰是罪魁禍首
[00:01:03.000 --> 00:01:07.000]  (主席) 找來找去便發現旁邊的車輛都沒有了
[00:01:07.000 --> 00:01:15.000]  (主席) 結果在車的擋風玻璃上有張紙
[00:01:15.000 --> 00:01:20.000]  (主席) 突然想到拿張紙出來寫些什麼
[00:01:20.000 --> 00:01:26.000]  (主席) 一看的時候就看到上面這樣寫著
[00:01:26.000 --> 00:01:29.000]  (主席) 他說先生不好意思
[00:01:29.000 --> 00:01:31.000]  (主席) 今天早上我泊車的時候
[00:01:31.000 --> 00:01:33.000]  (主席) 不小心我的車撞到你的車
[00:01:33.000 --> 00:01:36.000]  (主席) 於是我就寫了這張字條
[00:01:36.000 --> 00:01:39.000]  (主席) 當時有人看著我做這件事
[00:01:39.000 --> 00:01:46.000]  (主席) 而且那些人都說你真的很有責任感
[00:01:46.000 --> 00:01:50.000]  (主席) 你真的很認真去為你的行為
[00:01:50.000 --> 00:01:54.000]  (主席) 為你所做的負責任
[00:01:54.000 --> 00:01:56.000]  (主席) 然後他繼續寫的時候說
[00:01:56.000 --> 00:02:02.000]  (主席) 我相信這位當事人或這位現場的目擊證人
[00:02:02.000 --> 00:02:06.000]  (主席) 他當然以為我寫下我的名字和電話號碼給你
[00:02:06.000 --> 00:02:08.000]  (主席) 然後他最後那句話
[00:02:08.000 --> 00:02:13.000]  (主席) 不過我沒有 哈哈
[00:02:13.000 --> 00:02:17.000]  (主席) 我去想 什麼叫負責任呢
[00:02:17.000 --> 00:02:20.000]  (主席) 的確如果他留下一張字條
[00:02:20.000 --> 00:02:22.000]  (主席) 是一個很負責任的做法
[00:02:22.000 --> 00:02:24.000]  (主席) 不過最重要的是什麼
[00:02:24.000 --> 00:02:28.000]  (主席) 最重要的是寫下聯絡電話號碼和名字
[00:02:28.000 --> 00:02:31.000]  (主席) 有時候我們會做一些行為表現
[00:02:31.000 --> 00:02:35.000]  (主席) 可能外在的人會覺得你都很認真
[00:02:35.000 --> 00:02:36.000]  (主席) 你都很積極
[00:02:36.000 --> 00:02:41.000]  (主席) 你都很肯為你的生命去負責
[00:02:41.000 --> 00:02:44.000]  (主席) 不過實質是怎麼樣的呢
[00:02:44.000 --> 00:02:48.000]  (主席) 有外表不代表一定有實質
[00:02:48.000 --> 00:02:50.000]  (主席) 所以重要的是到底
[00:02:50.000 --> 00:02:55.000]  (主席) 你是怎樣去為你的人生去負上責任呢
[00:02:55.000 --> 00:02:59.000]  (主席) 今天我們思想路加福音第九章這段經文
[00:02:59.000 --> 00:03:03.000]  (主席) 可能對我們中間有部分的電視節目來講會認識的
[00:03:03.000 --> 00:03:05.000]  (主席) 因為裡面有一兩句金句
[00:03:05.000 --> 00:03:09.000]  (主席) 都可能是我們很熟悉的 或者聽過的
[00:03:09.000 --> 00:03:14.000]  (主席) 我就會想到底為什麼會發生這一段的經文呢
[00:03:14.000 --> 00:03:17.000]  (主席) 為什麼會有這一段的對話
[00:03:17.000 --> 00:03:19.000]  (主席) 或者這一段的記載在裡面呢
[00:03:19.000 --> 00:03:27.000]  (主席) 那這一段的經文又和負責任有什麼重要的關係呢
[00:03:27.000 --> 00:03:28.000]  (主席) 我一會兒會慢慢講
[00:03:28.000 --> 00:03:31.000]  (主席) 或者最後會告訴大家為什麼會有這一段的經文
[00:03:31.000 --> 00:03:35.000]  (主席) 不過很想我們從這個經文裡面
