
[00:00:00.000 --> 00:00:02.880]  在開始之前讓我們有一個禱告
[00:00:02.880 --> 00:00:05.760]  恩主是的我們來到你的面前
[00:00:05.760 --> 00:00:07.840]  我們奉你的名在這裡聚集
[00:00:07.840 --> 00:00:11.400]  主啊是的你的聖靈在我們中間動工
[00:00:11.400 --> 00:00:13.000]  無論我們身在何處
[00:00:13.000 --> 00:00:14.080]  主耶穌是的
[00:00:14.080 --> 00:00:16.200]  我們用心靈和誠實來到你面前
[00:00:16.200 --> 00:00:18.880]  你的靈就要對我們的心說話
[00:00:18.880 --> 00:00:19.960]  今天主耶穌啊
[00:00:19.960 --> 00:00:21.280]  或講的或聽的
[00:00:21.280 --> 00:00:24.400]  我們都擺在你的面前對我們說話
[00:00:24.400 --> 00:00:28.360]  主啊主啊超越你僕人身體上一切的軟弱和限制
[00:00:28.360 --> 00:00:30.840]  你自己用你的話語建立你的教會
[00:00:30.840 --> 00:00:31.480]  謝謝你
[00:00:31.480 --> 00:00:33.920]  我們把以下時間恭敬仰望在你的手中
[00:00:33.920 --> 00:00:35.800]  禱告奉耶穌基督的名
[00:00:35.800 --> 00:00:36.200]  阿們
[00:00:36.200 --> 00:00:38.880]  好的
[00:00:38.880 --> 00:00:40.040]  弟兄姊妹啊
[00:00:40.040 --> 00:00:41.040]  那啊
[00:00:41.040 --> 00:00:43.480]  我們也要繼續為著葛木施
[00:00:43.480 --> 00:00:44.320]  他的啊
[00:00:44.320 --> 00:00:45.920]  他在啊
[00:00:45.920 --> 00:00:48.640]  在現在他應該是在波蘭啊
[00:00:48.640 --> 00:00:51.360]  在烏克蘭在波蘭的宣教來禱告
[00:00:51.360 --> 00:00:53.520]  也保守他的僕人不受到啊
[00:00:53.520 --> 00:00:55.480]  這種疫情的啊
[00:00:55.480 --> 00:00:56.560]  侵擾
[00:00:56.560 --> 00:00:59.560]  啊我這次主要去了啊
[00:00:59.560 --> 00:01:00.800]  主要去了兩個國家
[00:01:00.800 --> 00:01:03.040]  一個是一個是德國
[00:01:03.040 --> 00:01:05.640]  那是我最主要在那裡待的地方
[00:01:05.640 --> 00:01:08.360]  那另外一個呢就是去了波蘭啊
[00:01:08.360 --> 00:01:11.240]  在那裡服侍烏克蘭來的難民啊
[00:01:11.240 --> 00:01:12.280]  在德國的時候
[00:01:12.280 --> 00:01:14.560]  其實啊我是啊
[00:01:14.560 --> 00:01:17.640]  住在在德國圖林根州
[00:01:17.640 --> 00:01:22.720]  耶拿的一個叫做福音中心的一個一個地方啊
[00:01:22.720 --> 00:01:26.520]  我在那裡住了大約是一個多週的時間啊
[00:01:26.520 --> 00:01:28.400]  在這一個多週的時間裡
[00:01:28.400 --> 00:01:32.760]  啊我自己前一段時間我自己在那裡生活
[00:01:32.760 --> 00:01:35.000]  後來又跟葛木施一起在那裡
[00:01:35.000 --> 00:01:39.840]  因為在德國扔垃圾的分類其實是蠻複雜的啊
[00:01:39.840 --> 00:01:41.520]  他們分很多類
[00:01:41.520 --> 00:01:42.520]  然後再扔
[00:01:42.520 --> 00:01:45.440]  我一開始去呢搞不清楚
[00:01:45.440 --> 00:01:46.680]  所以我就想說
[00:01:46.680 --> 00:01:48.720]  哦等到我們聚會的時候
[00:01:48.720 --> 00:01:51.680]  當地的弟兄姊妹當地的啊
[00:01:51.680 --> 00:01:53.400]  這個當地人來的時候
[00:01:53.400 --> 00:01:58.840]  再幫問他們然後讓他們幫我一起扔
[00:01:58.840 --> 00:02:01.800]  結果等了大約不到一個週啊
[00:02:01.800 --> 00:02:04.960]  我突然發現天吶
[00:02:04.960 --> 00:02:08.640]  這生活才不到才不到一個週
[00:02:08.640 --> 00:02:12.720]  怎麼我怎麼怎麼就有這麼多垃圾
[00:02:12.720 --> 00:02:16.480]  怎麼產生了這麼多不需要的東西呢
[00:02:16.480 --> 00:02:19.280]  我只不過在這裡寄居一下嘛
[00:02:19.280 --> 00:02:22.480]  我只不過在這裡暫住一下嘛
[00:02:22.480 --> 00:02:24.960]  不過就是一兩個週的時間嘛
[00:02:24.960 --> 00:02:27.560]  怎麼會產生了這麼多需要處理
[00:02:27.560 --> 00:02:30.080]  需要丟掉的東西呢
[00:02:30.080 --> 00:02:30.440]  各位
[00:02:30.440 --> 00:02:35.720]  我想到我們的肉身生活尚且如此
[00:02:35.720 --> 00:02:38.720]  那我們的靈魂生活豈不更是如此嗎
[00:02:38.720 --> 00:02:42.720]  僅僅一個週的時間
[00:02:42.720 --> 00:02:43.880]  親愛的弟兄姊妹
[00:02:43.880 --> 00:02:47.680]  會不會你的心靈裡產生的垃圾已經堆積如山了
[00:02:47.680 --> 00:02:50.000]  甚至已經變質了
[00:02:50.000 --> 00:02:51.360]  發臭了
[00:02:51.360 --> 00:02:52.440]  需要處理了呢
[00:02:52.440 --> 00:02:56.320]  我們寄居在地上
[00:02:56.320 --> 00:02:59.400]  我們在我們的寄居的人生命當中
[00:02:59.400 --> 00:03:02.000]  我們需要求神不斷的來更新我們
[00:03:02.000 --> 00:03:08.840]  讓我們在這個短暫的人生當中能夠跟隨我們的主
[00:03:08.840 --> 00:03:10.960]  過完我們寄居的生活
[00:03:10.960 --> 00:03:16.240]  今天我講到的題目是大地上的異鄉人
[00:03:16.240 --> 00:03:19.920]  其實就是講到基督徒的一個身份
[00:03:19.920 --> 00:03:21.640]  剛才謝謝高長老
[00:03:21.640 --> 00:03:24.960]  替我們讀了三節的經文
[00:03:24.960 --> 00:03:26.200]  分別放在兩段
[00:03:26.200 --> 00:03:29.320]  第一段是在彼得前書第一章第一節第二節
[00:03:29.320 --> 00:03:33.440]  可以看下一張PPT
[00:03:33.440 --> 00:03:35.320]  那如果大家看到PPT
