
[00:00:00.000 --> 00:00:03.320]  很高興來到幸福小組的第八週
[00:00:03.320 --> 00:00:05.340]  有多少弟兄姊妹其實已經很期待
[00:00:05.340 --> 00:00:06.920]  可以先握手嗎?
[00:00:06.920 --> 00:00:07.940]  很期待是吧?
[00:00:07.940 --> 00:00:09.140]  因為在Facebook看到說
[00:00:09.140 --> 00:00:12.240]  我們終於去到第八週了
[00:00:12.240 --> 00:00:15.260]  第八週來到一個題目叫做
[00:00:15.260 --> 00:00:17.060]  幸福的教會
[00:00:17.060 --> 00:00:18.020]  想問一下大家
[00:00:18.020 --> 00:00:20.940]  你覺得自己在這裡是否幸福?
[00:00:20.940 --> 00:00:22.980]  幸福就給旁邊那個5分
[00:00:22.980 --> 00:00:23.660]  好嗎?
[00:00:23.660 --> 00:00:24.660]  大家都覺得幸福
[00:00:24.660 --> 00:00:25.620]  因為你幸福就在這裡
[00:00:25.620 --> 00:00:26.460]  要不然你不在這裡
[00:00:26.460 --> 00:00:26.780]  是不是?
[00:00:26.780 --> 00:00:27.940]  很坦白
[00:00:27.940 --> 00:00:29.820]  什麼叫幸福的教會呢?
[00:00:29.820 --> 00:00:32.100]  我都想了很久
[00:00:32.100 --> 00:00:33.980]  我平時說到
[00:00:33.980 --> 00:00:35.380]  經常都希望
[00:00:35.380 --> 00:00:36.860]  究竟上帝想說什麼
[00:00:36.860 --> 00:00:38.980]  而花這麼多時間
[00:00:38.980 --> 00:00:40.980]  為什麼會覺得這麼奇怪呢?
[00:00:40.980 --> 00:00:43.180]  因為我是很小的時候返回教會的
[00:00:43.180 --> 00:00:46.020]  所以我經歷過的教會歷史
[00:00:46.020 --> 00:00:47.900]  都五十多年了
[00:00:47.900 --> 00:00:49.060]  很坦白
[00:00:49.060 --> 00:00:51.620]  所以你問我什麼叫幸福的教會呢?
[00:00:51.620 --> 00:00:56.420]  的確是有很多很多不同的片段
[00:00:56.420 --> 00:00:58.500]  在我腦海當中出來的
[00:00:58.500 --> 00:01:00.060]  我自己是很小的時候
[00:01:00.060 --> 00:01:01.420]  小到幼稚園
[00:01:01.420 --> 00:01:02.220]  應該說
[00:01:02.220 --> 00:01:03.700]  我想我N班那些時間
[00:01:03.700 --> 00:01:06.180]  已經被媽媽丟在教會裡面了
[00:01:06.180 --> 00:01:08.620]  你問我教會對我的感覺是什麼呢?
[00:01:08.620 --> 00:01:11.540]  最開始的感覺是開心的
[00:01:11.540 --> 00:01:13.300]  因為那裡有得玩
[00:01:13.300 --> 00:01:15.140]  最好就是有通心粉吃
[00:01:15.140 --> 00:01:16.820]  有些玩具
[00:01:16.820 --> 00:01:17.860]  還有就是
[00:01:17.860 --> 00:01:19.700]  返齊了又有獎品
[00:01:19.700 --> 00:01:20.980]  所以我是很乖的
[00:01:20.980 --> 00:01:21.900]  我又很喜歡返的
[00:01:21.900 --> 00:01:23.300]  也都很開心的
[00:01:23.300 --> 00:01:24.140]  但是返回教會
[00:01:24.140 --> 00:01:27.220]  突然間就令到我一件事是很害怕的
[00:01:27.220 --> 00:01:29.340]  就是因為姐姐告訴我
[00:01:29.340 --> 00:01:31.060]  這裡的神
[00:01:31.060 --> 00:01:32.740]  是天上的爸爸
[00:01:32.740 --> 00:01:35.220]  二十四小時無處不在看著你
[00:01:35.220 --> 00:01:36.580]  我就嚇到哭了
[00:01:36.580 --> 00:01:38.620]  於是就開始有點害怕返回教會
[00:01:38.620 --> 00:01:40.220]  害怕耶穌
[00:01:40.220 --> 00:01:43.220]  因為我自己地上的爸爸
[00:01:43.220 --> 00:01:44.140]  喜歡喝酒
[00:01:44.140 --> 00:01:45.500]  喜歡打人
[00:01:45.500 --> 00:01:46.740]  重男輕女
[00:01:46.740 --> 00:01:49.740]  所以爸爸對我來說是一件很恐怖的事
[00:01:49.740 --> 00:01:53.580]  但是也都是因為這麼奇妙的感覺
[00:01:53.580 --> 00:01:56.180]  令到我一個這麼小的小朋友
[00:01:56.180 --> 00:02:00.060]  他真的能夠有機會和上帝連繫
[00:02:00.060 --> 00:02:01.220]  所以我很清楚
