
[00:00:00.000 --> 00:00:03.160]  我想我一直的思想裏面都離不開
[00:00:03.160 --> 00:00:05.320]  心裏面念念不忘
[00:00:05.320 --> 00:00:08.320]  一直都是圍繞着
[00:00:08.320 --> 00:00:10.720]  想跟大家分享一個
[00:00:10.720 --> 00:00:13.160]  我覺得很重要的題目
[00:00:13.160 --> 00:00:16.760]  就是如何面對沉溺
[00:00:16.760 --> 00:00:24.160]  沉溺的確在今日影響很多人的一個現況
[00:00:24.160 --> 00:00:30.120]  我們可以如何得到幫助呢?
[00:00:30.120 --> 00:00:32.200]  我不知道今日是章臨期
[00:00:32.200 --> 00:00:34.360]  即是當時沒有甚麼意識
[00:00:34.360 --> 00:00:39.960]  沒有甚麼提到這方面的節日
[00:00:39.960 --> 00:00:43.400]  但我想今天坐在這裏的時候
[00:00:43.400 --> 00:00:46.760]  如果我們以檢視我們的生命
[00:00:46.760 --> 00:00:50.120]  作為迎接主的降臨
[00:00:50.120 --> 00:00:52.960]  可能都不是一件容易的事
[00:00:52.960 --> 00:00:55.840]  可能都不是一件不好的事情
[00:00:55.840 --> 00:01:01.800]  讓我們先一齊禱告
[00:01:01.800 --> 00:01:07.040]  親愛的天父我們仰望祢
[00:01:07.040 --> 00:01:08.400]  祢教導我們
[00:01:08.400 --> 00:01:11.680]  聖經說人來到神的面前
[00:01:11.680 --> 00:01:14.200]  必須信由神
[00:01:14.200 --> 00:01:19.800]  並且相信祂賞賜尋求祂的人
[00:01:19.800 --> 00:01:22.000]  我主求祢幫我們
[00:01:22.000 --> 00:01:25.760]  賜下我們尋求的心
[00:01:25.760 --> 00:01:27.720]  讓我們尋求的時候
[00:01:27.720 --> 00:01:31.040]  就得以尋見
[00:01:31.040 --> 00:01:33.800]  聖靈我願祢今日在這裏工作
[00:01:33.800 --> 00:01:37.520]  是按祢自己的心意完成
[00:01:37.520 --> 00:01:38.920]  按祢的旨意
[00:01:38.920 --> 00:01:40.640]  運行在我們當中
[00:01:40.640 --> 00:01:42.600]  親自向我們說話
[00:01:42.600 --> 00:01:43.920]  願主祢自己的說話
