
[00:00:00.000 --> 00:00:02.100]  各位電影姊妹 平安
[00:00:02.100 --> 00:00:04.680]  很久沒試過星期六講道
[00:00:04.680 --> 00:00:06.680]  所以真的有點緊張
[00:00:06.680 --> 00:00:10.520]  為了星期六跟大家一起講道
[00:00:10.520 --> 00:00:12.680]  星期六和星期日我都是講這段經文
[00:00:12.680 --> 00:00:14.180]  但兩篇不同的道
[00:00:14.180 --> 00:00:15.680]  我明天會講另一篇道
[00:00:15.680 --> 00:00:17.680]  但都是這個經文
[00:00:17.680 --> 00:00:18.980]  今日的講題是
[00:00:18.980 --> 00:00:21.480]  不夠半斤力 竟可得百兩
[00:00:21.480 --> 00:00:25.980]  多勞多得 少勞少得
[00:00:25.980 --> 00:00:29.280]  一向是我們社會大眾所認定
[00:00:29.780 --> 00:00:31.780]  所推崇的金科玉律
[00:00:31.780 --> 00:00:33.780]  覺得是天經地義
[00:00:33.780 --> 00:00:35.780]  大家都會認為
[00:00:35.780 --> 00:00:38.780]  這是一個很公平的衡量標準
[00:00:38.780 --> 00:00:40.780]  所以有哥仔說
[00:00:40.780 --> 00:00:42.780]  我們這班打工仔
[00:00:42.780 --> 00:00:45.280]  出了半斤力都想拿回足百兩
[00:00:45.280 --> 00:00:47.280]  是很自然的事
[00:00:47.280 --> 00:00:49.280]  不過當應用在
[00:00:49.280 --> 00:00:51.780]  耶穌基督的救恩上的時候
[00:00:51.780 --> 00:00:54.780]  那就不能夠成立了
[00:00:54.780 --> 00:00:56.780]  因為有不同的性質
[00:00:56.780 --> 00:01:00.780]  原來救恩是白白的恩典
[00:01:00.780 --> 00:01:02.780]  是白白的給我們的
[00:01:02.780 --> 00:01:04.780]  不是靠人付出
[00:01:04.780 --> 00:01:07.780]  賺取回來的恩典
[00:01:07.780 --> 00:01:08.780]  很奇怪
[00:01:08.780 --> 00:01:11.780]  當時耶穌的門徒
[00:01:11.780 --> 00:01:14.780]  他們都是有世俗的看法
[00:01:14.780 --> 00:01:17.780]  他們相信那些條件更好的人
[00:01:17.780 --> 00:01:19.780]  贏在起跑線的人
[00:01:19.780 --> 00:01:22.780]  必定會被神祝福
[00:01:22.780 --> 00:01:24.780]  他們也一定能夠在
[00:01:24.780 --> 00:01:27.780]  宗教、禮儀等事情上
[00:01:27.780 --> 00:01:29.780]  甚至道德上
[00:01:29.780 --> 00:01:32.780]  做得更加出色
[00:01:32.780 --> 00:01:34.780]  他們的憲制、守戒命
[00:01:34.780 --> 00:01:37.780]  也做得更加嚴謹
[00:01:37.780 --> 00:01:40.780]  而財富也是一個很具體的
[00:01:40.780 --> 00:01:42.780]  神祝福的一個表徵
[00:01:42.780 --> 00:01:45.780]  所以門徒當時也這樣想
[00:01:45.780 --> 00:01:48.780]  天國一定有他們份
[00:01:48.780 --> 00:01:51.780]  但是在《馬太福音》第十九章
[00:01:51.780 --> 00:01:53.780]  十六至二十二節說到
[00:01:53.780 --> 00:01:56.780]  那個青年的財主向耶穌求問永生
[00:01:56.780 --> 00:01:57.780]  上個星期我們也聽過
[00:01:57.780 --> 00:01:59.780]  李牧師講道說過
[00:01:59.780 --> 00:02:03.780]  耶穌吩咐他變賣所有的婚婢窮人
[00:02:03.780 --> 00:02:06.780]  他就悠悠瘦瘦地走了
[00:02:06.780 --> 00:02:08.780]  他離開之後
[00:02:08.780 --> 00:02:11.780]  耶穌就教導門徒
[00:02:11.780 --> 00:02:15.780]  他說財主進入天國是難的
[00:02:15.780 --> 00:02:18.780]  這句話就令到門徒很驚訝
[00:02:18.780 --> 00:02:22.780]  財主不是有神很多的祝福嗎?
[00:02:22.780 --> 00:02:26.780]  為什麼他們是很難進天國的呢?
[00:02:26.780 --> 00:02:28.780]  按他們的認知
[00:02:28.780 --> 00:02:31.780]  財主得到神的祝福
[00:02:31.780 --> 00:02:33.780]  應該是很容易進入天國的
[00:02:33.780 --> 00:02:36.780]  所以他們就問耶穌一個問題
[00:02:36.780 --> 00:02:39.780]  這樣誰能得救呢?
[00:02:39.780 --> 00:02:43.780]  如果連財主都這麼難進入天國
[00:02:43.780 --> 00:02:46.780]  那麼誰可以得救呢?
[00:02:46.780 --> 00:02:48.780]  聖經裡我們知道
[00:02:48.780 --> 00:02:52.780]  猶太人有神的律法和誡命
[00:02:52.780 --> 00:02:57.780]  有神對先祖阿伯拉罕和大衛的約
[00:02:57.780 --> 00:03:00.780]  似乎是特別蒙神去眷顧的
[00:03:00.780 --> 00:03:02.780]  他們也可能因為這樣
[00:03:02.780 --> 00:03:05.780]  而充滿了民族的優越感
[00:03:05.780 --> 00:03:08.780]  看不起外邦人
[00:03:08.780 --> 00:03:10.780]  但是這些背景
[00:03:10.780 --> 00:03:12.780]  會不會就令到他們
[00:03:12.780 --> 00:03:16.780]  一定可以進入天國呢?
[00:03:16.780 --> 00:03:17.780]  葡萄園的比喻
[00:03:17.780 --> 00:03:20.780]  就是要回答門徒的問題
[00:03:20.780 --> 00:03:25.780]  這樣誰能進天國呢?
[00:03:25.780 --> 00:03:26.780]  我們今天就來看看
[00:03:26.780 --> 00:03:28.780]  這個葡萄園的比喻
[00:03:28.780 --> 00:03:31.780]  先來看看這個比喻
[00:03:31.780 --> 00:03:32.780]  從這個比喻裡
[00:03:32.780 --> 00:03:36.780]  我們認識神是怎樣的一位神呢?
[00:03:36.780 --> 00:03:38.780]  這個比喻剛才也很好
[00:03:38.780 --> 00:03:41.780]  由幾位領事和主席
[00:03:41.780 --> 00:03:42.780]  讀經完
[00:03:42.780 --> 00:03:45.780]  演繹了經文給大家聽
[00:03:45.780 --> 00:03:47.780]  我特別選擇了和修本
[00:03:47.780 --> 00:03:49.780]  不用去解釋
[00:03:49.780 --> 00:03:52.780]  新初 遲初 五靜那些時間
[00:03:52.780 --> 00:03:55.780]  因為講了幾點鐘 大家就知道
[00:03:55.780 --> 00:03:57.780]  我們看到這個比喻裡
[00:03:57.780 --> 00:04:00.780]  神是信實的 是公義的
[00:04:00.780 --> 00:04:02.780]  他答應了清祖
[00:04:02.780 --> 00:04:03.780]  清祖是六點鐘
[00:04:03.780 --> 00:04:05.780]  經文就沒有講了
[00:04:05.780 --> 00:04:07.780]  但我們知道當時猶太人
[00:04:07.780 --> 00:04:09.780]  他們工作是六點鐘開工
[00:04:09.780 --> 00:04:12.780]  他答應了在清祖進入葡萄園工作的人
[00:04:12.780 --> 00:04:16.780]  他一天的工資是一個銀幣
[00:04:16.780 --> 00:04:18.780]  這是當時一個普通的工人
[00:04:18.780 --> 00:04:20.780]  一天的工資
[00:04:20.780 --> 00:04:23.780]  也是足夠他一天基本的開支
[00:04:23.780 --> 00:04:25.780]  一個家庭基本的開支
[00:04:25.780 --> 00:04:29.780]  這個園主就按著協議的諮詢
[00:04:29.780 --> 00:04:31.780]  不多不少
[00:04:31.780 --> 00:04:34.780]  比後來的工人也是有多無少
[00:04:34.780 --> 00:04:35.780]  總之他沒有虧負到
[00:04:35.780 --> 00:04:38.780]  任何進去葡萄園工作的工人
[00:04:38.780 --> 00:04:40.780]  他的公義和信實
[00:04:42.780 --> 00:04:44.780]  園主是沒有虧負到人
[00:04:44.780 --> 00:04:47.780]  這個園主是比喻我們的天父
[00:04:47.780 --> 00:04:50.780]  他的救恩對所有人都是一樣
[00:04:50.780 --> 00:04:52.780]  只要願意接受
[00:04:52.780 --> 00:04:54.780]  就可以得到同樣的恩典
[00:04:54.780 --> 00:04:57.780]  只要願意進入葡萄園去工作
[00:04:57.780 --> 00:04:59.780]  無論在什麼時間
[00:04:59.780 --> 00:05:01.780]  園主都會僱用他們
