
[00:00:00.000 --> 00:00:03.640]  所以這位姐妹在今天的「猜拳」的日子裡
[00:00:03.640 --> 00:00:06.640]  很想跟大家分享一段
[00:00:06.640 --> 00:00:10.120]  可以說是在「知得教」的「猜拳」日子裡
[00:00:10.120 --> 00:00:12.000]  一段很重要的經文
[00:00:12.000 --> 00:00:17.640]  亦是彼得個人經歷的一個重要時刻
[00:00:17.640 --> 00:00:21.760]  這段經文是在「拳道行展」第十章
[00:00:21.760 --> 00:00:24.000]  這段經文是正在到
[00:00:24.000 --> 00:00:27.520]  彼得一個外邦的白宣長
[00:00:27.520 --> 00:00:30.400]  叫做「邦尼人傳福音」的時刻
[00:00:30.400 --> 00:00:32.680]  你知道這段經文有多重要
[00:00:32.680 --> 00:00:34.120]  他們就要明白
[00:00:34.120 --> 00:00:35.960]  當時的猶太人
[00:00:35.960 --> 00:00:40.560]  只認為他們自己才是神的子民
[00:00:40.560 --> 00:00:43.840]  只有猶太人才是神的子民
[00:00:43.840 --> 00:00:46.360]  外邦人就沒有分別
[00:00:46.360 --> 00:00:51.120]  所以他們一向只向自己人傳福音
[00:00:51.120 --> 00:00:54.400]  這個「救恩」好像與外邦人無關
[00:00:54.400 --> 00:00:55.440]  或者你會記得
[00:00:55.440 --> 00:01:01.320]  其實也不是的,彼得曾經在「創意」裡
[00:01:01.320 --> 00:01:04.400]  埃及阿伯的「黑客戒心」傳福音
[00:01:04.400 --> 00:01:05.840]  但可以告訴你
[00:01:05.840 --> 00:01:07.280]  當時的日子裡
[00:01:07.280 --> 00:01:11.680]  只是一個非常特殊、例外的抗衡
[00:01:11.680 --> 00:01:14.440]  大部分的猶太人都不是這樣想的
[00:01:14.440 --> 00:01:18.040]  他們都不覺得需要向外邦人傳福音
[00:01:18.040 --> 00:01:22.240]  如果彼得或者這些洋撒冷的使徒
[00:01:22.240 --> 00:01:24.000]  甚至大部分的猶太人
[00:01:24.000 --> 00:01:25.560]  都是這樣想的時候
[00:01:25.560 --> 00:01:28.400]  我也不難想像
[00:01:28.400 --> 00:01:31.040]  這個福音一定沒有只是由意識力
[00:01:31.040 --> 00:01:37.200]  就不會來自外邦人或萬族的身上
[00:01:37.200 --> 00:01:40.880]  我們也未必有機會聽完這個福音
[00:01:40.880 --> 00:01:45.080]  不過其實神使用了多利諾一家
[00:01:45.080 --> 00:01:51.800]  來幫助彼得打破了一些創意的救恩觀
[00:01:51.800 --> 00:01:55.600]  以及把這個傳福音送給了一些尊嚴
[00:01:55.600 --> 00:01:59.320]  導致福音可以得到突破
[00:01:59.320 --> 00:02:01.920]  可以真正傳到萬國萬民
[00:02:01.920 --> 00:02:06.080]  今天我們會重溫這一段聖經
[00:02:06.080 --> 00:02:08.880]  將專點放在彼得身上
[00:02:08.880 --> 00:02:12.320]  我們看看彼得經歷了什麼突破
[00:02:12.320 --> 00:02:16.920]  而這些突破又帶給我們一些提醒和幫助
[00:02:16.920 --> 00:02:18.680]  因為經歷太長
