
[00:00:00.000 --> 00:00:02.000]  大英師妹早晨
[00:00:02.000 --> 00:00:06.000]  今日同大家繼續分享《秘一前書》
[00:00:06.000 --> 00:00:10.000]  我們來到結尾的大段落
[00:00:10.000 --> 00:00:13.000]  如果大家有聽過我們早前
[00:00:13.000 --> 00:00:16.000]  有這麼多堂的經文
[00:00:16.000 --> 00:00:21.000]  你看見前文我們由第一章到第二章十節
[00:00:21.000 --> 00:00:24.000]  其實這裏讓我們重新思考
[00:00:24.000 --> 00:00:26.000]  教會的本質
[00:00:26.000 --> 00:00:28.000]  我們作為神的兒女
[00:00:28.000 --> 00:00:31.000]  是一個很重要的身份
[00:00:31.000 --> 00:00:35.000]  我們要明白我們得著這個救恩
[00:00:35.000 --> 00:00:39.000]  是上帝藉著祂的兒子耶穌基督出死入生
[00:00:39.000 --> 00:00:41.000]  給我們一個復活的新的生命
[00:00:41.000 --> 00:00:45.000]  而裏頭的含意帶著也是一個使命
[00:00:45.000 --> 00:00:47.000]  今日我們成為君尊的祭司
[00:00:47.000 --> 00:00:48.000]  成為聖的角度
[00:00:48.000 --> 00:00:50.000]  成為屬神的子民
[00:00:50.000 --> 00:00:53.000]  就是要讓這個黑暗的世界
[00:00:53.000 --> 00:00:55.000]  仍有很多迷失的人
[00:00:55.000 --> 00:00:58.000]  被我們的品行見證
[00:00:58.000 --> 00:01:00.000]  我們的行事為人
[00:01:00.000 --> 00:01:04.000]  將他們領進榮耀光明的角度裏面
[00:01:04.000 --> 00:01:06.000]  而在第二章十一節開始
[00:01:06.000 --> 00:01:08.000]  去到四章十一節
[00:01:08.000 --> 00:01:11.000]  上文給我們看見一個大的段落裏面
[00:01:11.000 --> 00:01:13.000]  就是基督徒在一個敵視的社會裏面
[00:01:13.000 --> 00:01:16.000]  我們應該怎樣正直的生活
[00:01:16.000 --> 00:01:18.000]  這個都是很重要的
[00:01:18.000 --> 00:01:22.000]  今日我們是面對同樣的
[00:01:22.000 --> 00:01:25.000]  在一個不信的世界
[00:01:25.000 --> 00:01:27.000]  我們是入世但不熟世
[00:01:27.000 --> 00:01:33.000]  我們要有基督徒那種正直的為人
[00:01:33.000 --> 00:01:34.000]  這種的生命
[00:01:34.000 --> 00:01:35.000]  這個很重要
[00:01:35.000 --> 00:01:38.000]  而我們今日本會進入一個
[00:01:38.000 --> 00:01:40.000]  今天我們講到的經文
[00:01:40.000 --> 00:01:44.000]  由四章十二節到十九節
[00:01:44.000 --> 00:01:47.000]  但這個段落是去到結尾結束的
[00:01:47.000 --> 00:01:50.000]  是針對當下的迫害
[00:01:50.000 --> 00:01:52.000]  基督徒包括領袖
[00:01:52.000 --> 00:01:54.000]  我們應該怎樣去面對呢
[00:01:54.000 --> 00:01:56.000]  這個很值得我們去思考
[00:01:56.000 --> 00:01:57.000]  如果我們今天
[00:01:57.000 --> 00:02:00.000]  我們在這個真的彎曲撥某的世代
[00:02:00.000 --> 00:02:04.000]  亦都是充滿著很多的不確定的因素
[00:02:04.000 --> 00:02:07.000]  在整個世界的這個大環境裏面
[00:02:07.000 --> 00:02:11.000]  其實普世仍然有很多忠心
[00:02:11.000 --> 00:02:13.000]  跟隨上帝的兒女
[00:02:13.000 --> 00:02:16.000]  他們在不同的國家地方
[00:02:16.000 --> 00:02:19.000]  都是被受迫害的
[00:02:19.000 --> 00:02:21.000]  所以我們都要有一個了解
[00:02:21.000 --> 00:02:25.000]  好 我們今天先來一個簡單的禱告開始
[00:02:25.000 --> 00:02:29.000]  天父我們祈求您的靈親自來指教
[00:02:29.000 --> 00:02:33.000]  您的聖言藉著聖靈的光照
[00:02:33.000 --> 00:02:36.000]  亦都給我們心裏頭是與主相遇
[00:02:36.000 --> 00:02:39.000]  做一樣講的聽的我們同感一靈
[00:02:39.000 --> 00:02:41.000]  同有這個謙卑受教的心
[00:02:41.000 --> 00:02:44.000]  讓我們只不是聽聽道就算
[00:02:44.000 --> 00:02:45.000]  我們要立志
[00:02:45.000 --> 00:02:47.000]  我們生命要有根生改變
[00:02:47.000 --> 00:02:50.000]  我們要在這個時代更加需要活出
[00:02:50.000 --> 00:02:53.000]  作為一個使命人生的你的門徒
[00:02:53.000 --> 00:02:55.000]  應該是在世如何生活
[00:02:55.000 --> 00:02:56.000]  我們多謝主
[00:02:56.000 --> 00:02:57.000]  你施予口恩
[00:02:57.000 --> 00:03:00.000]  代我們每一個同心合意祈禱
[00:03:00.000 --> 00:03:02.000]  奉主名求 阿們
[00:03:02.000 --> 00:03:05.000]  好 我們先來讀這段經文的開始
[00:03:05.000 --> 00:03:07.000]  我們作為一個神的兒女
[00:03:07.000 --> 00:03:10.000]  我們怎樣面對這個世上的苦難呢
