
[00:00:00.000 --> 00:00:03.800]  讀一節聖經在約翰一書第五章第四節
[00:00:03.800 --> 00:00:05.600]  只有一節的聖經我們一同來唸
[00:00:05.600 --> 00:00:06.600]  來
[00:00:06.600 --> 00:00:10.400]  因為凡從神生的就勝過世界
[00:00:10.400 --> 00:00:14.200]  使我們勝了世界的就是我們的信心
[00:00:14.200 --> 00:00:16.400]  我們就讀到這裡
[00:00:16.400 --> 00:00:22.200]  第二節今天我們真的面對一個充滿動盪的世代
[00:00:22.200 --> 00:00:29.200]  尾巴之間的衝突不但是重新揭開了世紀以來的無解的難題
[00:00:29.200 --> 00:00:33.000]  而且帶來全世界一種撕裂不是嗎
[00:00:33.000 --> 00:00:36.400]  到處充滿了仇恨的聲音
[00:00:36.400 --> 00:00:43.200]  世界的經濟危機持續的延伸一點沒有好轉的跡象
[00:00:43.200 --> 00:00:46.800]  美國即將面對明年的大選
[00:00:46.800 --> 00:00:53.600]  無論是民主黨共和黨都面對的本身內部許多的危機
[00:00:53.600 --> 00:00:57.600]  明年的選情是難以預測
[00:00:57.600 --> 00:01:02.300]  當我們看見我們周圍環境這一切的景象的時候
[00:01:02.300 --> 00:01:05.000]  我就想到中國的一句成語
[00:01:05.000 --> 00:01:07.700]  叫做危機四伏
[00:01:07.700 --> 00:01:12.900]  我們今天就處在一個危機四伏的環境
[00:01:12.900 --> 00:01:14.400]  在這樣一種時刻
[00:01:14.400 --> 00:01:20.700]  我們很容易看環境心中充滿了恐慌
[00:01:20.700 --> 00:01:26.800]  我們也很容易選邊站心中就充滿了憤怒
[00:01:26.800 --> 00:01:31.500]  但事實上聖經很清楚地告訴我們做基督徒的人
[00:01:31.500 --> 00:01:34.400]  跟著後書第五章第七節
[00:01:34.400 --> 00:01:37.700]  因為我們行事為人是怎麼樣
[00:01:37.700 --> 00:01:42.200]  憑著信心不是憑著眼見
[00:01:42.200 --> 00:01:46.200]  這個世界上的人他們不能夠憑信心
[00:01:46.200 --> 00:01:51.700]  因為他們根本沒有任何可以支持他們信心的根基
[00:01:51.700 --> 00:01:54.300]  所以他們只能夠憑眼見
[00:01:54.300 --> 00:01:56.300]  但做一個基督徒
[00:01:56.300 --> 00:02:01.000]  我們的信心是有確實的對象
[00:02:01.000 --> 00:02:03.400]  我們信心的對象
[00:02:03.400 --> 00:02:08.800]  就是這位坐在寶座上永遠掌權的人
[00:02:08.800 --> 00:02:12.800]  所以我們的信心是有根有基的
[00:02:12.800 --> 00:02:17.100]  跟你們說我們信心有根有基
[00:02:17.100 --> 00:02:18.700]  這為什麼做基督徒的人
[00:02:18.700 --> 00:02:23.900]  我們可以不被這個世界的環境所影響
[00:02:23.900 --> 00:02:27.500]  因為我們的確能夠看見在這環境之上
[00:02:27.500 --> 00:02:30.500]  那個掌權的組合
[00:02:30.500 --> 00:02:33.600]  事實上剛才我們讀的聖經約翰一書五章四節
[00:02:33.600 --> 00:02:35.000]  很清楚告訴我們
[00:02:35.000 --> 00:02:40.200]  使我們勝過世界的就是我們的信心
[00:02:40.200 --> 00:02:44.400]  所以今天當我們面對這個充滿動盪的世代的時候
[00:02:44.400 --> 00:02:49.800]  其實我們一點不需要驚慌也不需要恐懼
[00:02:49.800 --> 00:02:54.800]  反而很重要的是要憑著信心來依靠神
[00:02:54.800 --> 00:02:59.100]  我們才能夠勝過這個動盪的環境
[00:02:59.100 --> 00:03:03.200]  那你說我們要怎麼樣憑信心來面對
[00:03:03.200 --> 00:03:06.700]  現今動盪的世代呢
[00:03:06.700 --> 00:03:08.500]  今天早上從三方面跟大家分享
[00:03:08.500 --> 00:03:12.700]  第一個 當轉眼仰望耶穌
[00:03:12.700 --> 00:03:17.200]  跟你們說當轉眼仰望耶穌
[00:03:17.200 --> 00:03:19.900]  越是在動盪不安的世代
[00:03:19.900 --> 00:03:22.700]  我們越是要將我們的眼目
[00:03:22.700 --> 00:03:26.500]  轉移到主耶穌基督的身上
[00:03:26.500 --> 00:03:30.100]  先不來說第十三章第八節告訴我們
[00:03:30.100 --> 00:03:34.400]  耶穌基督昨日今日直到永遠是怎麼樣
[00:03:34.400 --> 00:03:38.100]  是一樣的 他永不改變
[00:03:38.100 --> 00:03:41.000]  我還記得在我們領袖高峰特會的時候
[00:03:41.000 --> 00:03:45.900]  Dick Eastman在第一堂的信息就提醒我們
[00:03:45.900 --> 00:03:48.600]  無論世界環境怎麼樣改變
[00:03:48.600 --> 00:03:50.300]  我們一定要將我們的眼目
[00:03:50.300 --> 00:03:54.100]  定睛在耶穌基督身上
[00:03:54.100 --> 00:03:57.700]  因為我們的信仰是超越一切政治
[00:03:57.700 --> 00:04:00.300]  是超越一切的種族
[00:04:00.300 --> 00:04:04.400]  是超越世界上一切環境上的改變
[00:04:04.400 --> 00:04:08.100]  只有當我們轉眼來仰望耶穌的時候
[00:04:08.100 --> 00:04:10.800]  我們才能夠在這個動盪的世代
[00:04:10.800 --> 00:04:14.300]  知道當如何行
