
[00:00:00.000 --> 00:00:02.620]  那麼今天我們繼續和大家分享的是什麼呢?
[00:00:02.620 --> 00:00:06.440]  如何能夠成爲一個合乎神心意的教會?
[00:00:06.440 --> 00:00:09.960]  我很深深相信,一個合乎神心意的教會
[00:00:09.960 --> 00:00:12.840]  是一個能夠胸懷普世的教會
[00:00:12.840 --> 00:00:17.640]  問題就來了,當然那個胸懷普世是很大的嘛
[00:00:17.640 --> 00:00:20.520]  是不是啊?胸懷普世,開玩笑的
[00:00:20.520 --> 00:00:23.160]  是一個很偉大的志向來的
[00:00:23.160 --> 00:00:25.920]  我相信不是很多人
[00:00:25.920 --> 00:00:28.960]  會有這樣的心智
[00:00:28.960 --> 00:00:30.760]  就算是神的教會也好
[00:00:30.760 --> 00:00:33.640]  大大聲地胸懷普世
[00:00:33.640 --> 00:00:37.320]  但很多時候,是口號多歸實際
[00:00:37.320 --> 00:00:40.120]  事實上,當我們看回聖經的時候
[00:00:40.120 --> 00:00:42.380]  就算是耶穌基督
[00:00:42.380 --> 00:00:45.620]  親自挑選的那些門徒
[00:00:45.620 --> 00:00:49.160]  他們都沒有這樣的心胸
[00:00:49.160 --> 00:00:53.040]  當我們看回聖經的時候,耶穌從水裏復活
[00:00:53.040 --> 00:00:55.760]  和這羣門徒生活了四十天
[00:00:55.760 --> 00:00:58.940]  然後才昇天的,大家知道聖經裏面有故事
[00:00:59.060 --> 00:01:01.160]  哇,耶穌從水裏復活
[00:01:01.160 --> 00:01:04.140]  這個是不簡單的一個神蹟
[00:01:04.140 --> 00:01:05.880]  耶穌一定要做些什麼
[00:01:05.880 --> 00:01:09.680]  在這些時候,這羣門徒和祂一路相處
[00:01:09.680 --> 00:01:12.380]  一路聊天,多瞭解天國裏面的事
[00:01:12.380 --> 00:01:14.380]  但到了耶穌快要昇天了
[00:01:14.380 --> 00:01:19.320]  似乎這羣門徒都未能掌握到耶穌的心意
[00:01:19.320 --> 00:01:21.320]  最後一次,當他們在最短的時間
[00:01:21.320 --> 00:01:22.860]  他們問耶穌一個問題
[00:01:23.760 --> 00:01:29.760]  他說,主啊,禰是不是要在這個時候恢復以色列國的主權呢?
[00:01:29.760 --> 00:01:34.360]  耶穌對他們說,那個時間和日期
[00:01:34.360 --> 00:01:38.680]  是我的父親憑着自己的權並定下的
[00:01:38.680 --> 00:01:40.280]  不是你們應該知道的
[00:01:40.280 --> 00:01:41.460]  第八節
[00:01:41.460 --> 00:01:45.200]  「但聖靈降臨在你們的身上
[00:01:45.200 --> 00:01:46.600]  你們就被得着能力
[00:01:46.600 --> 00:01:49.160]  便要在耶路撒冷,猶太全地
[00:01:49.160 --> 00:01:52.880]  和撒瑪利亞,直到地結」
[00:01:53.440 --> 00:01:55.440]  是做我的見證
[00:01:55.440 --> 00:01:58.920]  耶穌復活了四十天了
[00:01:58.920 --> 00:02:02.280]  四十天裏面不斷和門徒說天國的事
[00:02:02.280 --> 00:02:04.280]  但到了耶穌臨昇天
[00:02:04.280 --> 00:02:07.040]  這羣門徒的注意力
[00:02:07.040 --> 00:02:11.360]  他們的目光仍然只是想想
[00:02:11.360 --> 00:02:16.360]  耶穌在什麼時候會光復我們的祖國
[00:02:16.360 --> 00:02:20.640]  讓我們能夠脫離羅馬人的統治
[00:02:21.640 --> 00:02:24.440]  當然,老老實實,就算是這樣的想法也好
[00:02:24.440 --> 00:02:25.720]  也很偉大
[00:02:25.720 --> 00:02:27.720]  爲什麼?這羣人是什麼人?
[00:02:27.720 --> 00:02:29.040]  這羣是漁夫而已
[00:02:29.040 --> 00:02:31.040]  打魚佬,很多都是
[00:02:31.040 --> 00:02:32.360]  這羣人是什麼人?
[00:02:32.360 --> 00:02:34.760]  稅吏,那些人是看不起的人
[00:02:34.760 --> 00:02:36.320]  稅吏是沒有地位的
[00:02:36.320 --> 00:02:38.720]  他們能夠有這樣的想法
[00:02:38.720 --> 00:02:40.720]  其實胸襟都挺大的
[00:02:40.720 --> 00:02:42.720]  都不簡單的了
[00:02:42.720 --> 00:02:45.360]  但這並不是耶穌的心意
[00:02:45.360 --> 00:02:47.360]  這並不是耶穌想見到的
[00:02:47.360 --> 00:02:49.360]  因爲這羣人
[00:02:49.360 --> 00:02:51.120]  耶穌在手上挑選的門徒
[00:02:51.120 --> 00:02:53.840]  仍然只是將他們的眼光
[00:02:53.840 --> 00:02:57.400]  放在自己國家民族的苦難上
[00:02:57.400 --> 00:02:59.400]  雖然我剛纔說的一介平民
[00:02:59.400 --> 00:03:01.400]  已經很難得
[00:03:01.400 --> 00:03:04.680]  但當耶穌給他們的答案的時候
