
[00:00:00.000 --> 00:00:03.640]  我們今天在美國的社會當中
[00:00:03.640 --> 00:00:07.400]  我們發覺好像沒有當時
[00:00:07.400 --> 00:00:11.080]  彼得書信在初期教會的時候
[00:00:11.080 --> 00:00:14.720]  所面臨的那種壓力和逼迫
[00:00:14.720 --> 00:00:18.240]  但其實心想再思想的時候
[00:00:18.240 --> 00:00:23.400]  我們發覺這種逼迫是更加多方面的
[00:00:23.400 --> 00:00:26.200]  因爲不單止是有政治上面的
[00:00:26.200 --> 00:00:28.600]  也有很多這些媒體
[00:00:28.600 --> 00:00:34.280]  這些文化 這些各式各樣的哲學哲理
[00:00:34.280 --> 00:00:38.000]  在周圍環繞着我們
[00:00:38.000 --> 00:00:42.160]  伴我們的腳 左右我們的信仰
[00:00:42.160 --> 00:00:46.920]  或者有時會令我們的心靈甚至靈性墜落
[00:00:46.920 --> 00:00:50.480]  當時彼得勸勉初期教會的弟兄姊妹
[00:00:50.480 --> 00:00:53.000]  在受苦當中堅韌
[00:00:53.000 --> 00:00:55.320]  其實今天我們也應該這樣預備我們的心
[00:00:55.320 --> 00:00:59.480]  來面對這些文化的爭戰 政治的壓力
[00:00:59.480 --> 00:01:01.680]  不同的價值觀給我們的挑戰
[00:01:01.680 --> 00:01:06.440]  和在靈性上受敵時的騷擾攻擊
[00:01:06.440 --> 00:01:09.400]  但我們感謝主 他是那位德性的主
[00:01:09.400 --> 00:01:11.680]  當時教會面對這些一切
[00:01:11.680 --> 00:01:14.720]  來信服神 得着祂的祝福
[00:01:14.720 --> 00:01:18.160]  今天我們已經在美國的時候
[00:01:18.160 --> 00:01:20.560]  基督教不是主流的宗教
[00:01:20.560 --> 00:01:24.080]  漸漸基督教的信仰也被邊緣化
[00:01:24.080 --> 00:01:26.840]  我們應該預備好心靈去面對
[00:01:26.840 --> 00:01:29.920]  無論我們的環境 我們的社區
[00:01:29.920 --> 00:01:34.000]  我們的信仰的挑戰是越來越真實的
[00:01:34.000 --> 00:01:40.440]  彼得在前兩章講到我們一羣屬神的子民
[00:01:40.440 --> 00:01:43.120]  我們有天上永恆的盼望
[00:01:43.120 --> 00:01:46.640]  我們每一個都是屬天的祭司
[00:01:46.640 --> 00:01:48.960]  我們更加是天上的國民
[00:01:48.960 --> 00:01:53.520]  在我們的地上爲神做見證
[00:01:53.520 --> 00:01:55.960]  我們有一個天上永恆的基業
[00:01:55.960 --> 00:01:59.400]  今天主席也帶出彼得前述第一章
[00:01:59.400 --> 00:02:03.080]  讓我們看見很清楚我們有天上的基業
[00:02:03.080 --> 00:02:04.040]  我們剛剛主一學
[00:02:04.040 --> 00:02:04.960]  如果大家有參加
[00:02:04.960 --> 00:02:11.240]  也講到我們如何將地上有限的年日
[00:02:11.240 --> 00:02:13.160]  我們有一世
[00:02:13.160 --> 00:02:16.640]  我們努力爲天上的財寶積聚
[00:02:16.640 --> 00:02:19.640]  結出屬靈永恆的果子
[00:02:19.640 --> 00:02:22.720]  所以這裏也讓我們看見
[00:02:22.720 --> 00:02:24.280]  彼得勸勉我們
[00:02:24.280 --> 00:02:28.360]  在地上我們如何做一個好的公民
[00:02:28.360 --> 00:02:30.720]  以至我們信服在上面的
[00:02:30.720 --> 00:02:34.520]  以至我們能夠在地上生活的時候
[00:02:34.520 --> 00:02:39.200]  反映出我們天上基督徒的價值觀和見證
[00:02:39.200 --> 00:02:43.560]  上一次和大家分享的是主僕的關係
[00:02:43.560 --> 00:02:49.680]  提醒我們作爲在地上信服在位的
[00:02:49.680 --> 00:02:54.960]  不僅是支持信服的主人
[00:02:54.960 --> 00:02:57.240]  或者在我們今天工作的上司
[00:02:57.240 --> 00:02:59.360]  或者在不同的人際關係當中
[00:02:59.360 --> 00:03:00.840]  我們如何彼此信服
[00:03:00.840 --> 00:03:03.880]  大家神擺在不同的角色
[00:03:03.880 --> 00:03:06.800]  以至我們能夠像耶穌基督一樣
[00:03:06.800 --> 00:03:08.560]  一個受苦的僕人
[00:03:08.560 --> 00:03:09.760]  一種見證
[00:03:09.760 --> 00:03:13.440]  和一種屬靈的生命力的影響
[00:03:13.440 --> 00:03:15.400]  所以第二章完結後
[00:03:15.400 --> 00:03:20.120]  到了第三章彼得進入另一個主題
[00:03:20.120 --> 00:03:22.640]  但是其實是連接上文的
[00:03:22.640 --> 00:03:26.400]  因爲上面說到信服在上位的
[00:03:26.400 --> 00:03:30.160]  信服我們周圍環境工作的崗位
[00:03:30.160 --> 00:03:33.400]  甚至教會里侍奉的崗位
[00:03:33.400 --> 00:03:36.280]  但是我們看見這裏再進一步說到
[00:03:36.280 --> 00:03:39.240]  在家庭裏面
[00:03:39.240 --> 00:03:42.200]  妻子如何信服丈夫
[00:03:42.200 --> 00:03:44.880]  丈夫如何敬重他的妻子
[00:03:44.880 --> 00:03:48.240]  以至他們能夠有一個和諧的家庭生活
[00:03:48.240 --> 00:03:50.960]  有一個美好的夫妻的見證
[00:03:50.960 --> 00:03:52.920]  這個特別重要的就是
[00:03:52.920 --> 00:03:55.360]  來到我們今天來說更加是
[00:03:55.360 --> 00:03:57.280]  因爲在以前的那個世代
[00:03:57.280 --> 00:03:59.400]  或者初期教會的時代
[00:03:59.400 --> 00:04:03.000]  是很少有這些優妻離婚的事情
[00:04:03.000 --> 00:04:05.120]  或者是有很具體的
[00:04:05.120 --> 00:04:08.560]  比如摩西律法等等的監管
[00:04:08.560 --> 00:04:11.040]  當然整個人類歷史我們發覺都是敗壞的
[00:04:11.040 --> 00:04:13.320]  所以很多這些道德的問題
[00:04:13.320 --> 00:04:16.840]  男女的關係、夫妻的破裂、家庭的破碎
[00:04:16.840 --> 00:04:19.880]  是不斷髮生在人類的歷史當中
[00:04:19.880 --> 00:04:22.480]  但是對於我們今天來說是更加的明顯的
[00:04:22.480 --> 00:04:24.800]  如果我們說我們要在這個地上
[00:04:24.800 --> 00:04:27.080]  要實踐神給我們的使命
[00:04:27.080 --> 00:04:29.160]  要活出我們天上國民
[00:04:29.160 --> 00:04:30.960]  在地上應該有的見證
[00:04:30.960 --> 00:04:33.040]  這一環是不可以少的
