
[00:00:00.000 --> 00:00:02.920]  我先想問大家一個很簡單的問題
[00:00:02.920 --> 00:00:05.040]  灣仔的英文是什麼?
[00:00:05.040 --> 00:00:06.480]  灣仔,是不是?
[00:00:06.480 --> 00:00:07.560]  那我想考考你
[00:00:07.560 --> 00:00:10.440]  你知不知道銅鑼灣的英文是什麼?
[00:00:10.440 --> 00:00:12.240]  為什麼不是銅鑼灣呢?
[00:00:12.240 --> 00:00:15.440]  其實有一條銅鑼灣路啊,是不是?
[00:00:15.440 --> 00:00:17.720]  用中文和英文讀這個名字的時候
[00:00:17.720 --> 00:00:19.920]  其實你會想起不同的東西
[00:00:19.920 --> 00:00:21.440]  如果你真的認真去思考
[00:00:21.440 --> 00:00:22.160]  你就會問
[00:00:22.160 --> 00:00:23.120]  在銅鑼灣
[00:00:23.120 --> 00:00:26.320]  究竟銅鑼灣哪個地方像銅鑼啊?
[00:00:26.320 --> 00:00:27.200]  是不是?
[00:00:27.200 --> 00:00:30.240]  但Crossway的時候用英文去思考
[00:00:30.240 --> 00:00:32.120]  你就會問一個問題
[00:00:32.120 --> 00:00:35.200]  究竟銅鑼灣哪裡是Crossway呢?
[00:00:35.200 --> 00:00:37.160]  你知道什麼叫Crossway嗎?
[00:00:37.160 --> 00:00:41.680]  其實Crossway就是石堤和牆堤的意思
[00:00:41.680 --> 00:00:42.960]  但我想告訴你
[00:00:42.960 --> 00:00:45.120]  維多利亞整個公園固然是填出來的
[00:00:45.120 --> 00:00:47.280]  其實今天中央圖書館這個洞
[00:00:47.280 --> 00:00:48.880]  那時候也是填出來的
[00:00:48.880 --> 00:00:51.840]  原來那時候從銅鑼灣這邊走到天后那邊
[00:00:51.840 --> 00:00:54.360]  一定要繞進大坑
[00:00:54.360 --> 00:00:57.360]  才能過到今天白駱伯庫那邊
[00:00:57.360 --> 00:01:00.480]  於是乎在英國殖民地的時代
[00:01:00.480 --> 00:01:03.200]  英國政府是1883年
[00:01:03.200 --> 00:01:04.880]  就建了一個石堤
[00:01:04.880 --> 00:01:06.200]  一個牆堤
[00:01:06.200 --> 00:01:09.800]  那個石堤牆堤就是Crossway
[00:01:09.800 --> 00:01:12.960]  請問Crossway的音譯是什麼?
[00:01:12.960 --> 00:01:14.360]  就是高士威
[00:01:14.360 --> 00:01:16.240]  你知道那條高士威在哪裡嗎?
[00:01:16.240 --> 00:01:18.200]  就是中央圖書館外面那條
[00:01:18.200 --> 00:01:19.600]  所以我們鼓勵一下
[00:01:19.600 --> 00:01:22.440]  我們裡面的丈夫
[00:01:22.440 --> 00:01:24.760]  一會兒完了崇拜就可以牽著太太
[00:01:24.760 --> 00:01:30.920]  就說我們今天一會兒一起去走一走牆堤好不好
[00:01:30.920 --> 00:01:34.400]  其實就是走那條電車路高士威那裡
[00:01:34.400 --> 00:01:37.280]  你用中文和英文去讀這個名字的時候
[00:01:37.280 --> 00:01:38.800]  原來有不同的理解
[00:01:38.800 --> 00:01:39.640]  所以今天的講題
[00:01:39.640 --> 00:01:42.320]  我一會兒也會用希伯來文跟大家讀一讀
[00:01:42.320 --> 00:01:45.240]  因為其實本身的中文意思
[00:01:45.240 --> 00:01:47.800]  或者希伯來文的用字和音譯的意思
[00:01:47.800 --> 00:01:51.960]  是遠遠比中文的理解豐富
[00:01:51.960 --> 00:01:52.800]  無論如何
[00:01:52.800 --> 00:01:55.800]  我們今天的講道有一些特別安排
[00:01:55.800 --> 00:01:58.800]  因為我們今天的回應詩是不會唱的
[00:01:58.800 --> 00:02:01.200]  不過一會兒會給大家聽和看
[00:02:01.200 --> 00:02:02.720]  並且作為我們的祈禱
[00:02:02.720 --> 00:02:04.520]  所以我們很感謝今天的敬拜隊
[00:02:04.520 --> 00:02:08.560]  謝謝我們的樂手可以暫時到台下
[00:02:08.560 --> 00:02:11.000]  過一季我們說明白主的心
[00:02:11.000 --> 00:02:13.680]  其實過去已經有不同的目者
[00:02:13.680 --> 00:02:15.720]  和我們透過上帝的名字
[00:02:15.720 --> 00:02:18.000]  讓我們明白神的心意是怎樣
[00:02:18.000 --> 00:02:21.080]  大概我們從這些名字裡面反映神的屬性
[00:02:21.080 --> 00:02:23.320]  我不逐個和大家溫習
[00:02:23.320 --> 00:02:26.720]  只是和大家簡略地看一看
[00:02:26.720 --> 00:02:27.320]  無論如何
[00:02:27.320 --> 00:02:29.240]  今天神又感動我去講了一個
[00:02:29.240 --> 00:02:30.920]  大家都熟悉的名字
