
[00:00:00.000 --> 00:00:03.560]  開始一個新的講道的系列
[00:00:03.560 --> 00:00:08.000]  大家都聽到梁牧師說是人之初
[00:00:08.000 --> 00:00:10.520]  今天我想和大家
[00:00:10.520 --> 00:00:17.280]  首先從創世紀的第一章一節到第二章第三節
[00:00:17.280 --> 00:00:20.760]  去了解一個我們可以叫做創世神學
[00:00:20.760 --> 00:00:22.960]  Theology of Creation
[00:00:22.960 --> 00:00:27.840]  梁牧師在這個講道系列的指引當中提出
[00:00:27.840 --> 00:00:32.640]  今天的目標是應該放在創造的目的身上
[00:00:32.640 --> 00:00:34.720]  而不是說過程
[00:00:34.720 --> 00:00:38.200]  我想他的意思是主要是問Why?
[00:00:38.200 --> 00:00:39.400]  So what?
[00:00:39.400 --> 00:00:41.240]  為什麼神要做這個世界
[00:00:41.240 --> 00:00:42.960]  什麼重要性對我們來說
[00:00:42.960 --> 00:00:47.120]  而不只是討論神創造這個世界的步驟
[00:00:47.120 --> 00:00:48.720]  這個How的問題
[00:00:48.720 --> 00:00:51.360]  的確在創世紀第一章的研究
[00:00:51.360 --> 00:00:55.080]  很多時候都是集中於過程的討論
[00:00:55.080 --> 00:00:57.560]  大家可能都聽過不同解釋
[00:00:57.560 --> 00:00:59.080]  六日創造的理論
[00:00:59.080 --> 00:01:02.880]  譬如說六日所指的究竟是多長時間呢?
[00:01:02.880 --> 00:01:06.040]  是6個24小時的地球日?
[00:01:06.040 --> 00:01:08.200]  是6個漫長的階段?
[00:01:08.200 --> 00:01:11.280]  還是只是一個文學的技巧
[00:01:11.280 --> 00:01:13.880]  是一個史詩式的文學關卡
[00:01:13.880 --> 00:01:17.720]  來形容好像有6個不同層次的動畫呢?
[00:01:17.720 --> 00:01:21.000]  如果大家有用過Animation software
[00:01:21.000 --> 00:01:24.120]  一層一層一層疊上去的故事
[00:01:25.600 --> 00:01:28.720]  另外為什麼我們經常會討論過程呢?
[00:01:28.720 --> 00:01:31.960]  原因就是有一些叫做協和主義者
[00:01:31.960 --> 00:01:33.520]  這個Concordes
[00:01:33.520 --> 00:01:37.000]  他們相信聖經的真理和科學
[00:01:37.000 --> 00:01:40.720]  應該是好像兩本書一樣
[00:01:40.720 --> 00:01:41.880]  是互通的
[00:01:41.880 --> 00:01:43.480]  是殊途同歸的
[00:01:43.480 --> 00:01:46.880]  於是科學通常我們都是說過程的
