
[00:00:00.000 --> 00:00:02.000]  我想問大家一個問題,我在這裡做什麼?
[00:00:02.000 --> 00:00:05.200]  我在這裡做什麼?
[00:00:05.200 --> 00:00:08.700]  糟了,有一點思覺失調
[00:00:08.700 --> 00:00:11.500]  我想問,你在這裡做什麼?
[00:00:11.500 --> 00:00:18.200]  這個問題,我們廣東人很特別的
[00:00:18.200 --> 00:00:19.800]  我在這裡做什麼呢?
[00:00:19.800 --> 00:00:21.500]  或者你在這裡做什麼呢?
[00:00:21.500 --> 00:00:23.300]  其實可以有兩個意思的,是不是?
[00:00:23.300 --> 00:00:24.500]  你想清楚一點
[00:00:24.500 --> 00:00:27.300]  包括,我做什麼?
[00:00:27.300 --> 00:00:29.500]  我在這裡在做什麼呢?
[00:00:29.500 --> 00:00:34.500]  另外,其實也有一點在說,為什麼我在這裡做什麼?
[00:00:34.500 --> 00:00:36.500]  我為什麼會在這裡?
[00:00:36.500 --> 00:00:38.500]  我在這裡講道
[00:00:38.500 --> 00:00:40.500]  為什麼我在這裡講道?
[00:00:40.500 --> 00:00:42.500]  馬sir請我
[00:00:42.500 --> 00:00:44.500]  那麼你在這裡做什麼?
[00:00:44.500 --> 00:00:46.500]  聽道
[00:00:46.500 --> 00:00:48.500]  為什麼你在這裡聽道?
[00:00:48.500 --> 00:00:50.500]  我有空就沒事做
[00:00:50.500 --> 00:00:53.500]  不是的,這些都是我說的
[00:00:53.500 --> 00:00:55.500]  或者是牧師逼我的
[00:00:55.500 --> 00:00:58.500]  這個問題很特別的
[00:00:58.500 --> 00:01:00.500]  我在這裡做什麼?
[00:01:00.500 --> 00:01:05.500]  對於這個可以做why又可以做what的一個問題
[00:01:05.500 --> 00:01:10.500]  不知道此時此刻大家會想的是什麼
[00:01:10.500 --> 00:01:12.500]  我記得大概五年之前
[00:01:12.500 --> 00:01:16.500]  2018年的夏天一個晚上
[00:01:16.500 --> 00:01:18.500]  我一個人躺在床上
[00:01:18.500 --> 00:01:20.500]  我問同一個問題
[00:01:20.500 --> 00:01:22.500]  我在這裡做什麼?
[00:01:22.500 --> 00:01:24.500]  我在這裡做什麼?
[00:01:24.500 --> 00:01:26.500]  當時我正幻想了
[00:01:26.500 --> 00:01:28.500]  就是嚴重的抑鬱症
[00:01:28.500 --> 00:01:30.500]  我什麼都做不了
[00:01:30.500 --> 00:01:32.500]  我是一個牧師,教會的主任牧師
[00:01:32.500 --> 00:01:34.500]  我躺在床上
[00:01:34.500 --> 00:01:36.500]  我問上帝這個問題
[00:01:36.500 --> 00:01:38.500]  我在這裡做什麼?
