
[00:00:00.000 --> 00:00:05.000]  可能大家都會猜到今天講到的內容有關哪方面
[00:00:05.000 --> 00:00:06.500]  就是彼此
[00:00:06.500 --> 00:00:12.000]  剛才唱詩已經有幾首詩講到我們彼此之間的關係
[00:00:12.000 --> 00:00:16.000]  所以今天會提到彼此的模樣
[00:00:16.000 --> 00:00:22.000]  根據有些學者的研究
[00:00:24.000 --> 00:00:31.000]  貼薩諾里加前書可能是保羅所寫給每個地方不同教會的書信的第一封
[00:00:31.000 --> 00:00:35.000]  貼薩諾里加在哪一個地方呢
[00:00:35.000 --> 00:00:39.000]  如果我們對地理有些認識 我們有些溫習
[00:00:39.000 --> 00:00:43.000]  大家記得是《仕途行傳》第十六章
[00:00:43.000 --> 00:00:47.000]  講到保羅在亞洲 即是今天的土耳其
[00:00:47.000 --> 00:00:52.000]  在亞洲第二次傳到不同地方的時候
[00:00:52.000 --> 00:00:55.000]  就來到特萊亞這個地方
[00:00:55.000 --> 00:01:01.000]  特萊亞這個地方保羅原本計劃是向北上
[00:01:01.000 --> 00:01:05.000]  但是聖經說什麼 聖靈說不要
[00:01:05.000 --> 00:01:10.000]  在異象當中他就聽到 見到
[00:01:10.000 --> 00:01:13.000]  有一個在馬其頓地方的人就跟他說
[00:01:13.000 --> 00:01:16.000]  你過來幫助我們 我們很需要幫忙
[00:01:17.000 --> 00:01:22.000]  所以保羅就在特萊亞這邊就坐船
[00:01:22.000 --> 00:01:27.000]  還有西拉 還有提摩泰 路加
[00:01:27.000 --> 00:01:31.000]  一起來到貼薩諾里加這個地方
[00:01:31.000 --> 00:01:36.000]  在當時這邊算是亞洲
[00:01:36.000 --> 00:01:41.000]  但是去到希臘 馬其頓這邊就算是歐洲
[00:01:41.000 --> 00:01:45.000]  所以他們是開始一個新的工場
[00:01:46.000 --> 00:01:49.000]  當然他們第一個地方就在菲律賓
[00:01:49.000 --> 00:01:53.000]  那裡傳福音就被猶太人迫害
[00:01:53.000 --> 00:01:59.000]  抓他們坐牢 半夜他們以頌唱
[00:01:59.000 --> 00:02:03.000]  保羅和西拉唱歌 人們都聽
[00:02:03.000 --> 00:02:07.000]  神是用一個神蹟開了監獄的門
[00:02:07.000 --> 00:02:09.000]  他們離開了菲律賓之後
[00:02:09.000 --> 00:02:12.000]  就去貼薩諾里加這個地方
[00:02:12.000 --> 00:02:16.000]  這地方傳福音又被人打 又被人趕
[00:02:16.000 --> 00:02:18.000]  猶太人不喜歡他們
[00:02:18.000 --> 00:02:21.000]  他們後來就一直下來
[00:02:21.000 --> 00:02:23.000]  到哥倫多這個地方
[00:02:23.000 --> 00:02:26.000]  所以貼薩諾里加前書就是
[00:02:26.000 --> 00:02:28.000]  保羅在哥倫多這個地方
[00:02:28.000 --> 00:02:31.000]  寫信給貼薩諾里加這個地方的教會
