
[00:00:00.000 --> 00:00:05.600]  我們的生命會經歷很多不同的起起跌跌
[00:00:05.600 --> 00:00:09.800]  我今天和大家分享的題目叫做「得時不得時」
[00:00:09.800 --> 00:00:13.300]  得時代表一些好的時機
[00:00:13.300 --> 00:00:16.000]  不得時就是一些不好的時機
[00:00:16.000 --> 00:00:19.300]  在不好的時機我們會怎樣自處呢?
[00:00:19.300 --> 00:00:25.800]  特別當我們活在一個充滿著很忙碌的生活的都市當中
[00:00:25.800 --> 00:00:30.100]  我們有時候真的覺得生命哪有時間去想呢?
[00:00:30.100 --> 00:00:34.100]  很多時候我們都說得時死就不得時生病
[00:00:34.100 --> 00:00:40.600]  寧可一有時間就去睡覺,哪會去想人生呢?
[00:00:40.600 --> 00:00:47.100]  我們也不會像前幾次我和大家說的那個台灣少女
[00:00:47.100 --> 00:00:50.800]  因為癌症小小的,在她年輕的時間
[00:00:50.800 --> 00:00:55.100]  十幾歲她就懂得來講人生的意義
[00:00:55.100 --> 00:01:00.100]  她說人生就像便便一樣,又硬又圓
[00:01:00.100 --> 00:01:04.100]  你的人生究竟是硬還是圓呢?
[00:01:04.100 --> 00:01:06.600]  所以我們看這一章聖經的時候
[00:01:06.600 --> 00:01:10.100]  我們或許都會開玩笑地說
[00:01:10.100 --> 00:01:14.100]  生有時,死有時,災中有時,不出所災中的有時
[00:01:14.100 --> 00:01:17.100]  硬有時,圓有時
[00:01:17.100 --> 00:01:20.100]  但是在我們這麼忙碌的人生當中
[00:01:20.100 --> 00:01:26.100]  我們其實要騰出一些時間來想想
[00:01:26.100 --> 00:01:28.100]  究竟我們人生的意義
[00:01:28.100 --> 00:01:30.100]  我們可能覺得花不起這樣的時間
[00:01:30.100 --> 00:01:33.100]  或者覺得不需要去想
[00:01:33.100 --> 00:01:36.100]  的確,我們真的很忙碌
[00:01:36.100 --> 00:01:39.100]  忙碌到很多電影都是這樣反映出來
[00:01:39.100 --> 00:01:41.100]  我記得少林足球有一幕
[00:01:41.100 --> 00:01:43.100]  那個三師兄這樣說
[00:01:43.100 --> 00:01:45.100]  餵,你來找我,我真的很忙
[00:01:45.100 --> 00:01:48.100]  我怎麼會沒空和你聊天呢?
[00:01:48.100 --> 00:01:50.100]  很多客人要等著我
[00:01:50.100 --> 00:01:52.100]  我還要盯著市場
[00:01:52.100 --> 00:01:55.100]  因為每秒鐘幾十萬幾十萬這樣上落
[00:01:55.100 --> 00:01:59.100]  我以後再找你,我真的很忙
[00:01:59.100 --> 00:02:00.100]  我們忙得很緊要
[00:02:00.100 --> 00:02:01.100]  忙到一個地步
[00:02:01.100 --> 00:02:04.100]  我們覺得忙其實代表著我們的價值
[00:02:04.100 --> 00:02:07.100]  因為我們覺得忙才有意義
[00:02:07.100 --> 00:02:08.100]  我們甚至會覺得
