
[00:00:00.000 --> 00:00:02.000]  感謝主,我們一起禱告
[00:00:02.000 --> 00:00:08.000]  我們在天上的父神,我們能夠來到祢的面前,都是祢自己的恩典
[00:00:08.000 --> 00:00:12.000]  也都是祢自己的愛,也都是因為祢自己的公義
[00:00:12.000 --> 00:00:16.000]  祢自己的聖潔,所以我們才能夠來到祢的面前
[00:00:16.000 --> 00:00:20.000]  所以我們知道,也中間有一個鐘堡
[00:00:20.000 --> 00:00:23.000]  就是祢自己獨生愛子,耶穌基督
[00:00:23.000 --> 00:00:25.000]  祢把祂拆到這個世界上來
[00:00:25.000 --> 00:00:28.000]  教我們因信祂,為我們所做的事情
[00:00:28.000 --> 00:00:30.000]  我們能夠來到祢的面前
[00:00:30.000 --> 00:00:32.000]  我們更感謝祢的,就是祢自己
[00:00:32.000 --> 00:00:34.000]  真的是降下聖靈來
[00:00:34.000 --> 00:00:37.000]  讓我們能夠與基督聯合
[00:00:37.000 --> 00:00:38.000]  我們謝謝祢
[00:00:38.000 --> 00:00:40.000]  我們今天早晨來到祢面前
[00:00:40.000 --> 00:00:44.000]  主我們要承認,我們人不能做什麼事情
[00:00:44.000 --> 00:00:47.000]  只有祢自己成就的,我們才能夠領受
[00:00:47.000 --> 00:00:48.000]  我們謝謝祢
[00:00:48.000 --> 00:00:51.000]  我們把這段時間都仰望在祢的手中
[00:00:51.000 --> 00:00:53.000]  願祢自己的名被高舉
[00:00:53.000 --> 00:00:55.000]  禱告奉耶穌基督的聖名
[00:00:55.000 --> 00:00:56.000]  阿們
[00:00:57.000 --> 00:01:00.000]  羅馬叔,我們這一陣子都在講聖靈
[00:01:00.000 --> 00:01:02.000]  還有與基督聯合
[00:01:02.000 --> 00:01:05.000]  那麼我覺得這是一個很重要的題目
[00:01:05.000 --> 00:01:08.000]  為什麼呢?因為我們看見這些事情之後
[00:01:08.000 --> 00:01:10.000]  我們就知道我們是從哪裡來的
[00:01:10.000 --> 00:01:12.000]  我們就知道我們在這個世界上
[00:01:12.000 --> 00:01:13.000]  我們的目的
[00:01:13.000 --> 00:01:16.000]  我們也知道我們跟神之間的關係
[00:01:16.000 --> 00:01:18.000]  常常我們聽到很多人講說
[00:01:18.000 --> 00:01:20.000]  啊,信主耶穌就是一個關係
[00:01:20.000 --> 00:01:22.000]  弟兄姊妹,那個關係是這個關係
[00:01:22.000 --> 00:01:26.000]  不是我們所講的人與人之間的這個關係
[00:01:26.000 --> 00:01:28.000]  我們常常會講說
[00:01:28.000 --> 00:01:30.000]  祢只是一個關係
[00:01:30.000 --> 00:01:33.000]  但是我們人與人之間的關係仍然是在外面
[00:01:33.000 --> 00:01:35.000]  但是當我們從聖經上面看
[00:01:35.000 --> 00:01:37.000]  我們與神之間的關係
[00:01:37.000 --> 00:01:39.000]  是在我們的裡面
[00:01:39.000 --> 00:01:40.000]  是在我們裡面
[00:01:40.000 --> 00:01:43.000]  所以我們今天早上
[00:01:43.000 --> 00:01:45.000]  接著第一節到第四節
[00:01:45.000 --> 00:01:49.000]  我們來看一下神為我們所做的事情
[00:01:49.000 --> 00:01:52.000]  那麼在第八章第一節
[00:01:52.000 --> 00:01:53.000]  祂就告訴我們說
[00:01:53.000 --> 00:01:57.000]  如今那些在基督耶穌裡的就不定罪了
[00:01:57.000 --> 00:01:58.000]  那麼在新一本
[00:01:58.000 --> 00:02:01.000]  我覺得新一本就把原文翻出來了
[00:02:01.000 --> 00:02:04.000]  祂說所以現在
[00:02:04.000 --> 00:02:06.000]  祂說所以現在
[00:02:06.000 --> 00:02:09.000]  那些在基督耶穌裡的就不定罪了
