
[00:00:00.000 --> 00:00:02.000]  我們有個祈禱
[00:00:02.000 --> 00:00:04.000]  求主祢賜恩
[00:00:04.000 --> 00:00:08.000]  讓我們在一個特殊的環境中
[00:00:08.000 --> 00:00:11.000]  對祢有所體會、有所領會
[00:00:11.000 --> 00:00:17.000]  也對我們自己的身份、使命有所醒覺
[00:00:17.000 --> 00:00:19.000]  求主賜恩幫助
[00:00:19.000 --> 00:00:21.000]  也感謝主祢的保守
[00:00:21.000 --> 00:00:23.000]  祈禱奉耶穌基督的名
[00:00:23.000 --> 00:00:25.000]  誠心在焉
[00:00:25.000 --> 00:00:30.000]  我想在當中多數的人還記得沙士
[00:00:30.000 --> 00:00:32.000]  2003年
[00:00:32.000 --> 00:00:34.000]  很突然間的
[00:00:34.000 --> 00:00:36.000]  根本我們如常生活
[00:00:36.000 --> 00:00:38.000]  好像這次一樣如常生活
[00:00:38.000 --> 00:00:40.000]  突然間就發生
[00:00:40.000 --> 00:00:42.000]  因為就在香港做一個起點
[00:00:42.000 --> 00:00:44.000]  被發現的起點
[00:00:44.000 --> 00:00:48.000]  嘩!我過了幾十年很平安的生活
[00:00:48.000 --> 00:00:50.000]  都未發生過
[00:00:50.000 --> 00:00:52.000]  但是那時候
[00:00:52.000 --> 00:00:54.000]  如果有經驗的記得
[00:00:54.000 --> 00:01:01.000]  大家的氣氛是頗高昂的
[00:01:01.000 --> 00:01:04.000]  去對應這個
[00:01:04.000 --> 00:01:06.000]  我一條心
[00:01:06.000 --> 00:01:08.000]  跟這次有點不同
[00:01:08.000 --> 00:01:11.000]  相反中國內地和台灣
[00:01:11.000 --> 00:01:13.000]  我們這個地方
[00:01:13.000 --> 00:01:15.000]  就比較亂
[00:01:15.000 --> 00:01:17.000]  亂得多一點
[00:01:17.000 --> 00:01:19.000]  但這次好像有點不同
[00:01:19.000 --> 00:01:24.000]  香港也有很多陣腳很亂的情況
[00:01:24.000 --> 00:01:29.000]  全城都去搶口罩
[00:01:29.000 --> 00:01:31.000]  戴口罩
[00:01:31.000 --> 00:01:37.000]  這些物資
[00:01:37.000 --> 00:01:39.000]  平時的儲備是不可能
[00:01:39.000 --> 00:01:41.000]  突然間應付到所有人都用的
[00:01:41.000 --> 00:01:43.000]  因為這些是醫療物資
[00:01:43.000 --> 00:01:47.000]  所以現在的用量是多了很多倍
[00:01:47.000 --> 00:01:49.000]  如果計算一下
[00:01:49.000 --> 00:01:51.000]  是一件很誇張的事
[00:01:51.000 --> 00:01:55.000]  因為威爾斯的醫護人員
[00:01:55.000 --> 00:01:57.000]  很多醫護人員不敢回家
[00:01:57.000 --> 00:01:59.000]  怕傳染到家人
[00:01:59.000 --> 00:02:03.000]  烏溪沙就給了一個地方出來
[00:02:03.000 --> 00:02:05.000]  因為沒有口罩
[00:02:05.000 --> 00:02:07.000]  就給醫護人員
[00:02:07.000 --> 00:02:09.000]  他們不想回家就在那裏住
[00:02:09.000 --> 00:02:11.000]  自我隔離
[00:02:11.000 --> 00:02:13.000]  那段時間
[00:02:13.000 --> 00:02:15.000]  我就在院務士工聯會裏面工作
[00:02:15.000 --> 00:02:19.000]  都可以說和醫療界有些關係
[00:02:19.000 --> 00:02:21.000]  每個星期日
[00:02:21.000 --> 00:02:23.000]  我都會去烏溪沙那裏
[00:02:23.000 --> 00:02:25.000]  和那些醫護人員
[00:02:25.000 --> 00:02:27.000]  一齊在星期下午
[00:02:27.000 --> 00:02:29.000]  聚眾拜
[00:02:29.000 --> 00:02:31.000]  基督徒就會在那裏
[00:02:31.000 --> 00:02:33.000]  在球場那裏
[00:02:33.000 --> 00:02:36.000]  沈祖堯、高映雯那些
[00:02:36.000 --> 00:02:38.000]  都經常到的
[00:02:38.000 --> 00:02:41.000]  所以在那裏對他們都認識了
[00:02:41.000 --> 00:02:45.000]  復活節的時候
[00:02:45.000 --> 00:02:48.000]  我忘了是復活節還是壽苦節
[00:02:48.000 --> 00:02:50.000]  好像是壽苦節
[00:02:50.000 --> 00:02:52.000]  就有一個聖餐禮
[00:02:52.000 --> 00:02:54.000]  由我主持
[00:02:54.000 --> 00:02:58.000]  我印象中覺得很誇張
[00:02:58.000 --> 00:03:00.000]  戴口罩
[00:03:00.000 --> 00:03:02.000]  就停了聖餐
[00:03:02.000 --> 00:03:04.000]  就有這個聖餐
[00:03:04.000 --> 00:03:06.000]  到聖餐的時候
[00:03:06.000 --> 00:03:08.000]  那些姑娘
[00:03:08.000 --> 00:03:10.000]  就過來擠洗手液
[00:03:10.000 --> 00:03:12.000]  在那裏擠手液
