
[00:00:00.000 --> 00:00:01.940]  各位弟兄姐妹 平安
[00:00:01.940 --> 00:00:05.820]  能夠感覺學校已經開學了
[00:00:05.820 --> 00:00:08.960]  暑假結束了 因為我看座位都坐滿了
[00:00:08.960 --> 00:00:11.380]  上一次有很多的空位
[00:00:11.380 --> 00:00:13.580]  所以有一個新的感覺
[00:00:13.580 --> 00:00:16.160]  今天我們一起來思想一個題目
[00:00:16.160 --> 00:00:19.620]  就是與零風相遇
[00:00:19.620 --> 00:00:26.800]  要打開 打開
[00:00:28.080 --> 00:00:30.280]  與零風相遇
[00:00:30.280 --> 00:00:34.220]  因為學校開學了 所以我就加了一個附題
[00:00:34.220 --> 00:00:37.400]  教育工作者的必修課
[00:00:37.400 --> 00:00:40.580]  簡單講就是老師或者教師
[00:00:40.580 --> 00:00:43.760]  必須要做的一個基本的事情
[00:00:43.760 --> 00:00:47.160]  其實我們一起思想
[00:00:47.160 --> 00:00:50.560]  在這個教育方面
[00:00:50.560 --> 00:00:54.200]  簡單講 簡單是不容易了
[00:00:54.200 --> 00:00:57.080]  但是我們粗略的簡單講
[00:00:57.080 --> 00:00:59.420]  教育是做什麼
[00:00:59.420 --> 00:01:03.100]  這可能不是用三兩分鐘
[00:01:03.100 --> 00:01:06.320]  或者今天這三十分鐘就能回答清楚的
[00:01:06.320 --> 00:01:09.460]  不過我們朝著那個方向去想
[00:01:09.460 --> 00:01:12.480]  就容易有進步
[00:01:12.480 --> 00:01:16.840]  教育是做什麼 老師是做什麼
[00:01:16.840 --> 00:01:19.700]  我曾經有機會教小孩子
[00:01:19.700 --> 00:01:22.320]  教初中學生韓國話
[00:01:22.320 --> 00:01:24.640]  韓語班是興趣班
[00:01:24.640 --> 00:01:28.220]  我就講了一件事情 我說你們如果學不好
[00:01:28.220 --> 00:01:31.060]  責任是誰 就一個一個問
[00:01:31.060 --> 00:01:34.340]  結果大部分的學生認為責任是自己
[00:01:34.340 --> 00:01:39.000]  我說你們學不好的話 責任是老師
[00:01:39.000 --> 00:01:42.060]  如果足球隊體的不好
[00:01:42.060 --> 00:01:44.640]  要換的話先換教練
[00:01:44.640 --> 00:01:45.980]  對嗎
[00:01:45.980 --> 00:01:50.300]  如果孩子你感覺他是一個沒有教育的人
[00:01:50.300 --> 00:01:53.140]  問題不是孩子 是
[00:01:54.100 --> 00:01:55.100]  家長
[00:01:55.100 --> 00:01:57.540]  加學校的老師
[00:01:57.540 --> 00:01:59.280]  學校老師是次要的
[00:01:59.280 --> 00:02:02.760]  舉一個實際的例子吧
[00:02:02.760 --> 00:02:05.020]  剛才說廣東話班有五班
[00:02:05.020 --> 00:02:08.620]  好像都順利舉行了 我不曉得有多少人參加
[00:02:08.620 --> 00:02:11.460]  等一下散會以後有機會可以多問一問
[00:02:11.460 --> 00:02:14.440]  學廣東話是非常寶貴
[00:02:14.440 --> 00:02:17.020]  非常重要的一個教育
[00:02:17.020 --> 00:02:19.600]  它有背後的世界觀
[00:02:19.600 --> 00:02:21.560]  有你豐富的知識
[00:02:21.560 --> 00:02:24.580]  有文化 有歷史 有社會
[00:02:24.580 --> 00:02:26.680]  有很多很豐富的東西
[00:02:26.680 --> 00:02:29.280]  所以你知道粵語的豐富使用
[00:02:29.280 --> 00:02:32.320]  包括粗俗的粵語 生活用的粵語
[00:02:32.320 --> 00:02:34.520]  你的人生就會很豐富
[00:02:34.520 --> 00:02:38.640]  我最近這個禮拜學了一個簡單的廣東名詞
[00:02:38.640 --> 00:02:42.000]  我看看我們大家可能有的不是
[00:02:42.000 --> 00:02:44.480]  每天講廣東話 大概有
[00:02:44.480 --> 00:02:46.520]  我學了一個叫尼滴
[00:02:46.520 --> 00:02:48.940]  尼巴的尼
[00:02:48.940 --> 00:02:51.640]  我的 你的的滴 滴式的滴
[00:02:51.640 --> 00:02:53.640]  尼滴是什麼
[00:02:53.640 --> 00:02:55.640]  奶滴
[00:02:55.640 --> 00:02:57.640]  丟奶夢
[00:02:57.640 --> 00:03:01.720]  叼米古拉吉 韓文
[00:03:01.720 --> 00:03:03.720]  廣東話叫 我反而不會講
[00:03:03.720 --> 00:03:04.840]  我家鄉話不會講
[00:03:04.840 --> 00:03:06.840]  叫這個尼丘
[00:03:06.840 --> 00:03:08.840]  叼尼丘
[00:03:08.840 --> 00:03:11.840]  滴式有
[00:03:11.840 --> 00:03:13.840]  不太好的滴式就是
[00:03:13.840 --> 00:03:15.840]  尼滴
[00:03:15.840 --> 00:03:18.840]  叼尼丘的滴式
[00:03:18.840 --> 00:03:21.840]  這背後就是這個社會的文化
[00:03:21.840 --> 00:03:23.840]  那我們每次打滴的時候
[00:03:23.840 --> 00:03:25.840]  心裡面都有一個賭博的心態
[00:03:25.840 --> 00:03:30.840]  希望遇到這個司機是很斯文很好的
[00:03:30.840 --> 00:03:32.840]  能不能遇到 能遇到
[00:03:32.840 --> 00:03:34.840]  但是我們打滴的時候
[00:03:34.840 --> 00:03:36.840]  有的時候會遇到很惡的
[00:03:36.840 --> 00:03:38.840]  很惡
[00:03:38.840 --> 00:03:41.840]  就是他不太願意跟你配合的
[00:03:41.840 --> 00:03:43.840]  這個禮拜有兩次打滴
[00:03:43.840 --> 00:03:45.840]  還好
[00:03:45.840 --> 00:03:47.840]  今天早上是打滴來的
[00:03:47.840 --> 00:03:49.840]  這位老先生是白頭髮
[00:03:49.840 --> 00:03:50.840]  但是他不太講話
[00:03:50.840 --> 00:03:52.840]  好像心情不太好
[00:03:52.840 --> 00:03:53.840]  師母就跟我說
[00:03:53.840 --> 00:03:55.840]  是不是我們從地鐵站到這裡
[00:03:55.840 --> 00:03:56.840]  這個距離太近了
[00:03:56.840 --> 00:03:57.840]  所以他不開心呢
[00:03:57.840 --> 00:03:59.840]  我不知道
[00:03:59.840 --> 00:04:04.840]  我們背後的問題是教育
[00:04:04.840 --> 00:04:06.840]  我坐地鐵
[00:04:06.840 --> 00:04:07.840]  因為我不開車
[00:04:07.840 --> 00:04:11.840]  我最怕有人坐了我的位置
[00:04:11.840 --> 00:04:13.840]  紅色的這個椅子
[00:04:13.840 --> 00:04:16.840]  是給長者或者是殘疾人士
[00:04:16.840 --> 00:04:18.840]  給幼小的人坐
[00:04:18.840 --> 00:04:21.840]  開始有人會給我讓位
[00:04:21.840 --> 00:04:22.840]  我不太習慣
[00:04:22.840 --> 00:04:24.840]  我覺得我不是老人
[00:04:24.840 --> 00:04:27.840]  但是師母說 你要承認
[00:04:27.840 --> 00:04:29.840]  我就坐
[00:04:29.840 --> 00:04:30.840]  有的人是坐在那裡
[00:04:30.840 --> 00:04:32.840]  但是相對年輕的
[00:04:32.840 --> 00:04:33.840]  還好
[00:04:33.840 --> 00:04:34.840]  但我們久了
[00:04:34.840 --> 00:04:37.840]  我們會看他是不是遊客
[00:04:37.840 --> 00:04:39.840]  不是日本遊客
[00:04:39.840 --> 00:04:41.840]  也不像韓國遊客
