
[00:00:00.000 --> 00:00:04.760]  今天講的是「信是沒有束縛的」
[00:00:04.760 --> 00:00:08.840]  《迦太書二章》十五到二十一節
[00:00:08.840 --> 00:00:12.840]  有一段文章在報紙上
[00:00:12.840 --> 00:00:17.640]  它講到「婚姻非束縛」
[00:00:17.640 --> 00:00:18.840]  我們經常都講
[00:00:18.840 --> 00:00:20.960]  有些人經常提到
[00:00:20.960 --> 00:00:25.960]  他說婚姻是愛情的墳墓
[00:00:25.960 --> 00:00:28.440]  好像已經鎖死了
[00:00:28.440 --> 00:00:30.960]  好像裡面沒有盼望一樣
[00:00:30.960 --> 00:00:33.040]  當然作為一個婚姻父老十多年
[00:00:33.040 --> 00:00:33.960]  肯定不是
[00:00:33.960 --> 00:00:35.760]  這篇文章講得非常好
[00:00:35.760 --> 00:00:41.120]  它說成熟的愛情是彼此有自由的空間
[00:00:41.120 --> 00:00:43.360]  我們不知道這裡有多少人已經結婚
[00:00:43.360 --> 00:00:47.880]  首先我們看看有沒有自由的空間
[00:00:47.880 --> 00:00:48.960]  不要看著
[00:00:48.960 --> 00:00:49.960]  冷靜一點
[00:00:49.960 --> 00:00:51.240]  這篇文章講得不錯
[00:00:51.240 --> 00:00:53.640]  它引用《聖經》這個作者
[00:00:53.640 --> 00:00:57.400]  它說常說「愛是恆久忍耐」
[00:00:57.400 --> 00:01:00.320]  這段《聖經》在哪裏出來的?
[00:01:00.320 --> 00:01:01.000]  說不多
[00:01:01.000 --> 00:01:02.400]  第幾章?
[00:01:02.400 --> 00:01:03.000]  十三章
[00:01:03.000 --> 00:01:03.680]  很厲害
[00:01:03.680 --> 00:01:04.600]  跟旁邊的人說
[00:01:04.600 --> 00:01:06.240]  你好厲害
[00:01:06.240 --> 00:01:07.360]  它引用《聖經》
[00:01:07.360 --> 00:01:08.240]  這個作者說
[00:01:08.240 --> 00:01:09.680]  我認為有一句
[00:01:09.680 --> 00:01:12.240]  也應該時刻反思
[00:01:12.240 --> 00:01:13.320]  時刻反省就是
[00:01:13.320 --> 00:01:16.160]  「不求自己的益處」
[00:01:16.160 --> 00:01:17.600]  我覺得非常好
[00:01:17.600 --> 00:01:21.480]  人的貪婪包括擁有對方
[00:01:21.480 --> 00:01:23.480]  想控對方的自由
[00:01:23.480 --> 00:01:25.720]  甚至帶到婚姻
[00:01:25.720 --> 00:01:28.320]  令到個人佔有慾作祟
[00:01:28.320 --> 00:01:30.760]  讓愛的表現的背後
[00:01:30.760 --> 00:01:33.600]  原來根本是為求自己益處
[00:01:33.600 --> 00:01:35.000]  很想對方滿足自己
[00:01:35.000 --> 00:01:36.760]  很想對方做自己喜歡的事
