
[00:00:00.000 --> 00:00:02.280]  如果我們開始之前 大家一起祈禱
[00:00:02.280 --> 00:00:05.200]  莊人家 八千父 莊人主耶穌
[00:00:05.200 --> 00:00:08.000]  我們感謝祢 因為今天是復活節的主日
[00:00:08.000 --> 00:00:12.000]  我們再次去紀念 也感謝主祢賭誠肉身
[00:00:12.000 --> 00:00:14.000]  祢是為我們的罪而死
[00:00:14.000 --> 00:00:19.800]  而父神祢也是將主耶穌基督從死裡復活
[00:00:19.800 --> 00:00:21.400]  成為初術的果子
[00:00:21.400 --> 00:00:24.600]  讓每一個信主的人都有復活的轉變
[00:00:24.600 --> 00:00:27.000]  把現下時間擺上 求祢拖大
[00:00:27.000 --> 00:00:29.320]  祈禱交託 奉我主耶穌基督
[00:00:29.320 --> 00:00:31.320]  得成命而求 阿們
[00:00:31.320 --> 00:00:36.320]  今天的題目叫做 復活帶來的三重轉變
[00:00:36.320 --> 00:00:40.320]  通常大家如果回到教會 聽到
[00:00:40.320 --> 00:00:43.320]  一看這個題目 你也略略去猜到
[00:00:43.320 --> 00:00:45.320]  那堂課說什麼了 是吧
[00:00:45.320 --> 00:00:48.320]  大家都很聰明 聽到就很熟悉了
[00:00:48.320 --> 00:00:49.320]  我想問大家
[00:00:49.320 --> 00:00:51.320]  復活帶來的三重轉變
[00:00:51.320 --> 00:00:54.320]  這個復活所指的是什麼意思
[00:00:54.320 --> 00:00:56.320]  大家想一想
[00:00:56.320 --> 00:00:59.320]  通常都會覺得復活當然是不用問
[00:00:59.320 --> 00:01:01.320]  復活設講的復活
[00:01:01.320 --> 00:01:03.320]  當然是講主耶穌基督的復活
[00:01:03.320 --> 00:01:05.320]  有這個意思的
[00:01:05.320 --> 00:01:08.320]  但同時間我也想這個復活
[00:01:08.320 --> 00:01:10.320]  是想指導是耶穌的復活
[00:01:10.320 --> 00:01:15.320]  帶來我們的復活的三重的意思
[00:01:15.320 --> 00:01:20.320]  大家呢 我們很多時候都會過不同的節日
[00:01:20.320 --> 00:01:22.320]  香港有佛誕
[00:01:22.320 --> 00:01:25.320]  這裡呢 就沒有佛誕
