
[00:00:00.000 --> 00:00:04.000]  我知道今天是2014年的最後一個主日
[00:00:04.000 --> 00:00:07.000]  當我們回想2014年三百多日的時候
[00:00:07.000 --> 00:00:10.000]  我們的心裏面會有什麼感想呢?
[00:00:10.000 --> 00:00:13.000]  我們會覺得感恩的事情會多一點
[00:00:13.000 --> 00:00:15.000]  還是不感恩的事情會多一點呢?
[00:00:15.000 --> 00:00:18.000]  當我們回想2014年這三百多日裏面
[00:00:18.000 --> 00:00:20.000]  我們開心的事情會多一點
[00:00:20.000 --> 00:00:22.000]  還是不開心的事情會多一點呢?
[00:00:22.000 --> 00:00:25.000]  無論你是感恩的、開心的
[00:00:25.000 --> 00:00:29.000]  或者你是不感恩的、不開心的事情多的話
[00:00:29.000 --> 00:00:32.000]  其實背後有一個很重要的原因
[00:00:32.000 --> 00:00:35.000]  這些原因你可以舉很多很多的可能
[00:00:35.000 --> 00:00:39.000]  但是這個原因其實今天回到聖經裏面
[00:00:39.000 --> 00:00:41.000]  是最重要的這四個字
[00:00:41.000 --> 00:00:43.000]  跟你旁邊的頂尖說一聲
[00:00:43.000 --> 00:00:46.000]  全是恩典
[00:00:46.000 --> 00:00:51.000]  在聖經裏面是保羅和使徒約翰
[00:00:51.000 --> 00:00:53.000]  是彼得等等的人
[00:00:53.000 --> 00:00:55.000]  他們整個數年生命的成長
[00:00:55.000 --> 00:00:59.000]  和我們今天很大部分的信徒會有很不一樣
[00:00:59.000 --> 00:01:02.000]  而保羅寫書信給宗教會的時候
[00:01:02.000 --> 00:01:05.000]  也發現在初期教會有信徒的情況
[00:01:05.000 --> 00:01:08.000]  和他們生命的成長有背道而馳
[00:01:08.000 --> 00:01:10.000]  最主要的原因是什麼呢?
[00:01:10.000 --> 00:01:13.000]  當保羅思考了很久很久之後
[00:01:13.000 --> 00:01:16.000]  不要忘記保羅在大馬骰路上遇到那位復活主
[00:01:16.000 --> 00:01:20.000]  他接著去到曠野有三年的時間
[00:01:20.000 --> 00:01:22.000]  去默想上帝的恩典
[00:01:22.000 --> 00:01:25.000]  到了他最成熟的時候
[00:01:25.000 --> 00:01:29.000]  他寫了一本非常深奧難明的羅馬書
[00:01:29.000 --> 00:01:31.000]  在羅馬書裏面
[00:01:31.000 --> 00:01:34.000]  很多人都說恩訊稱義是羅馬書的主題
[00:01:34.000 --> 00:01:37.000]  而恩訊稱義背後保羅不斷思考的
[00:01:37.000 --> 00:01:40.000]  就會思考到傳示上帝的恩典
[00:01:40.000 --> 00:01:43.000]  今天如果我們整個生命
[00:01:43.000 --> 00:01:47.000]  是基督徒不能夠去經歷傳示恩典的話
[00:01:47.000 --> 00:01:49.000]  我們的生命就會停滯不前
[00:01:49.000 --> 00:01:51.000]  甚至會產生驕傲
[00:01:51.000 --> 00:01:53.000]  或者自負
[00:01:53.000 --> 00:01:55.000]  我們怎麼說呢
[00:01:55.000 --> 00:01:57.000]  例如今天如果有人是
[00:01:57.000 --> 00:02:00.000]  我無論昨晚還是今早說這個說法
[00:02:00.000 --> 00:02:02.000]  好像不是很興奮
[00:02:02.000 --> 00:02:04.000]  所以我會加強一點
[00:02:04.000 --> 00:02:08.000]  就是如果有人今天請你免費
[00:02:08.000 --> 00:02:12.000]  請你去日本的迪士尼
[00:02:12.000 --> 00:02:13.000]  這樣比較興奮
[00:02:13.000 --> 00:02:15.000]  因為香港大家都不興奮
[00:02:15.000 --> 00:02:17.000]  請你去日本的迪士尼
[00:02:17.000 --> 00:02:19.000]  包括食宿和入場券
