
[00:00:00.000 --> 00:00:06.000]  今天早上我們繼續跟大家思想哥林多前書第十三章
[00:00:06.000 --> 00:00:08.200]  一章非常寶貴的聖經
[00:00:08.200 --> 00:00:12.000]  保羅對哥林多教會宣講
[00:00:12.000 --> 00:00:14.500]  也對我們今天的教會宣講
[00:00:14.500 --> 00:00:17.000]  關於愛的真理
[00:00:17.000 --> 00:00:19.000]  神就是愛
[00:00:19.000 --> 00:00:22.500]  很多時候我們不明白愛
[00:00:22.500 --> 00:00:24.500]  因為在今天的社會裏面
[00:00:24.500 --> 00:00:26.500]  在這個時代裏面
[00:00:26.500 --> 00:00:29.500]  我們能夠經歷真正的愛的人
[00:00:29.500 --> 00:00:31.500]  不是很多
[00:00:31.500 --> 00:00:33.500]  今天是一個充滿了自私
[00:00:33.500 --> 00:00:35.500]  自利的社會
[00:00:35.500 --> 00:00:37.500]  在今天的社會裏面
[00:00:37.500 --> 00:00:39.500]  我們看到在家庭裏面
[00:00:39.500 --> 00:00:41.500]  充滿了衝突
[00:00:41.500 --> 00:00:43.500]  我們看到在職場
[00:00:43.500 --> 00:00:45.500]  在社會裏面
[00:00:45.500 --> 00:00:49.500]  充滿了互相競爭所帶來的傷痛
[00:00:49.500 --> 00:00:52.500]  所以我們何等需要
[00:00:52.500 --> 00:00:54.500]  在神的面前
[00:00:54.500 --> 00:00:56.500]  來領受這個愛的真理
[00:00:56.500 --> 00:00:59.500]  我們上次跟大家思想到
[00:00:59.500 --> 00:01:01.500]  這個
[00:01:01.500 --> 00:01:04.500]  哥林多前書第十三章的第六節
[00:01:04.500 --> 00:01:06.500]  這個給我們看到
[00:01:06.500 --> 00:01:08.500]  愛是怎樣的一回事
[00:01:08.500 --> 00:01:11.500]  愛是不喜歡不義
[00:01:11.500 --> 00:01:13.500]  只喜歡真理
[00:01:13.500 --> 00:01:16.500]  不喜歡不義
[00:01:16.500 --> 00:01:18.500]  只喜歡真理
[00:01:18.500 --> 00:01:20.500]  這裡的經文
[00:01:20.500 --> 00:01:22.500]  給我們有幾方面的意思
[00:01:22.500 --> 00:01:24.500]  第一我們上次是看到
