
[00:00:00.000 --> 00:00:04.480]  我相信大家都很快會念得出
[00:00:04.480 --> 00:00:07.120]  豐盛生命堂的使命
[00:00:07.120 --> 00:00:10.840]  其中一項是關於家庭的
[00:00:10.840 --> 00:00:13.840]  請問我們的使命是怎樣呢?
[00:00:13.840 --> 00:00:15.560]  說不出來
[00:00:15.560 --> 00:00:17.840]  我也猜到了
[00:00:17.840 --> 00:00:21.680]  以什麼守護什麼
[00:00:21.680 --> 00:00:25.480]  以聖潔守護家庭
[00:00:25.480 --> 00:00:30.960]  清教徒呢,我想今天仍然是向我們說話
[00:00:30.960 --> 00:00:34.120]  在中古世紀的教會
[00:00:34.120 --> 00:00:40.120]  對於婚姻和婚姻裡面的性關係
[00:00:40.120 --> 00:00:47.880]  有極端保守到離開了聖經
[00:00:47.880 --> 00:00:51.240]  而在二十一世紀的教會
[00:00:51.240 --> 00:00:54.960]  對於婚姻和性
[00:00:54.960 --> 00:01:01.960]  可能就是開明到完全離經半道
[00:01:01.960 --> 00:01:06.640]  清教徒他們當時是站了出來
[00:01:06.640 --> 00:01:11.240]  有一個相當特別的身份,特別的行動
[00:01:11.240 --> 00:01:14.480]  就是中世紀和以前的教會
[00:01:14.480 --> 00:01:16.600]  對於性行為
[00:01:16.600 --> 00:01:19.280]  甚至是婚姻本身
[00:01:19.280 --> 00:01:24.640]  是非常非常的否定,持否定的態度
[00:01:24.640 --> 00:01:27.480]  所以清教徒他們當時有一種特質
[00:01:27.480 --> 00:01:32.440]  就是可以說是反當時教會的性傳統
[00:01:32.440 --> 00:01:34.440]  當時的傳統是什麼呢?
[00:01:34.440 --> 00:01:37.000]  歌頌獨身
[00:01:37.000 --> 00:01:41.800]  所以聖職人員是不嫁娶的
[00:01:41.800 --> 00:01:48.680]  而且他們都會以性作為一件羞恥的事
[00:01:48.680 --> 00:01:55.800]  甚至有一位牧者是告誡已經結婚的人說
[00:01:55.800 --> 00:01:58.320]  你們知不知道羞恥?
[00:01:58.320 --> 00:02:01.040]  你們竟然如此如此
[00:02:01.040 --> 00:02:06.720]  其實他們所過的只不過是最正當的夫妻的生活
[00:02:06.720 --> 00:02:09.080]  甚至有人這樣說
[00:02:09.080 --> 00:02:13.000]  你知不知道這個性是什麼時候出現的?
[00:02:13.000 --> 00:02:18.200]  如果亞當、夏娃沒有墮落、沒有犯罪
[00:02:18.200 --> 00:02:24.560]  人類是有另外一種方式來延續下去的
[00:02:24.560 --> 00:02:27.480]  這樣的說話你聽過沒有?
[00:02:27.480 --> 00:02:29.160]  怎樣延續呢?
[00:02:29.160 --> 00:02:32.400]  就是好像樹木、植物那樣
[00:02:32.400 --> 00:02:37.520]  而不是好像一男一女的結合
[00:02:37.520 --> 00:02:44.440]  當時的清教徒其實是與當時的天主教會對著幹的
[00:02:44.440 --> 00:02:47.240]  凡天主教會贊成的他就反對
[00:02:47.240 --> 00:02:49.360]  凡他反對的他就贊成
[00:02:49.360 --> 00:02:53.480]  就是剛才說過的那些過度的
[00:02:53.480 --> 00:02:58.400]  來否定上帝所創造、所設立的婚姻
[00:02:58.400 --> 00:03:04.600]  以及所賜予人的性能力
[00:03:04.600 --> 00:03:06.880]  清教徒高舉婚姻
[00:03:06.880 --> 00:03:09.360]  他們說再沒有任何東西
[00:03:09.360 --> 00:03:15.960]  能夠比夫妻二人所組成的小社會
[00:03:15.960 --> 00:03:19.320]  是更加的親切
[00:03:19.320 --> 00:03:21.840]  是更加的整全
[00:03:21.840 --> 00:03:23.960]  是更加的必須
[00:03:23.960 --> 00:03:25.880]  是更加的仁愛
[00:03:25.880 --> 00:03:28.960]  更加的舒服、恆久
[00:03:28.960 --> 00:03:33.760]  而這個組織是一切組織的根源
[00:03:33.760 --> 00:03:37.320]  是人世間的喜樂的泉源
[00:03:37.320 --> 00:03:39.320]  而說到夫妻
[00:03:39.320 --> 00:03:44.880]  當時只是說這個傳宗接代的角色
[00:03:44.880 --> 00:03:48.960]  是很少說到夫妻兩人的關係
[00:03:48.960 --> 00:03:51.400]  而清教徒是特別強調的
[00:03:51.400 --> 00:03:54.960]  就是夫妻是真的相親相愛
[00:03:54.960 --> 00:03:57.960]  完全敞開、心心相印
[00:03:57.960 --> 00:04:01.760]  你的好朋友成為你的好配偶
[00:04:01.760 --> 00:04:05.000]  這是人間極大的福
[00:04:05.000 --> 00:04:07.920]  所以他們以性為美
[00:04:07.920 --> 00:04:10.560]  甚至去到一個地步這樣說
[00:04:10.560 --> 00:04:12.480]  如果你說你結了婚
[00:04:12.480 --> 00:04:16.240]  但是你兩個人根本沒有房事的話
[00:04:16.240 --> 00:04:18.400]  你的婚姻是假的
