
[00:00:00.000 --> 00:00:03.600]  上星期講了九月第一篇道
[00:00:03.600 --> 00:00:05.200]  一個新的系列
[00:00:05.200 --> 00:00:07.200]  Rebuild Our City
[00:00:07.200 --> 00:00:09.700]  整傳使命的呼召
[00:00:09.700 --> 00:00:13.500]  我不知道你對上星期的篇道有什麼印象
[00:00:13.500 --> 00:00:15.900]  我猜應該都記得一點
[00:00:15.900 --> 00:00:17.700]  記得不停講的就是
[00:00:17.700 --> 00:00:19.700]  不要只顧著返教會
[00:00:19.700 --> 00:00:22.700]  而忽略了這個世界很多的需要
[00:00:22.700 --> 00:00:25.300]  我想我應該講得很清楚
[00:00:25.300 --> 00:00:28.700]  其實我從頭到尾沒有反對過人返教會
[00:00:28.700 --> 00:00:32.200]  或者那段聖經提醒的就是
[00:00:32.200 --> 00:00:34.200]  當我們很密迫地返教會
[00:00:34.200 --> 00:00:36.200]  我們做足了奉獻
[00:00:36.200 --> 00:00:38.200]  但其實上帝最緊張
[00:00:38.200 --> 00:00:41.700]  看得最重的就是我們每一天的日常生活
[00:00:41.700 --> 00:00:46.200]  我們是過著一個表裡不一的生活
[00:00:46.200 --> 00:00:49.700]  還是我們過著一個表裡一致的生活呢?
[00:00:49.700 --> 00:00:51.700]  這個是上星期想講的
[00:00:51.700 --> 00:00:55.200]  還有提醒你紀念一下社會的公義
[00:00:55.200 --> 00:00:57.500]  紀念一下這個世界受造物
[00:00:57.500 --> 00:00:59.700]  即是環保的信息
[00:00:59.700 --> 00:01:03.200]  今個星期其實是回應上個星期的講道
[00:01:03.200 --> 00:01:06.700]  所以今個星期講道的題目叫做
[00:01:06.700 --> 00:01:09.700]  整傳生命的回應
[00:01:09.700 --> 00:01:11.700]  當我們回應上帝
[00:01:11.700 --> 00:01:15.200]  既然有整傳的使命呼召的時候
[00:01:15.200 --> 00:01:17.200]  我們就要用整條命去回應
[00:01:17.200 --> 00:01:18.700]  這個是今天的主題
[00:01:18.700 --> 00:01:21.700]  經文在路加福音的二十章
[00:01:21.700 --> 00:01:23.700]  二十節至二十六節
[00:01:23.700 --> 00:01:26.700]  這段經文大概講什麼呢?
[00:01:26.700 --> 00:01:31.700]  講的就是納粹給凱撒的故事
[00:01:31.700 --> 00:01:36.700]  記不記得耶穌有個人就希望去挑戰耶穌
[00:01:36.700 --> 00:01:39.700]  就問他納粹給凱撒可以不可以
[00:01:39.700 --> 00:01:41.200]  耶穌最後的回應
[00:01:41.200 --> 00:01:43.700]  或者大家都最記得的那句話
[00:01:43.700 --> 00:01:46.700]  就是凱撒的歸凱撒
[00:01:46.700 --> 00:01:48.700]  上帝的歸上帝
[00:01:48.700 --> 00:01:50.700]  有沒有印象這句經文?
[00:01:50.700 --> 00:01:54.200]  有啊,我們不停都經常引用這句經文
[00:01:54.200 --> 00:01:57.700]  今天很想跟你解釋一下整段經文到底講什麼
[00:01:57.700 --> 00:02:01.700]  其實路加福音第二十章大概講什麼呢?
[00:02:01.700 --> 00:02:04.700]  就講那時候耶穌和那些文士
[00:02:04.700 --> 00:02:06.700]  法利塞人的關係
[00:02:06.700 --> 00:02:08.200]  已經去到很差了
[00:02:08.200 --> 00:02:11.700]  法利塞人已經很想殺死耶穌
[00:02:11.700 --> 00:02:13.700]  他們對耶穌的那種憎恨
[00:02:13.700 --> 00:02:15.700]  已經不單止是一般的妒忌
[00:02:15.700 --> 00:02:18.200]  或者為什麼你那麼多人跟,那麼多人聽
[00:02:18.200 --> 00:02:20.200]  我就好像比下去
[00:02:20.200 --> 00:02:22.700]  好像沒有那麼多擁躉呢?不是
[00:02:22.700 --> 00:02:24.700]  已經去到很嚴重
[00:02:24.700 --> 00:02:26.700]  就是他們想盡千方百計
[00:02:26.700 --> 00:02:28.200]  想要殺死耶穌
[00:02:28.200 --> 00:02:31.200]  不過因為耶穌有很多擁躉
[00:02:31.200 --> 00:02:32.700]  他下不了手
[00:02:32.700 --> 00:02:37.200]  他就希望抓住耶穌一些話柄
[00:02:37.200 --> 00:02:39.200]  而去將耶穌陷害
[00:02:39.200 --> 00:02:41.700]  這段經文的背景是這樣的
[00:02:41.700 --> 00:02:45.700]  我們一起讀這段經文
[00:02:45.700 --> 00:02:47.700]  預備,一二三
[00:02:47.700 --> 00:02:53.200]  於是他們窺探耶穌,打發奸細創作好人
[00:02:53.200 --> 00:02:56.200]  要在他的話上找把柄
[00:02:56.200 --> 00:02:59.200]  好把他交給總督處置
[00:02:59.200 --> 00:03:01.200]  奸細就問耶穌
[00:03:01.200 --> 00:03:06.700]  老師,我知道你所講所教的都很正確
[00:03:06.700 --> 00:03:09.200]  也不看人的面子
[00:03:09.200 --> 00:03:12.200]  是誠誠實實傳上帝的道
[00:03:12.200 --> 00:03:17.700]  我們納粹給凱撒合不合法,二十三節
[00:03:17.700 --> 00:03:20.700]  耶穌看出他們的詭詐
[00:03:20.700 --> 00:03:22.200]  就對他們說
