
[00:00:00.000 --> 00:00:04.000]  各位電影姐妹、各位家長早安
[00:00:04.000 --> 00:00:06.360]  今天是兒童主日
[00:00:06.360 --> 00:00:08.540]  又有Avana的小朋友獻詩
[00:00:08.540 --> 00:00:12.040]  又有我們小朋友的音樂服務小組在當中
[00:00:12.040 --> 00:00:14.780]  但是我現在在成人崇拜裡面
[00:00:14.780 --> 00:00:17.680]  這篇講道不是講給小朋友聽的
[00:00:17.680 --> 00:00:19.380]  是對大人講的
[00:00:19.380 --> 00:00:22.720]  剛才主席也跟我們讀出了經文
[00:00:22.720 --> 00:00:28.460]  在《麥可福音》第十章十三至十六節那裡
[00:00:28.460 --> 00:00:31.460]  其中第十五節那裡講到
[00:00:31.460 --> 00:00:33.160]  「我實在告訴你們
[00:00:33.160 --> 00:00:34.900]  凡要承受神國的
[00:00:34.900 --> 00:00:38.840]  若不像小孩子 斷不能進去」
[00:00:38.840 --> 00:00:40.800]  耶穌說我們要像小孩子
[00:00:40.800 --> 00:00:43.800]  才能夠承受神的國
[00:00:43.800 --> 00:00:46.140]  這件事就很嚴重
[00:00:46.140 --> 00:00:48.340]  因為也講到
[00:00:48.340 --> 00:00:51.280]  凡是要承受神的國 就要好像小孩子
[00:00:51.280 --> 00:00:54.720]  如果不像小孩子 就斷不能進去
[00:00:54.720 --> 00:00:56.880]  by no means 是不可以進去的
[00:00:56.880 --> 00:00:59.660]  這樣就很嚴重了 到底是
[00:00:59.660 --> 00:01:01.420]  主耶穌想講些什麼呢?
[00:01:01.420 --> 00:01:03.620]  到底我們要怎麼樣像小孩子
[00:01:03.620 --> 00:01:06.700]  或者哪一方面要像小孩子呢?
[00:01:06.700 --> 00:01:08.360]  不如我們先來看一下
[00:01:08.360 --> 00:01:10.340]  小孩子到底有什麼特質
[00:01:10.340 --> 00:01:14.260]  特別是那些被公認為是好的特質
[00:01:14.260 --> 00:01:19.180]  一般人認為小孩子有什麼好的特質呢?
[00:01:19.180 --> 00:01:21.440]  我們稱讚一個人 我們稱讚大人
[00:01:21.440 --> 00:01:24.820]  說他有小孩子優美的性格
[00:01:24.820 --> 00:01:26.940]  就會說他有赤子之心
[00:01:26.940 --> 00:01:30.380]  到底赤子指的是什麼意思呢?
[00:01:30.380 --> 00:01:31.920]  原來古字裏面的赤子
[00:01:31.920 --> 00:01:35.820]  這個赤字是和一把尺的尺是相通的
[00:01:35.820 --> 00:01:39.000]  所以赤子是指很年幼的小孩子
[00:01:39.000 --> 00:01:42.000]  他的身高只是一把尺那麼高
[00:01:42.000 --> 00:01:43.700]  一尺那麼長的身長
[00:01:43.700 --> 00:01:46.460]  所以這個就叫赤子 就是很小的小孩子
[00:01:46.460 --> 00:01:50.060]  所以成年人就叫丈夫 或者叫大丈夫
[00:01:50.060 --> 00:01:54.640]  一丈那麼長的就叫丈夫 就是大人這樣的意思
[00:01:54.640 --> 00:01:57.320]  原來赤子之心這個詞語
[00:01:57.320 --> 00:02:00.400]  是出自於孟子《彌留下篇》
[00:02:00.400 --> 00:02:05.080]  那裏說 大人者不失其赤子之心者也
[00:02:05.080 --> 00:02:08.620]  這個大人不是指成年人 而是指偉大的人
[00:02:08.620 --> 00:02:14.460]  偉大的人是不會偏離他的純潔、善良這個心的
[00:02:14.460 --> 00:02:19.620]  其中大人就是指到統治者
[00:02:19.620 --> 00:02:22.960]  可以叫統治者 比如我們叫包大人
[00:02:22.960 --> 00:02:25.040]  就是一個統治者、一個官
[00:02:25.040 --> 00:02:28.260]  更加可以指到具有偉大人格的人
[00:02:28.260 --> 00:02:31.760]  他應該是不失其赤子之心
[00:02:31.760 --> 00:02:34.800]  所以當我們稱讚人有赤子之心的時候
[00:02:34.800 --> 00:02:38.920]  就是說他好像小孩子一樣 有一些很優美的性格
[00:02:38.920 --> 00:02:43.340]  包括了率直 你看到這個小朋友很酷
[00:02:43.340 --> 00:02:45.880]  其實我覺得小朋友都很真實的
[00:02:45.880 --> 00:02:49.360]  你叫他拍照、笑、說ABC
[00:02:49.360 --> 00:02:53.160]  他可能勉強的擠出一些笑容
[00:02:53.160 --> 00:02:57.820]  但是他很真誠的表達他自己的心態
[00:02:57.820 --> 00:03:00.320]  我覺得很像孔雀
[00:03:00.320 --> 00:03:03.320]  這個孔雀是我拍的 所以我很喜歡這張照片
[00:03:03.320 --> 00:03:05.560]  因為這張照片提醒我
[00:03:05.560 --> 00:03:07.360]  孔雀要開屏的時候
[00:03:07.360 --> 00:03:11.980]  他在自己的生命裏面 到了那個階段他就要開屏
[00:03:11.980 --> 00:03:15.480]  你不可以逼他 你不可以硬是拿槍指著他
[00:03:15.480 --> 00:03:17.740]  你快點開屏 不開屏我就一槍打死你
[00:03:17.740 --> 00:03:20.780]  就算你殺了他也沒有用 他是不開屏就不開屏
[00:03:20.780 --> 00:03:22.320]  生命都是一步一步的
[00:03:22.320 --> 00:03:26.020]  我們不可以硬是逼一個小朋友很快的成長
[00:03:26.020 --> 00:03:27.520]  小朋友也是 他很率直
[00:03:27.520 --> 00:03:32.100]  他按著他自己成長的時間去成長的
[00:03:32.100 --> 00:03:33.820]  我們不可以勉強
[00:03:33.820 --> 00:03:37.520]  小朋友很純真
[00:03:37.520 --> 00:03:41.600]  一個很開心的家庭 家喻婆婆和兩位小朋友
[00:03:41.600 --> 00:03:44.100]  就是和所有小朋友 請了兩位小朋友出來
[00:03:44.100 --> 00:03:45.360]  搖一下聖誕鐘
[00:03:45.360 --> 00:03:49.180]  大家就可以很開心的投入在那個唱詩
[00:03:49.180 --> 00:03:51.620]  敬拜裏面 聖誕的歡樂
[00:03:51.620 --> 00:03:55.940]  很容易表現他們很純真的一面
[00:03:55.940 --> 00:03:58.480]  小朋友都很善良
[00:03:58.480 --> 00:04:01.900]  他們可以表達那種友善
[00:04:01.900 --> 00:04:06.360]  互相擁抱 表達彼此的支持 是很善良的
[00:04:06.360 --> 00:04:07.780]  小朋友都很好奇
[00:04:07.780 --> 00:04:10.020]  整個大眼睛周圍望 周圍去問
[00:04:10.020 --> 00:04:12.360]  周圍想知道一些東西
[00:04:13.020 --> 00:04:16.480]  下面這張照片就是我們PACOS的小朋友
[00:04:16.480 --> 00:04:20.480]  我們有時候會在一些課節
[00:04:20.480 --> 00:04:25.020]  要配合教導的時候 會帶小朋友出去平台
[00:04:25.020 --> 00:04:29.140]  在太古城的平台 看看一些草 樹葉
[00:04:29.140 --> 00:04:32.600]  看看一些雲 天空
[00:04:32.600 --> 00:04:34.940]  他們就很好奇的周圍望一下
[00:04:34.940 --> 00:04:38.440]  都讓他們去感受一下大自然
[00:04:38.440 --> 00:04:41.280]  還有他們也是很好奇的周圍望
[00:04:41.280 --> 00:04:43.400]  小朋友好奇他們的特質
[00:04:43.400 --> 00:04:47.440]  他們有想像力 很富有創意
[00:04:47.440 --> 00:04:48.820]  這位小朋友用左手寫字
[00:04:48.820 --> 00:04:51.600]  可能是右腦特別發達 很有創意
[00:04:51.600 --> 00:04:54.440]  這位小朋友很西角 也是發揮他的想像力
[00:04:54.440 --> 00:04:55.820]  在那裏創作
[00:04:55.820 --> 00:04:58.980]  小朋友也很熱愛生命
[00:04:58.980 --> 00:05:00.900]  他們很喜歡去參與
[00:05:00.900 --> 00:05:06.900]  還有在當中有少許成功感 他們會很開心
[00:05:06.900 --> 00:05:09.860]  另外這張照片就是我們幾年前
[00:05:09.860 --> 00:05:12.480]  去參與了一個活動 聖誕頌歌節
[00:05:12.480 --> 00:05:15.740]  在銅鑼灣的時代廣場外面
[00:05:15.740 --> 00:05:18.400]  我們有一個報家音的活動
[00:05:18.400 --> 00:05:20.100]  前面那一排就是小朋友
[00:05:20.100 --> 00:05:23.860]  後面也有家長和導師在當中參與
[00:05:23.860 --> 00:05:26.440]  都是表現我們熱愛生命的一面
[00:05:26.440 --> 00:05:29.700]  去參與 去分享
[00:05:29.700 --> 00:05:32.560]  我們參與的那個單位
[00:05:32.560 --> 00:05:35.020]  那些負責人 雖然他們不是基督徒
[00:05:35.020 --> 00:05:36.900]  但是他們說 其實你們的上帝
[00:05:36.900 --> 00:05:40.360]  真的是創造宇宙萬物 是充滿色彩的上帝
[00:05:40.360 --> 00:05:44.020]  所以你們應該用更多的色彩去讚美他
[00:05:44.020 --> 00:05:49.740]  根據我的認識 小朋友不單止有這些優點
[00:05:49.740 --> 00:05:52.320]  他們也是天真無邪的
[00:05:52.320 --> 00:05:55.660]  就像聖姑做怪一樣
