
[00:00:00.000 --> 00:00:07.000]  有一對夫婦含辛茹苦 節衣縮食養大四個子女
[00:00:07.000 --> 00:00:12.000]  今年是這對夫婦的結婚五十週年
[00:00:12.000 --> 00:00:17.000]  事業有成的四個子女見父母很喜歡看海景
[00:00:17.000 --> 00:00:24.000]  於是就夾錢請這對夫婦登上最豪華的黑輪
[00:00:24.000 --> 00:00:29.000]  去作環遊世界 作為他們今婚紀念的禮物
[00:00:29.000 --> 00:00:33.000]  這對夫婦是第一次登上豪華黑輪
[00:00:33.000 --> 00:00:38.000]  所以遊船上面所有的豪華設施和服務
[00:00:38.000 --> 00:00:41.000]  對於他們來說是大開眼界 非常驚喜
[00:00:41.000 --> 00:00:44.000]  但是美中不足的地方是甚麼呢
[00:00:44.000 --> 00:00:48.000]  他們覺得船上這些豪華設施和服務非常昂貴
[00:00:48.000 --> 00:00:52.000]  於是心裏面想既然我們旅費有限 就不如省點錢
[00:00:52.000 --> 00:00:58.000]  於是他們整天就在這個豪華的客房度過
[00:00:58.000 --> 00:01:02.000]  接著每天都上甲板看海景
[00:01:02.000 --> 00:01:07.000]  連遊輪拍岸上岸觀光都不參加
[00:01:07.000 --> 00:01:12.000]  還有他們兩個帶著一大箱的出錢一丁即食麵
[00:01:12.000 --> 00:01:14.000]  就每天綠麵食
[00:01:14.000 --> 00:01:20.000]  假裝換下口味就在船上的便利店買些牛奶麵包
[00:01:20.000 --> 00:01:24.000]  直到航程的尾聲
[00:01:24.000 --> 00:01:28.000]  夫婦心想 如果我們回到家裡親戚朋友問
[00:01:28.000 --> 00:01:33.000]  船上的伙食好不好 我們答不出 那就很尷尬
[00:01:33.000 --> 00:01:40.000]  不要了 人一世物一世 不如我們就在船上吃一頓晚飯
[00:01:40.000 --> 00:01:44.000]  這一晚 當晚餐就快結束的時候
[00:01:44.000 --> 00:01:47.000]  老先生就示意麻煩結帳
[00:01:47.000 --> 00:01:49.000]  那個侍應說 先生是不用結帳的
[00:01:49.000 --> 00:01:56.000]  為什麼不用結帳 因為船上所有的消費 你的船費已經全部包了
[00:01:56.000 --> 00:02:02.000]  有人這樣說 信耶穌就等於登上豪華的郵輪
[00:02:02.000 --> 00:02:09.000]  如果你坐完船都不知道 原來船上所有豪華的設施和服務
[00:02:09.000 --> 00:02:12.000]  原來是免費全部包了
[00:02:12.000 --> 00:02:18.000]  就等於信了耶穌很久 才發覺 哇 原來神有這麼多豐盛的應許
[00:02:18.000 --> 00:02:21.000]  我從來都不知道 也從來沒有得著過
