
[00:00:00.000 --> 00:00:03.200]  各位來賓早晨
[00:00:03.200 --> 00:00:08.200]  在政治上近來「甩碌」這個字都很多人講
[00:00:08.200 --> 00:00:14.800]  前一陣子政制在立法會投票的時候
[00:00:14.800 --> 00:00:17.800]  某個黨派想著大家都很一致
[00:00:17.800 --> 00:00:20.200]  雖然都會輸的
[00:00:20.200 --> 00:00:24.000]  但沒想到甩碌到8比28
[00:00:24.000 --> 00:00:25.600]  這麼大的比數
[00:00:25.600 --> 00:00:31.400]  發覺原來大家同一個黨派裏面
[00:00:31.400 --> 00:00:33.600]  你又這樣看不是這樣嗎
[00:00:33.600 --> 00:00:36.000]  搞到每個人的期望做事不同
[00:00:36.000 --> 00:00:37.600]  結果出來就這麼糟糕
[00:00:37.600 --> 00:00:40.400]  但另外一個派別也有甩碌
[00:00:40.400 --> 00:00:43.600]  第二天雖然大家都是投反對票
[00:00:43.600 --> 00:00:46.600]  有一個議員說我要退黨
[00:00:46.600 --> 00:00:50.200]  原來有些事他又不同自己黨的想法
[00:00:50.200 --> 00:00:52.600]  所以搞到有甩碌事件
[00:00:52.600 --> 00:00:55.600]  原來這些政治甩碌事件
[00:00:55.600 --> 00:01:01.000]  這些人都在自己一個所謂的政治光譜裏面
[00:01:01.000 --> 00:01:03.600]  說自己是民主是建制
[00:01:03.600 --> 00:01:07.200]  但這樣不能夠完全去詮釋他們的政治理念
[00:01:07.200 --> 00:01:11.800]  而且裏面也有不同對於政治的理解
[00:01:11.800 --> 00:01:13.000]  有些比較溫和
[00:01:13.000 --> 00:01:14.800]  有些比較激進
[00:01:14.800 --> 00:01:16.400]  想像一下
[00:01:16.400 --> 00:01:20.000]  如果港福堂有一個小組
[00:01:20.000 --> 00:01:25.200]  有這些不同政治光譜的人在裏面
[00:01:25.200 --> 00:01:27.600]  有建制的
[00:01:27.600 --> 00:01:29.400]  有所謂民主的
[00:01:29.400 --> 00:01:32.000]  甚至有政府官員的
[00:01:32.000 --> 00:01:33.600]  有些民間的
[00:01:33.600 --> 00:01:35.000]  有些激進的
[00:01:35.000 --> 00:01:37.600]  再加上西環有兩個人坐在裏面
[00:01:37.600 --> 00:01:41.000]  不知道大家喜不喜歡加入這個小組呢
[00:01:41.000 --> 00:01:43.800]  這個小組能夠運作多久呢
[00:01:43.800 --> 00:01:47.000]  你這樣想的時候
[00:01:47.000 --> 00:01:50.000]  可能你想想自己的小組很多人事問題
[00:01:50.000 --> 00:01:52.200]  其實相對來說都很小意思
[00:01:52.200 --> 00:01:54.400]  但不要想這是一個笑話
[00:01:54.400 --> 00:01:58.000]  耶穌當時的十二門徒小組
[00:01:58.000 --> 00:02:01.000]  很大程度正正就是一個
[00:02:01.000 --> 00:02:04.000]  這麼政治理念混雜的小組
[00:02:04.000 --> 00:02:05.000]  不是呀
[00:02:05.000 --> 00:02:07.400]  聖經不是講信仰的嗎
[00:02:07.400 --> 00:02:08.600]  講政治的嗎
[00:02:08.600 --> 00:02:10.400]  不是政教分離的嗎
