
[00:00:00.000 --> 00:00:03.000]  我們離開傳道術也有一段時間了對不對
[00:00:03.000 --> 00:00:07.000]  所以我不知道你們還記不記得傳道術的主題是什麼
[00:00:07.000 --> 00:00:09.000]  特別是從第一章到第五章
[00:00:09.000 --> 00:00:12.000]  主題是什麼
[00:00:12.000 --> 00:00:14.000]  虛空的虛空對不對
[00:00:14.000 --> 00:00:16.000]  這是我們記得最清楚的
[00:00:16.000 --> 00:00:18.000]  當然也是
[00:00:18.000 --> 00:00:20.000]  不過呢我們要前後我們要看
[00:00:20.000 --> 00:00:23.000]  那麼他是說在日光之下
[00:00:23.000 --> 00:00:25.000]  就是說在沒有神的介入的時候
[00:00:25.000 --> 00:00:28.000]  沒有神參與的時候
[00:00:28.000 --> 00:00:31.000]  那他就告訴我們一切都是虛空
[00:00:31.000 --> 00:00:33.000]  都是短暫的
[00:00:33.000 --> 00:00:36.000]  這個虛空呢他的意思也是一個短暫的意思
[00:00:36.000 --> 00:00:38.000]  另外還有一個就是往然的
[00:00:38.000 --> 00:00:40.000]  英文叫做futile對不對
[00:00:40.000 --> 00:00:46.000]  就是好像你們在家裡面有沒有運動器材啊
[00:00:46.000 --> 00:00:49.000]  有沒有那個跑步機對不對
[00:00:49.000 --> 00:00:51.000]  你跑了半天跑不到哪裡去的
[00:00:51.000 --> 00:00:53.000]  就在原地對不對
[00:00:53.000 --> 00:00:57.000]  雖然你的身上的肥油跑掉了一些
[00:00:57.000 --> 00:00:59.000]  但是you don't go anywhere
[00:00:59.000 --> 00:01:00.000]  對不對
[00:01:00.000 --> 00:01:01.000]  或者是騎腳踏車
[00:01:01.000 --> 00:01:03.000]  騎了個半天怎麼樣
[00:01:03.000 --> 00:01:05.000]  還是在原處不動
[00:01:05.000 --> 00:01:08.000]  那麼我想這個
[00:01:08.000 --> 00:01:11.000]  這個聖經所羅門寫的這個
[00:01:11.000 --> 00:01:13.000]  他雖然不知道腳踏車是什麼樣子
[00:01:13.000 --> 00:01:17.000]  不過呢他的意思就是說是往然的
[00:01:17.000 --> 00:01:19.000]  那麼不能真正滿足一個人的心
[00:01:19.000 --> 00:01:21.000]  這也是他的虛空的
[00:01:21.000 --> 00:01:22.000]  就好像那個泡泡
[00:01:22.000 --> 00:01:25.000]  那個小孩子吹那個肥皂泡泡對不對
[00:01:25.000 --> 00:01:27.000]  吹出來之後他就去抓
[00:01:27.000 --> 00:01:29.000]  一手抓的時候就怎麼樣
[00:01:29.000 --> 00:01:30.000]  就破掉了
[00:01:30.000 --> 00:01:32.000]  那小孩子的反應是怎麼樣
[00:01:32.000 --> 00:01:34.000]  會哭的
[00:01:34.000 --> 00:01:35.000]  你們有沒有注意到
[00:01:35.000 --> 00:01:37.000]  記不記得你小時候有沒有玩過這個
[00:01:37.000 --> 00:01:40.000]  吹上來之後很漂亮對不對
[00:01:40.000 --> 00:01:43.000]  他有這個所謂的彩虹顏色在裡面
[00:01:43.000 --> 00:01:45.000]  等到你一去抓的時候怎麼樣
[00:01:45.000 --> 00:01:47.000]  破掉了
[00:01:47.000 --> 00:01:53.000]  有小孩子真的會哭的
[00:01:53.000 --> 00:01:56.000]  不能夠滿足人的心
[00:01:56.000 --> 00:02:00.000]  就好像走進了死胡同一樣
[00:02:00.000 --> 00:02:01.000]  英文很有意思
[00:02:01.000 --> 00:02:03.000]  我覺得英文這個表達更好
[00:02:03.000 --> 00:02:05.000]  他叫做dead end
[00:02:05.000 --> 00:02:08.000]  不但是死的而且是end
[00:02:08.000 --> 00:02:13.000]  那麼又是死的又是到了盡頭
[00:02:13.000 --> 00:02:18.000]  你前面沒有路可以走了
[00:02:18.000 --> 00:02:20.000]  那我們一生呢
[00:02:20.000 --> 00:02:24.000]  是不是也真的是在一個死胡同裡面呢
[00:02:24.000 --> 00:02:25.000]  看起來
[00:02:25.000 --> 00:02:28.000]  有的時候看起來好像是
[00:02:28.000 --> 00:02:31.000]  我們每一個人可能都有不同的經歷
[00:02:31.000 --> 00:02:33.000]  特別是當我們心裡的盼望
[00:02:33.000 --> 00:02:35.000]  我們所想的事情
[00:02:35.000 --> 00:02:36.000]  我們所盼望的事情
[00:02:36.000 --> 00:02:37.000]  我們花了很大的功夫
