
[00:00:00.000 --> 00:00:02.720]  明白主的心其實可以有兩方面去想
[00:00:02.720 --> 00:00:04.260]  可以去明白這件事
[00:00:04.260 --> 00:00:07.680]  其中第一樣是可以明白神的屬性
[00:00:07.680 --> 00:00:09.320]  神是一個怎樣的神
[00:00:09.320 --> 00:00:11.760]  好像之前Michelle跟我們分享
[00:00:11.760 --> 00:00:14.540]  神是一個始終如一的神
[00:00:14.540 --> 00:00:17.180]  神是由最初到如今
[00:00:17.180 --> 00:00:19.180]  到將來都愛我們的一個神
[00:00:19.180 --> 00:00:21.880]  第二方面我們可以明白的
[00:00:21.880 --> 00:00:24.200]  神就是神的心意
[00:00:24.200 --> 00:00:25.440]  神的喜好
[00:00:25.440 --> 00:00:28.920]  就好像上一個星期的另一個Michelle的分享
[00:00:29.160 --> 00:00:32.440]  我們教會有很多Michelle
[00:00:32.440 --> 00:00:36.580]  其實神希望我們有一個敬畏祂的心
[00:00:36.580 --> 00:00:38.660]  這是祂想的
[00:00:38.660 --> 00:00:42.460]  今天我跟大家分享的內容同樣是後者
[00:00:42.460 --> 00:00:45.560]  不過我不是在說神想我們怎樣
[00:00:45.560 --> 00:00:48.260]  而是神不喜歡什麼
[00:00:48.260 --> 00:00:54.320]  藉此希望我們可以透過這個信息
[00:00:54.320 --> 00:00:55.280]  我們可以想一下
[00:00:55.280 --> 00:00:58.400]  究竟剛剛說這個世界一直在罵我們
[00:00:58.680 --> 00:01:00.900]  究竟那些人罵的對不對呢
[00:01:00.900 --> 00:01:02.520]  有沒有道理呢
[00:01:02.520 --> 00:01:05.040]  我們一起祈禱開始好嗎
[00:01:05.040 --> 00:01:09.600]  參加天賦上的主耶穌
[00:01:09.600 --> 00:01:12.000]  參加聖禮我們同心來到祢面前
[00:01:12.000 --> 00:01:16.480]  神我們盼望祢的真光來到我們當中
[00:01:16.480 --> 00:01:19.000]  神我們說我們很想藉著聖經
[00:01:19.000 --> 00:01:20.680]  去明白祢的心意更多
[00:01:20.680 --> 00:01:23.280]  很想藉著聖經的教導
[00:01:23.280 --> 00:01:25.280]  我們摸得透祢的心
[00:01:25.280 --> 00:01:28.320]  所以神我求祢祢幫助我們
[00:01:28.680 --> 00:01:31.600]  因為我們能夠認識的真的不多
[00:01:31.600 --> 00:01:35.240]  但神我們知道祢將祢的聖靈給過我們的時候
[00:01:35.240 --> 00:01:36.440]  我們就有智慧
[00:01:36.440 --> 00:01:37.640]  我們能夠明白
[00:01:37.640 --> 00:01:40.320]  神這個是祢給我們的恩典
[00:01:40.320 --> 00:01:42.120]  所以神我求祢的靈臨在
[00:01:42.120 --> 00:01:42.640]  祝福我們
[00:01:42.640 --> 00:01:43.880]  祝福我們今天的時間
[00:01:43.880 --> 00:01:44.720]  幫助我們
[00:01:44.720 --> 00:01:47.880]  讓我們在聖經當中經歷祢
[00:01:47.880 --> 00:01:48.960]  領略到祢
[00:01:48.960 --> 00:01:49.960]  神我感謝祢
[00:01:49.960 --> 00:01:50.560]  聽我們的祈禱
[00:01:50.560 --> 00:01:51.600]  禱告奉主名求
[00:01:51.600 --> 00:01:52.360]  阿門
[00:01:52.360 --> 00:01:53.240]  好
[00:01:53.240 --> 00:01:54.320]  那麼今天說的呢
[00:01:54.320 --> 00:01:56.080]  其實聖經中有一群人
[00:01:56.080 --> 00:01:58.080]  都好像我們一樣
[00:01:58.080 --> 00:02:00.160]  其實好像很敬畏耶和華的
[00:02:00.160 --> 00:02:00.960]  但是呢
[00:02:00.960 --> 00:02:02.640]  他們從耶穌時代
[00:02:02.640 --> 00:02:03.840]  直到今天
[00:02:03.840 --> 00:02:05.080]  都在被人罵
[00:02:05.080 --> 00:02:08.960]  而且是耶穌也罵他
[00:02:08.960 --> 00:02:10.640]  其實是很少的
[00:02:10.640 --> 00:02:12.600]  如果大家有看過四方的話
[00:02:12.600 --> 00:02:13.880]  耶穌去罵人呢
[00:02:13.880 --> 00:02:15.680]  就是他很少罵人
[00:02:15.680 --> 00:02:17.520]  他通常都是諷刺啊
[00:02:17.520 --> 00:02:19.160]  用比喻啊
[00:02:19.160 --> 00:02:21.000]  那些形式去說人而已
[00:02:21.000 --> 00:02:22.360]  但是這一群人不同
[00:02:22.360 --> 00:02:24.800]  這一群人是耶穌很直接罵他的
[00:02:24.800 --> 00:02:27.080]  那麼今天想跟大家說的這群人呢
[00:02:27.080 --> 00:02:27.600]  就是
