
[00:00:00.000 --> 00:00:02.240]  思想上的位置之前,我們一起再有個祈禱
[00:00:02.240 --> 00:00:11.260]  親愛的天父,感謝你,今日我們有機會一齊在這裡
[00:00:11.260 --> 00:00:15.780]  敬拜你,獻上我們的讚美,我們感恩
[00:00:15.780 --> 00:00:17.960]  也願主願立我們的敬拜
[00:00:17.960 --> 00:00:21.560]  也感恩我們剛才可以一同去
[00:00:21.560 --> 00:00:25.500]  一齊有個聖餐,願主再次幫助我們
[00:00:25.500 --> 00:00:27.900]  能夠懂得去紀念主祢對我們的愛
[00:00:28.600 --> 00:00:31.800]  而接下來這個時刻,我們要一同思想你的話語
[00:00:31.800 --> 00:00:33.600]  去幫助我們
[00:00:33.600 --> 00:00:37.000]  去明白究竟我們在現今這個時代
[00:00:37.000 --> 00:00:38.600]  我們要做些什麼
[00:00:38.600 --> 00:00:41.900]  願主能夠帶領以下的時間,奉主的所聖名祈求
[00:00:41.900 --> 00:00:42.900]  Amen
[00:00:42.900 --> 00:00:49.300]  好,今日是這個信仰與時代系列的最後一講
[00:00:49.300 --> 00:00:51.900]  在這個系列當中,其實我想
[00:00:51.900 --> 00:00:55.100]  我們之前就有思想過,有不同的角色
[00:00:55.100 --> 00:00:59.400]  的人物,似乎都見到在不同的時代當中
[00:00:59.400 --> 00:01:02.000]  上帝都會揀選不同的人
[00:01:02.000 --> 00:01:05.000]  去成就上帝的旨意
[00:01:05.000 --> 00:01:07.000]  所以我們可以見到
[00:01:07.000 --> 00:01:10.000]  當上帝揀選的人在他的時代當中
[00:01:10.000 --> 00:01:13.000]  其實真的會做了上帝旨意的時候
[00:01:13.000 --> 00:01:15.800]  就會帶來一個很深很長遠的影響
[00:01:15.800 --> 00:01:18.700]  我們的思想今日要想的就是
[00:01:18.700 --> 00:01:22.200]  究竟我們又是一個被揀選的子民
[00:01:22.400 --> 00:01:26.400]  我們在現今這個時代,我們又可以做些什麼
[00:01:26.400 --> 00:01:28.600]  我們又應該做些什麼呢?
[00:01:28.600 --> 00:01:33.400]  關於這個問題,其實我從這個創世紀的約瑟當中
[00:01:33.400 --> 00:01:38.100]  其實有所得著,而我今日想分享給大家
[00:01:38.100 --> 00:01:42.000]  在我們讀經文之前,我想稍為分享一下
[00:01:42.000 --> 00:01:46.400]  約瑟的背景,約瑟這個人其實是亞國的兒子
[00:01:46.400 --> 00:01:50.400]  如果在以色列的歷史當中,其實阿伯乃汗是祖先來的
[00:01:50.400 --> 00:01:55.900]  上帝呼召阿伯乃汗離開他的本族,去行上帝的呼召
[00:01:55.900 --> 00:02:00.900]  上帝亦都認他阿伯乃汗,他的後裔會成為大國
[00:02:00.900 --> 00:02:05.400]  聖經記載,其實阿伯乃汗只有一個兒子,他叫以撒
[00:02:05.400 --> 00:02:09.900]  以撒有兩個兒子,一個叫以蘇,一個叫阿國
[00:02:09.900 --> 00:02:15.400]  上帝揀選了阿國這個支線,這個兒子就成為了以色列國的人
[00:02:15.400 --> 00:02:18.400]  之後改名了阿國做以色列
[00:02:18.400 --> 00:02:23.900]  其實阿國當時有很多個兒子,約瑟就是排第十一
[00:02:23.900 --> 00:02:29.400]  排第十一,然後大概他十七歲的時候
[00:02:29.400 --> 00:02:35.400]  那些哥哥因為他們的父親阿國更加疼愛約瑟
[00:02:35.400 --> 00:02:40.900]  就妒忌他,甚至一度想切磋把他殺死
[00:02:40.900 --> 00:02:47.400]  不過最後沒有殺死,最後把他賣給了埃及的人
[00:02:47.400 --> 00:02:55.400]  結果約瑟帶到埃及之後,他就在法魯的內臣護衛長波提佛那裡的家裡工作
[00:02:55.400 --> 00:02:59.400]  其實工作裡面一切都不錯的
[00:02:59.400 --> 00:03:02.900]  但是他要面對的是阿姨阿姨的誘惑
[00:03:02.900 --> 00:03:05.400]  如果你們熟悉裡面發生什麼事
[00:03:05.400 --> 00:03:10.400]  簡單來說就是波提佛,即是他上司的老婆就很喜歡他
[00:03:10.400 --> 00:03:14.900]  因為他英俊,看到他英俊就覺得要誘惑一下他
[00:03:14.900 --> 00:03:17.400]  就不斷跟他說,我要跟你同寢
[00:03:17.400 --> 00:03:19.400]  你明白就明白
[00:03:19.400 --> 00:03:25.400]  他這樣去說的時候,其實約瑟就拒絕了很多次
[00:03:25.400 --> 00:03:31.400]  直到有一次,這個安慈強迫他
[00:03:31.400 --> 00:03:36.900]  做了些什麼,我不太清楚,究竟現實的細節是怎樣
[00:03:36.900 --> 00:03:38.400]  不過你們可以想像一下
[00:03:38.400 --> 00:03:43.400]  但是約瑟都是拒絕了的,走開了的,跑走了的
[00:03:43.400 --> 00:03:54.400]  結果波提佛就恩愛誠勤,就誣蔑約瑟
[00:03:54.400 --> 00:03:56.900]  就說他剛才想侵犯我
[00:03:56.900 --> 00:04:04.400]  結果波提佛的妻子他畏高權重
[00:04:04.400 --> 00:04:06.400]  約瑟又是一個小奴隸
[00:04:06.400 --> 00:04:09.400]  結果他就要被抓進監獄裡面了
[00:04:09.400 --> 00:04:12.900]  這個就是我們今天的經文背景
[00:04:12.900 --> 00:04:14.400]  之前發生的事情就在這裡
[00:04:14.400 --> 00:04:16.400]  就是他坐人監
[00:04:16.400 --> 00:04:18.400]  因為他被人誣蔑,很多事情發生
[00:04:18.400 --> 00:04:22.400]  他被他的哥哥出賣,被人誣蔑
[00:04:22.400 --> 00:04:24.400]  然後他就坐監
[00:04:24.400 --> 00:04:26.400]  就發生這些事情
[00:04:26.400 --> 00:04:27.400]  大家可以想像一下
[00:04:27.400 --> 00:04:33.400]  對於約瑟那時候來說,他又處於一個什麼的時代呢
[00:04:33.400 --> 00:04:40.400]  他又應該怎樣才可以成為一個有影響的人呢
[00:04:40.400 --> 00:04:44.400]  如果我們想像當時的約瑟,我們在當時的約瑟的話
[00:04:44.400 --> 00:04:46.400]  我們又會怎樣去做呢
[00:04:46.400 --> 00:04:48.400]  大家可以先去想想
[00:04:48.400 --> 00:04:50.400]  我們一起來讀今天的經文
[00:04:50.400 --> 00:04:54.400]  今天的經文,其實如果剛才有看到那個cover
[00:04:54.400 --> 00:04:56.400]  或者之前你有看到那些照片的話
[00:04:56.400 --> 00:04:58.400]  其實本身思想的就是
[00:04:58.400 --> 00:05:06.400]  這個《創世紀》由40章的第一節到41章的45節
[00:05:06.400 --> 00:05:08.400]  但是因為很長,現在不會讀完
[00:05:08.400 --> 00:05:11.400]  我只是想跟大家讀一節八節
[00:05:11.400 --> 00:05:13.400]  其他的我會一會兒再讀
[00:05:13.400 --> 00:05:17.400]  我們一起讀的是《創世紀》40章一到八節
[00:05:17.400 --> 00:05:18.400]  我希望可以輪流讀
[00:05:18.400 --> 00:05:21.400]  我會讀單數節,大家請讀雙數節
[00:05:21.400 --> 00:05:23.400]  《創世紀》40章一至八節
[00:05:23.400 --> 00:05:29.400]  第一節,這是以後埃及王的走證和線長得罪了他們的主,埃及王
[00:05:34.400 --> 00:05:40.400]  把他們下載護衛長府內的監裏,就是約瑟被囚的地方
[00:05:40.400 --> 00:05:57.400]  被囚在監之埃及王的走證和線長二人同夜各做一夢,各夢都有講解
[00:06:05.400 --> 00:06:10.400]  他便問法老的二臣,就是與他同酬在他主人府裏的
[00:06:10.400 --> 00:06:14.400]  說:「你們今日為什麽面帶愁容呢?」
[00:06:14.400 --> 00:06:29.400]  好,這次上主的話,遠處祝福大家
[00:06:29.400 --> 00:06:35.400]  在監獄當中,其實我覺得是可以看的
[00:06:35.400 --> 00:06:41.400]  監獄當中,約瑟遇到兩位官員
[00:06:41.400 --> 00:06:43.400]  一個是走證,一個是線長
[00:06:43.400 --> 00:06:50.400]  這兩位官員,他們不是去監獄裏探監
[00:06:50.400 --> 00:06:54.400]  他們不是探監,他們是得罪了法老,然後被送入監獄裏
[00:06:54.400 --> 00:06:57.400]  在坐監期間,他們分別各做了一夢
[00:06:57.400 --> 00:07:03.400]  因為這兩位官員的夢獨特,所以他們覺得他們所做的夢是有意思的
[00:07:03.400 --> 00:07:05.400]  他們希望有人可以解釋給他們聽
[00:07:05.400 --> 00:07:07.400]  但他們找不到人,一來他們正在坐監
[00:07:07.400 --> 00:07:09.400]  二來可能監獄裏沒有太多人
[00:07:09.400 --> 00:07:15.400]  所以他們覺得很透行,直到他們找到約瑟
[00:07:15.400 --> 00:07:21.400]  走證知道約瑟可以幫忙,便搶先一步
[00:07:21.400 --> 00:07:27.400]  才告訴約瑟,約瑟也以上帝的智慧去解釋給他們聽
[00:07:27.400 --> 00:07:29.400]  在十三至十五節也提到
[00:07:29.400 --> 00:07:35.400]  三天之內,法老必提你出監,叫你官復原職
[00:07:35.400 --> 00:07:40.400]  你仍要遞杯在法老的手中,和先前作他的走證一樣
[00:07:40.400 --> 00:07:44.400]  但你得好處的時候,求你記念我,施恩於我
[00:07:44.400 --> 00:07:48.400]  在法老面前提說我,救我出這監牢
[00:07:48.400 --> 00:07:52.400]  我實在是從希伯來人之地被拐來的
[00:07:52.400 --> 00:07:58.400]  我在這裏也沒有做過什麼,叫他們把我下在監裏
